Unnamed: 0,BAL,DET
First Downs,26,22
Rush-Yds-TDs,30-159-0,37-169-4
Cmp-Att-Yd-TD-INT,20-37-230-2-2,10-23-97-1-2
Sacked-Yards,1-2,1-0
Net Pass Yards,228,97
Total Yards,387,266
Fumbles-Lost,2-2,1-0
Turnovers,4,2
Penalties-Yards,21-147,7-46
Third Down Conv.,3-11,8-14
Fourth Down Conv.,1-2,0-0
Time of Possession,29:46,30:14
