Quarter,Time,Down,ToGo,Location,BAL,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss, Lions to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Aaron Elling kicks off 66 yards, returned by Eddie Drummond for 15 yards (tackle by Darnell Dinkins)",0.000,0.150
1,14:55,1,10,DET 19,0,0,Kevin Jones left end for 4 yards (tackle by Jarret Johnson and Kelly Gregg),0.150,0.210
1,14:16,2,6,DET 23,0,0,Kevin Jones right tackle for 3 yards (tackle by Ray Lewis and Will Demps),0.210,-0.160
1,13:35,3,3,DET 26,0,0,Joey Harrington pass incomplete intended for Kevin Johnson (defended by Deion Sanders),-0.160,-1.630
1,13:31,4,3,DET 26,0,0,"Nick Harris punts 52 yards, returned by B.J. Sams for 10 yards (tackle by Casey Fitzsimmons)",-1.630,-1.070
1,13:19,1,10,BAL 32,0,0,"Anthony Wright pass complete to Todd Heap for 7 yards (tackle by Boss Bailey and Earl Holmes). Penalty on Shaun Rogers: Defensive Offside, 5 yards (no play)",1.070,1.800
1,12:57,1,5,BAL 37,0,0,"Jamal Lewis left end for 16 yards (tackle by Andre' Goodman). Penalty on Edwin Mulitalo: Offensive Holding, 10 yards (no play)",1.800,0.740
1,12:31,1,15,BAL 27,0,0,Jamal Lewis left tackle for no gain (tackle by Kalimba Edwards),0.740,-0.150
1,11:48,2,15,BAL 27,0,0,Anthony Wright pass incomplete intended for Derrick Mason is intercepted by Dre' Bly at BAL-37 and returned for 8 yards,-0.150,-3.910
1,11:39,1,10,BAL 25,0,0,Kevin Jones left tackle for -3 yards (tackle by B.J. Ward),3.910,2.960
1,11:01,2,13,BAL 28,0,0,Joey Harrington pass complete to Roy Williams for 12 yards,2.960,4.060
1,10:33,3,1,BAL 16,0,0,Kevin Jones up the middle for 2 yards (tackle by Bart Scott and Ray Lewis),4.060,4.650
1,9:47,1,10,BAL 14,0,6,"Kevin Jones right end for 14 yards, touchdown",4.650,7.000
