Quarter,Time,Tm,Detail,BAL,DET
1.0,9:40,Lions,Kevin Jones 14 yard rush (Jason Hanson kick),0,7
,4:40,Lions,Kevin Jones 1 yard rush (Jason Hanson kick),0,14
2.0,8:14,Ravens,Jamal Lewis 15 yard pass from Anthony Wright (Matt Stover kick),7,14
,0:00,Ravens,Matt Stover 46 yard field goal,10,14
3.0,1:35,Lions,Artose Pinner 1 yard rush (Jason Hanson kick),10,21
4.0,14:55,Lions,Casey Fitzsimmons 2 yard pass from Joey Harrington (Jason Hanson kick),10,28
,8:59,Ravens,Todd Heap 6 yard pass from Anthony Wright (Matt Stover kick),17,28
,7:05,Lions,Shawn Bryson 77 yard rush (Jason Hanson kick),17,35
