Quarter,Time,Down,ToGo,Location,MIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Jordan Gay kicks off 72 yards, returned by Cordarrelle Patterson for 16 yards (tackle by Ron Brooks)",0.000,0.380
1,14:55,1,10,MIN 9,0,0,Jerick McKinnon up the middle for 3 yards (tackle by Brandon Spikes and Nigel Bradham),-0.380,-0.560
1,14:22,2,7,MIN 12,0,0,Jerick McKinnon right end for 11 yards (tackle by Preston Brown). Penalty on Marcell Dareus: Defensive Offside (Declined),-0.560,0.480
1,13:56,1,10,MIN 23,0,0,Jerick McKinnon left end for 4 yards (tackle by Stephon Gilmore and Jerry Hughes),0.480,0.470
1,13:13,2,6,MIN 27,0,0,Teddy Bridgewater pass complete short right to Greg Jennings for 2 yards (tackle by Aaron Williams),0.470,0.040
1,12:27,3,4,MIN 29,0,0,Teddy Bridgewater pass incomplete deep left intended for Greg Jennings (defended by Nickell Robey),0.040,-1.440
1,12:19,4,4,MIN 29,0,0,"Jeff Locke punts 36 yards, fair catch by Leodis McKelvin",-1.440,-1.270
1,12:12,1,10,BUF 35,0,0,"Kyle Orton sacked by Brian Robison and Anthony Barr for -7 yards. Penalty on Anthony Barr: Roughing the Passer, 15 yards (no play)",1.270,2.260
1,11:46,1,10,,0,0,Kyle Orton pass complete short middle to Sammy Watkins for 15 yards (tackle by Captain Munnerlyn),2.260,3.250
1,11:20,1,10,MIN 35,0,0,Fred Jackson up the middle for 8 yards (tackle by Xavier Rhodes and Jasper Brinkley),3.250,3.780
1,10:37,2,2,MIN 27,0,0,"Kyle Orton pass complete short right to Fred Jackson for 3 yards (tackle by Jasper Brinkley). Fred Jackson fumbles (forced by Jasper Brinkley), ball out of bounds at MIN-24",3.780,3.970
1,10:09,1,10,MIN 24,0,0,Kyle Orton pass complete short right to Frank Summers for -1 yards (tackle by Anthony Barr),3.970,3.300
1,9:32,2,11,MIN 25,0,0,Kyle Orton pass incomplete deep left intended for Sammy Watkins (defended by Xavier Rhodes),3.300,2.610
1,9:26,3,11,MIN 25,0,0,"Kyle Orton pass complete short middle to Chris Hogan for 10 yards (tackle by Chad Greenway). Chris Hogan fumbles (forced by Chad Greenway), recovered by Robert Blanton at MIN-12 (tackle by Scott Chandler)",2.610,0.350
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,9:16,1,10,MIN 12,0,0,"Penalty on Matt Kalil: False Start, 5 yards (no play)",-0.350,-0.570
1,9:16,1,15,MIN 7,0,0,Jerome Felton up the middle for 21 yards (tackle by Stephon Gilmore),-0.570,0.810
1,8:39,1,10,MIN 28,0,0,Teddy Bridgewater pass incomplete short right intended for Chase Ford,0.810,0.260
1,8:33,2,10,MIN 28,0,0,Teddy Bridgewater pass complete short right to Greg Jennings for 6 yards (tackle by Leodis McKelvin),0.260,0.370
1,7:59,3,4,MIN 34,0,0,Teddy Bridgewater pass complete short right to Matt Asiata for 13 yards (tackle by Nigel Bradham and Da'Norris Searcy),0.370,2.060
1,7:19,1,10,MIN 47,0,0,Teddy Bridgewater sacked by Marcell Dareus for -10 yards,2.060,0.170
1,6:52,2,20,MIN 37,0,0,Jerick McKinnon right guard for 8 yards (tackle by Da'Norris Searcy and Stefan Charles),0.170,0.560
1,6:06,3,12,MIN 45,0,0,Teddy Bridgewater pass incomplete short right intended for Chase Ford,0.560,-0.390
1,5:59,4,12,MIN 45,0,0,"Jeff Locke punts 48 yards. Penalty on Nickell Robey: Offensive Holding, 3 yards",-0.390,0.380
1,5:44,1,10,BUF 4,0,0,Fred Jackson right tackle for 4 yards (tackle by Jasper Brinkley),-0.380,-0.490
1,5:10,2,6,BUF 8,0,0,Kyle Orton pass incomplete deep middle intended for Sammy Watkins,-0.490,-0.950
1,5:03,3,6,BUF 8,0,0,Kyle Orton pass complete short right to Fred Jackson for 7 yards (tackle by Tom Johnson and Sharrif Floyd),-0.950,-0.220
,,,,,,,"MIN challenged the first down ruling, and the play was upheld.",,
1,4:29,1,10,BUF 15,0,0,Anthony Dixon right tackle for 4 yards (tackle by Chad Greenway and Captain Munnerlyn),-0.220,-0.110
1,3:56,2,6,BUF 19,0,0,"Kyle Orton pass complete short middle to Robert Woods for 7 yards (tackle by Harrison Smith). Robert Woods fumbles (forced by Harrison Smith), recovered by Anthony Barr at BUF-27",-0.110,-3.780
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,3:49,1,10,BUF 27,0,0,Jerick McKinnon right end for 3 yards (tackle by Marcell Dareus),3.780,3.640
1,3:13,2,7,BUF 24,0,0,Jerick McKinnon up the middle for 2 yards (tackle by Da'Norris Searcy and Preston Brown),3.640,3.200
1,2:29,3,5,BUF 22,0,0,Matt Asiata right guard for no gain (tackle by Nigel Bradham),3.200,2.040
1,1:54,4,5,BUF 22,3,0,Blair Walsh 40 yard field goal good,2.040,3.000
1,1:54,,,MIN 35,3,0,"Blair Walsh kicks off 59 yards, muffed catch by C.J. Spiller, recovered by C.J. Spiller at BUF-6, and returned for 3 yards",0.000,0.380
1,1:43,1,10,BUF 9,3,0,Kyle Orton pass complete short left to Fred Jackson for 6 yards (tackle by Anthony Barr),-0.380,-0.280
1,1:14,2,4,BUF 15,3,0,Kyle Orton pass complete short left to C.J. Spiller for 3 yards (tackle by Harrison Smith and Anthony Barr),-0.280,-0.370
1,0:36,3,1,BUF 18,3,0,Fred Jackson right end for no gain (tackle by Everson Griffen),-0.370,-2.240
1,0:13,4,1,BUF 18,3,0,"Colton Schmidt punts 53 yards, returned by Marcus Sherels for 11 yards (tackle by Ron Brooks)",-2.240,-1.600
