Unnamed: 0,MIN,BUF
First Downs,16,22
Rush-Yds-TDs,29-158-0,19-118-0
Cmp-Att-Yd-TD-INT,15-26-157-1-2,31-43-283-2-1
Sacked-Yards,5-39,6-28
Net Pass Yards,118,255
Total Yards,276,373
Fumbles-Lost,0-0,4-3
Turnovers,2,4
Penalties-Yards,7-50,8-48
Third Down Conv.,5-16,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,32:23,27:37
