Quarter,Time,Tm,Detail,KAN,OAK
1.0,11:58,Raiders,Andre Holmes 3 yard pass from Derek Carr (Sebastian Janikowski kick),0,7
,2:16,Chiefs,Spencer Ware 2 yard rush (Cairo Santos kick),7,7
2.0,7:11,Chiefs,Jamaal Charles 4 yard rush (Cairo Santos kick failed),13,7
,0:00,Raiders,Sebastian Janikowski 46 yard field goal,13,10
3.0,11:37,Chiefs,Dontari Poe 1 yard rush (Cairo Santos kick),20,10
,7:48,Chiefs,Cairo Santos 22 yard field goal,23,10
4.0,9:51,Chiefs,Cairo Santos 44 yard field goal,26,10
