Unnamed: 0,KAN,OAK
First Downs,22,16
Rush-Yds-TDs,40-183-3,17-64-0
Cmp-Att-Yd-TD-INT,19-23-224-0-0,22-34-225-1-1
Sacked-Yards,1-1,2-4
Net Pass Yards,223,221
Total Yards,406,285
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,2-10,3-25
Third Down Conv.,7-13,4-10
Fourth Down Conv.,0-0,0-2
Time of Possession,36:45,23:15
