Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bills won the coin toss and deferred, Texans to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Jordan Gay kicks off 63 yards, returned by Keith Mumphery for 21 yards (tackle by Anthony Dixon)",0.000,-0.480
1,14:54,1,10,HOU 23,0,0,"Brian Hoyer pass incomplete short right intended for DeAndre Hopkins (defended by Ronald Darby). Penalty on Duane Brown: Illegal Use of Hands, 10 yards (no play)",0.480,-0.590
1,14:48,1,20,HOU 13,0,0,Alfred Blue right guard for 3 yards (tackle by Manny Lawson),-0.590,-1.150
1,14:10,2,17,HOU 16,0,0,Brian Hoyer pass complete short middle to C.J. Fiedorowicz for 8 yards (tackle by Nickell Robey-Coleman and Preston Brown),-1.150,-0.630
1,13:26,3,9,HOU 24,0,0,Brian Hoyer pass incomplete short left intended for DeAndre Hopkins,-0.630,-1.770
1,13:22,4,9,HOU 24,0,0,"Shane Lechler punts 34 yards. Penalty on Charles James: Illegal Touch Kick, 5 yards",-1.770,-2.060
1,13:13,1,10,BUF 47,0,0,LeSean McCoy middle for 5 yards (tackle by John Simon),2.060,2.190
1,12:42,2,5,HOU 48,0,0,LeSean McCoy left tackle for 2 yards (tackle by Brian Cushing),2.190,1.750
1,12:07,3,3,HOU 46,0,0,LeSean McCoy left tackle for 6 yards (tackle by Benardrick McKinney),1.750,2.920
1,11:42,1,10,HOU 40,0,0,Mike Gillislee right tackle for 30 yards (tackle by Kareem Jackson),2.920,4.910
1,11:04,1,10,HOU 10,0,0,Mike Gillislee middle for -2 yards (tackle by J.J. Watt and Whitney Mercilus),4.910,3.860
1,10:24,2,12,HOU 12,0,0,Tyrod Taylor right tackle for 9 yards (tackle by John Simon),3.860,4.720
1,9:41,3,3,HOU 3,0,6,"Tyrod Taylor pass complete short left to Sammy Watkins for 3 yards, touchdown",4.720,7.000
1,9:41,,,HOU 3,0,7,Dan Carpenter kicks extra point good,0.000,0.000
1,9:41,,,BUF 35,0,7,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
1,9:34,1,10,HOU 20,0,7,Jonathan Grimes middle for 1 yard (tackle by Tony Steward),0.280,-0.130
1,9:06,2,9,HOU 21,0,7,Brian Hoyer pass complete short middle to Ryan Griffin for 7 yards (tackle by Manny Lawson and Tony Steward),-0.130,0.100
1,8:33,3,2,HOU 28,0,7,"Penalty on Marcell Dareus: Neutral Zone Infraction, 5 yards (no play)",0.100,1.140
1,8:14,1,10,HOU 33,0,7,Chris Polk right guard for 20 yards (tackle by Ronald Darby),1.140,2.460
1,7:46,1,10,BUF 47,0,7,Chris Polk left guard for no gain (tackle by Corbin Bryant),2.460,1.910
1,7:16,2,10,BUF 47,0,7,Brian Hoyer pass complete short right to Nate Washington for 9 yards (tackle by Ronald Darby),1.910,2.410
1,6:33,3,1,BUF 38,0,7,Brian Hoyer pass complete short right to Kendall Lamm for 7 yards (tackle by Bacarri Rambo),2.410,3.510
1,5:56,1,10,BUF 31,0,7,Chris Polk middle for 3 yards (tackle by Preston Brown and Kevin Reddick),3.510,3.370
1,5:15,2,7,BUF 28,0,7,Brian Hoyer pass incomplete deep right intended for Jaelen Strong,3.370,2.680
1,5:10,3,7,BUF 28,0,7,Jonathan Grimes left guard for 17 yards (tackle by Bacarri Rambo and Jerry Hughes),2.680,4.840
1,4:34,1,10,BUF 11,0,7,Jonathan Grimes right tackle for 3 yards (tackle by Jerry Hughes and Preston Brown),4.840,4.700
1,4:00,2,7,BUF 8,6,7,"Brian Hoyer pass complete short right to Ryan Griffin for 8 yards, touchdown",4.700,7.000
1,4:00,,,BUF 8,6,7,Nick Novak kicks extra point no good,0.000,-1.000
1,4:00,,,HOU 35,6,7,"Nick Novak kicks off 59 yards, returned by Marcus Thigpen for 23 yards (tackle by Kurtis Drummond)",0.000,-0.870
1,3:51,1,10,BUF 29,6,7,Tyrod Taylor left guard for 2 yards (tackle by Benardrick McKinney),0.870,0.600
1,3:15,2,8,BUF 31,6,7,LeSean McCoy left end for 32 yards (tackle by Kevin Johnson),0.600,3.120
1,2:41,1,10,HOU 37,6,7,Mike Gillislee middle for 3 yards (tackle by John Simon and J.J. Watt),3.120,2.980
1,2:09,2,7,HOU 34,6,7,Tyrod Taylor pass incomplete deep left intended for Marcus Thigpen,2.980,2.280
1,2:02,3,7,HOU 34,6,7,Tyrod Taylor pass complete short right to Charles Clay for 12 yards (tackle by Andre Hal),2.280,4.110
1,1:17,1,10,HOU 22,6,7,LeSean McCoy left tackle for 9 yards (tackle by Quintin Demps),4.110,5.060
1,0:48,2,1,HOU 13,6,7,LeSean McCoy middle for no gain (tackle by Jadeveon Clowney),5.060,4.390
1,0:19,3,1,HOU 13,6,7,LeSean McCoy left tackle for 5 yards (tackle by Benardrick McKinney and Quintin Demps),4.390,5.370
Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,8,HOU 8,6,13,"Tyrod Taylor left end for 8 yards, touchdown",5.370,7.000
2,15:00,,,HOU 8,6,14,Dan Carpenter kicks extra point good,0.000,0.000
2,15:00,,,BUF 35,6,14,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
2,14:53,1,10,HOU 20,6,14,Chris Polk middle for 6 yards (tackle by Corbin Bryant),0.280,0.540
2,14:17,2,4,HOU 26,6,14,Brian Hoyer pass complete short right to Cecil Shorts for 17 yards (tackle by Nickell Robey-Coleman and Bacarri Rambo),0.540,1.800
2,14:04,1,10,HOU 43,6,14,Brian Hoyer pass complete short left to DeAndre Hopkins for 6 yards (tackle by Ronald Darby),1.800,2.060
2,13:31,2,4,HOU 49,6,14,"Chris Polk left guard for 4 yards (tackle by Manny Lawson and Preston Brown). Penalty on Oday Aboushi: Offensive Holding, 10 yards (no play)",2.060,0.710
2,13:00,2,14,HOU 39,6,14,Brian Hoyer pass complete short right to Cecil Shorts for 14 yards (tackle by Bacarri Rambo),0.710,2.460
2,12:28,1,10,BUF 47,6,14,Alfred Blue left tackle for 4 yards (tackle by Jerry Hughes),2.460,2.450
2,11:50,2,6,BUF 43,6,14,Brian Hoyer sacked by Jerry Hughes for -10 yards,2.450,0.430
2,11:06,3,16,HOU 47,6,14,Brian Hoyer pass incomplete short left intended for DeAndre Hopkins,0.430,-0.260
2,11:01,4,16,HOU 47,6,14,"Shane Lechler punts 39 yards, fair catch by Marcus Thigpen. Penalty on Alfred Blue: Ineligible Downfield Kick, 5 yards",-0.260,-0.150
2,10:54,1,10,BUF 19,6,14,"Tyrod Taylor pass complete short left to LeSean McCoy for 4 yards (tackle by Whitney Mercilus). Penalty on Cordy Glenn: Offensive Holding, 9 yards (no play)",0.150,-0.720
2,10:29,1,19,BUF 10,6,14,LeSean McCoy middle for 3 yards (tackle by Jared Crick),-0.720,-1.210
2,9:51,2,16,BUF 13,6,14,Tyrod Taylor pass incomplete short left intended for LeSean McCoy (defended by Whitney Mercilus),-1.210,-2.080
2,9:45,3,16,BUF 13,6,14,Anthony Dixon right guard for 6 yards (tackle by Eddie Pleasant and Kareem Jackson),-2.080,-2.140
2,9:13,4,10,BUF 19,6,14,"Colton Schmidt punts 41 yards, fair catch by Keith Mumphery",-2.140,-1.600
2,9:05,1,10,HOU 40,6,14,Cecil Shorts for 1 yard (tackle by Manny Lawson),1.600,1.190
2,8:26,2,9,HOU 41,6,14,Brian Hoyer pass complete short right to Nate Washington for 13 yards (tackle by Kevin Reddick),1.190,2.520
2,7:47,1,10,BUF 46,6,14,Brian Hoyer pass complete short right to Nate Washington for 5 yards (tackle by Stephon Gilmore),2.520,2.650
2,7:34,2,5,BUF 41,6,14,Chris Polk left tackle for 5 yards (tackle by Corbin Bryant and Marcell Dareus),2.650,2.650
2,6:52,2,5,BUF 41,6,14,Timeout #1 by Houston Texans,2.650,3.180
2,6:52,1,10,BUF 36,6,14,Brian Hoyer left tackle for 14 yards (tackle by Corey Graham),3.180,4.110
2,6:29,1,10,BUF 22,6,14,Alfred Blue middle for 3 yards (tackle by Marcell Dareus and Jerry Hughes),4.110,3.970
2,5:53,2,7,BUF 19,6,14,"Brian Hoyer pass complete short right to Jonathan Grimes for 11 yards (tackle by Bacarri Rambo). Penalty on Ryan Griffin: Illegal Block Above the Waist, 10 yards",3.970,4.130
2,5:24,2,6,BUF 18,6,14,Brian Hoyer pass complete short left to Nate Washington for 5 yards (tackle by Ronald Darby),4.130,4.390
2,4:44,3,1,BUF 13,6,14,Brian Hoyer middle for 2 yards (tackle by Preston Brown),4.390,4.840
2,4:06,1,10,BUF 11,12,14,"Brian Hoyer pass complete short left to Chris Polk for 11 yards, touchdown. Penalty on DeAndre Hopkins: Unsportsmanlike Conduct, 15 yards",4.840,7.000
2,4:06,,,BUF 11,13,14,Nick Novak kicks extra point good,0.000,0.000
2,4:06,,,HOU 20,13,14,"Nick Novak kicks off 70 yards, returned by Marcus Thigpen for 19 yards (tackle by Brian Peters)",0.000,-0.870
2,3:51,1,10,BUF 29,13,14,Tyrod Taylor pass complete deep middle to Sammy Watkins for 53 yards (tackle by Kevin Johnson),0.870,0.870
2,3:09,1,10,BUF 29,13,14,Timeout #1 by Buffalo Bills,0.870,4.370
2,3:09,1,10,HOU 18,13,14,LeSean McCoy left tackle for 6 yards (tackle by Brian Cushing and Kevin Johnson),4.370,4.810
2,2:31,2,4,HOU 12,13,14,Tyrod Taylor pass incomplete short left intended for Charles Clay,4.810,4.030
2,2:27,3,4,HOU 12,13,14,Tyrod Taylor left guard for 6 yards (tackle by Kareem Jackson),4.030,5.830
2,2:00,1,6,HOU 6,13,14,LeSean McCoy right end for 1 yard (tackle by Quintin Demps),5.830,5.150
2,1:19,2,5,HOU 5,13,14,LeSean McCoy middle for 3 yards (tackle by Vince Wilfork),5.150,5.150
2,0:34,2,5,HOU 5,13,14,Timeout #2 by Buffalo Bills,5.150,4.950
2,0:34,3,2,HOU 2,13,20,"Tyrod Taylor pass complete short right to Robert Woods for 2 yards, touchdown",4.950,7.000
2,0:34,,,HOU 2,13,21,Dan Carpenter kicks extra point good,0.000,0.000
2,0:34,,,BUF 35,13,21,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
2,0:30,1,10,HOU 20,13,21,Brian Hoyer kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,HOU,BUF,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,13,21,"Nick Novak kicks off 66 yards, returned by Marcus Thigpen for 17 yards (tackle by Kurtis Drummond)",0.000,0.140
3,14:54,1,10,BUF 16,13,21,LeSean McCoy right guard for 5 yards (tackle by Brian Cushing),-0.140,0.150
3,14:19,2,5,BUF 21,13,21,LeSean McCoy middle for 3 yards (tackle by Vince Wilfork and Jared Crick),0.150,-0.320
3,13:41,3,2,BUF 24,13,21,Tyrod Taylor pass incomplete deep right intended for Chris Hogan,-0.320,-1.770
3,13:33,4,2,BUF 24,13,21,Colton Schmidt punts 44 yards,-1.770,-1.070
3,13:20,1,10,HOU 32,13,21,Brian Hoyer pass complete short left to Nate Washington for 6 yards,1.070,1.340
3,12:53,2,4,HOU 38,13,21,Akeem Hunt left tackle for 7 yards (tackle by Preston Brown),1.340,1.930
3,12:14,1,10,HOU 45,13,21,Brian Hoyer pass complete short left to Akeem Hunt for no gain,1.930,1.380
3,11:42,2,10,HOU 45,13,21,Brian Hoyer pass complete short middle to Nate Washington for 6 yards (tackle by Nickell Robey-Coleman),1.380,1.490
3,11:08,3,4,BUF 49,13,21,Brian Hoyer pass incomplete deep left intended for Nate Washington,1.490,0.000
3,11:05,4,4,BUF 49,13,21,Shane Lechler punts 44 yards,0.000,0.380
3,10:56,1,10,BUF 5,13,21,Tyrod Taylor pass complete short right to Charles Clay for 6 yards (tackle by Andre Hal),-0.380,-0.340
