Quarter,Time,Tm,Detail,HOU,BUF
1.0,9:37,Bills,Sammy Watkins 3 yard pass from Tyrod Taylor (Dan Carpenter kick),0,7
,3:58,Texans,Ryan Griffin 8 yard pass from Brian Hoyer (Nick Novak kick failed),6,7
2.0,14:53,Bills,Tyrod Taylor 8 yard rush (Dan Carpenter kick),6,14
,3:57,Texans,Chris Polk 11 yard pass from Brian Hoyer (Nick Novak kick),13,14
,0:30,Bills,Robert Woods 2 yard pass from Tyrod Taylor (Dan Carpenter kick),13,21
4.0,9:12,Texans,DeAndre Hopkins 19 yard pass from Brian Hoyer (Jonathan Grimes run),21,21
,1:53,Bills,Charles Clay 40 yard pass from Tyrod Taylor (Dan Carpenter kick failed),21,27
,0:33,Bills,Dan Carpenter 36 yard field goal,21,30
