Unnamed: 0,HOU,BUF
First Downs,21,15
Rush-Yds-TDs,26-126-0,36-187-1
Cmp-Att-Yd-TD-INT,26-43-293-3-1,11-21-211-3-0
Sacked-Yards,2-18,1-8
Net Pass Yards,275,203
Total Yards,401,390
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,10-89,5-42
Third Down Conv.,7-15,8-16
Fourth Down Conv.,0-1,0-0
Time of Possession,31:53,28:07
