Unnamed: 0,PHI,NYG
First Downs,20,16
Rush-Yds-TDs,28-59-1,32-138-0
Cmp-Att-Yd-TD-INT,22-40-217-1-2,15-29-169-0-2
Sacked-Yards,0-0,0-0
Net Pass Yards,217,169
Total Yards,276,307
Fumbles-Lost,0-0,1-1
Turnovers,2,3
Penalties-Yards,8-61,6-49
Third Down Conv.,7-14,3-13
Fourth Down Conv.,0-0,1-3
Time of Possession,29:45,30:15
