Quarter,Time,Tm,Detail,HOU,CHI
1.0,11:22,Bears,Cairo Santos 47 yard field goal,0,3
,6:45,Bears,Khalil Herbert 11 yard rush (Cairo Santos kick),0,10
,3:40,Texans,Jordan Akins 4 yard pass from Davis Mills (Ka'imi Fairbairn kick),7,10
2.0,7:32,Texans,Dameon Pierce 1 yard rush (Ka'imi Fairbairn kick),14,10
,1:48,Bears,Cairo Santos 50 yard field goal,14,13
3.0,11:25,Texans,Ka'imi Fairbairn 39 yard field goal,17,13
,8:21,Bears,Khalil Herbert 1 yard rush (Cairo Santos kick),17,20
,0:54,Texans,Ka'imi Fairbairn 23 yard field goal,20,20
4.0,0:00,Bears,Cairo Santos 30 yard field goal,20,23
