Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,HOU 35,0,0,"Ka'imi Fairbairn kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CHI 25,0,0,"Justin Fields aborted snap, recovered by Justin Fields at CHI-24 and returned for -1 yards Justin Fields for no gain",0.610,-0.070
1,14:26,2,11,CHI 24,0,0,Justin Fields pass complete short right to Byron Pringle for 11 yards,-0.070,1.270
1,13:52,1,10,CHI 35,0,0,Justin Fields pass incomplete short left intended for Darnell Mooney (defended by Desmond King),1.270,0.720
1,13:49,2,10,CHI 35,0,0,David Montgomery left end for 1 yard (tackle by Kamu Grugier-Hill),0.720,0.170
1,13:09,3,9,CHI 36,0,0,Justin Fields scrambles for 29 yards (tackle by Christian Kirksey),0.170,3.250
1,12:22,1,10,HOU 35,0,0,Justin Fields pass incomplete short right,3.250,2.700
1,12:16,2,10,HOU 35,0,0,Justin Fields pass incomplete short left intended for Equanimeous St. Brown,2.700,2.010
1,12:10,3,10,HOU 35,0,0,David Montgomery right guard for 5 yards (tackle by Ogbonnia Okoronkwo),2.010,1.450
1,11:27,4,5,HOU 30,0,3,Cairo Santos 47 yard field goal good,1.450,3.000
1,11:22,,,CHI 35,0,3,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,11:22,1,10,HOU 25,0,3,Dameon Pierce left tackle for 4 yards (tackle by Justin Jones and Al-Quadin Muhammad),0.610,0.600
1,10:43,2,6,HOU 29,0,3,Dameon Pierce left guard for 2 yards (tackle by Angelo Blackson and Nicholas Morrow),0.600,0.170
1,10:15,3,4,HOU 31,0,3,Davis Mills pass incomplete short right intended for Jordan Akins,0.170,-1.310
1,10:11,4,4,HOU 31,0,3,"Cameron Johnston punts 51 yards, returned by Dante Pettis for 1 yard (tackle by Eric Murray)",-1.310,-0.150
1,10:01,1,10,CHI 19,0,3,Equanimeous St. Brown left end for 41 yards (tackle by Desmond King),0.150,2.920
1,9:23,1,10,HOU 40,0,3,David Montgomery left tackle for 5 yards (tackle by Rasheem Green and Jonathan Owens),2.920,3.050
1,8:45,2,5,HOU 35,0,3,"Justin Fields pass incomplete short right. Penalty on Jerry Hughes: Roughing the Passer, 15 yards (offset) . Penalty on Justin Fields: Intentional Grounding, 10 yards (offset) (no play)",3.050,3.050
1,8:40,2,5,HOU 35,0,3,Khalil Herbert left tackle for 8 yards (tackle by Steven Nelson and Jalen Pitre),3.050,3.780
1,8:05,1,10,HOU 27,0,3,Justin Fields pass complete short left to Darnell Mooney for 5 yards (tackle by Steven Nelson),3.780,3.910
1,7:29,2,5,HOU 22,0,3,Khalil Herbert right tackle for 11 yards (tackle by Jonathan Owens),3.910,4.840
1,6:52,1,10,HOU 11,0,9,"Khalil Herbert left tackle for 11 yards, touchdown",4.840,7.000
1,6:45,,,HOU 15,0,10,Cairo Santos kicks extra point good,0.000,0.000
1,6:45,,,CHI 35,0,10,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,6:45,1,10,HOU 25,0,10,Dameon Pierce right end for 3 yards (tackle by Roquan Smith),0.610,0.470
1,6:16,2,7,HOU 28,0,10,Davis Mills pass incomplete short right intended for Brandin Cooks,0.470,-0.230
1,6:09,3,7,HOU 28,0,10,Davis Mills pass complete deep middle to Chris Moore for 52 yards (tackle by Jaquan Brisker),-0.230,4.240
1,5:31,1,10,CHI 20,0,10,"Dameon Pierce right guard for 7 yards. Dameon Pierce fumbles (forced by Eddie Jackson), recovered by A.J. Cann at CHI-11",4.240,5.260
1,4:59,2,1,CHI 11,0,10,Dameon Pierce right guard for 5 yards (tackle by Jaquan Brisker and Roquan Smith),5.260,5.830
1,4:25,1,6,CHI 6,0,10,Dameon Pierce right end for 2 yards (tackle by Kindle Vildor and Joe Thomas),5.830,5.340
1,3:46,2,4,CHI 4,6,10,"Davis Mills pass complete short left to Jordan Akins for 4 yards, touchdown",5.340,7.000
1,3:40,,,CHI 15,7,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,3:40,,,HOU 35,7,10,"Ka'imi Fairbairn kicks off 62 yards, returned by Trestan Ebner for 17 yards (tackle by Garret Wallow)",0.000,0.280
1,3:33,1,10,CHI 20,7,10,Trestan Ebner right guard for -1 yards (tackle by Maliek Collins),0.280,-0.460
1,2:55,2,11,CHI 19,7,10,"Justin Fields pass deep middle intended for Cole Kmet is intercepted by Jalen Pitre at CHI-43 and returned for 2 yards. Jalen Pitre fumbles (forced by Cole Kmet) Replay Assistant challenged the pass interception ruling, and the play was upheld., recovered by Jalen Pitre at CHI-41",-0.460,-2.850
1,2:46,1,10,CHI 41,7,10,Davis Mills pass complete deep middle to Brandin Cooks for 17 yards (tackle by Kindle Vildor),2.850,3.970
1,2:10,1,10,CHI 24,7,10,Davis Mills pass complete short right to Nico Collins for 19 yards (tackle by Eddie Jackson),3.970,6.060
1,1:31,1,5,CHI 5,7,10,Dameon Pierce left tackle for -2 yards (tackle by Roquan Smith),6.060,4.760
1,0:50,2,7,CHI 7,7,10,Davis Mills pass short middle (defended by Kindle Vildor) intended for Brandin Cooks is intercepted by Eddie Jackson in end zone and returned for no gain,4.760,-0.280
1,0:45,1,10,CHI 20,7,10,"Penalty on Larry Borom: False Start, 5 yards (accepted) (no play)",0.280,-0.310
1,0:45,1,15,CHI 15,7,10,Justin Fields pass complete short left to Khalil Herbert for 5 yards (tackle by Roy Lopez),-0.310,-0.270
Quarter,Time,Down,ToGo,Location,HOU,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,CHI 20,7,10,Justin Fields sacked by Jerry Hughes for -7 yards,-0.270,-2.190
2,14:19,3,17,CHI 13,7,10,Khalil Herbert left tackle for 10 yards (tackle by Steven Nelson and Jonathan Owens),-2.190,-1.830
2,13:46,4,7,CHI 23,7,10,"Trenton Gill punts 46 yards, fair catch by Desmond King at HOU-31",-1.830,-1.000
2,13:39,1,10,HOU 31,7,10,Rex Burkhead left guard for 4 yards (tackle by Roquan Smith and Eddie Jackson),1.000,1.000
2,13:06,2,6,HOU 35,7,10,Davis Mills pass incomplete short left intended for Nico Collins,1.000,0.300
2,13:01,3,6,HOU 35,7,10,"Davis Mills pass complete short middle to Rex Burkhead for no gain (tackle by Nicholas Morrow). Penalty on Jaylon Jones: Defensive Holding, 5 yards (accepted) (no play)",0.300,1.600
2,12:40,1,10,HOU 40,7,10,Davis Mills pass incomplete short right intended for Brandin Cooks (defended by Kindle Vildor),1.600,1.050
2,12:35,2,10,HOU 40,7,10,Dameon Pierce left end for 4 yards (tackle by Roquan Smith and Al-Quadin Muhammad),1.050,0.890
2,12:00,3,6,HOU 44,7,10,Davis Mills pass incomplete deep left intended for Pharaoh Brown,0.890,-0.460
2,11:54,4,6,HOU 44,7,10,"Cameron Johnston punts 46 yards, fair catch by Dante Pettis at CHI-10",-0.460,0.380
2,11:47,1,10,CHI 10,7,10,Khalil Herbert left guard for 1 yard (tackle by Kamu Grugier-Hill and Ogbonnia Okoronkwo),-0.380,-0.710
2,11:10,2,9,CHI 11,7,10,Khalil Herbert left end for 3 yards (tackle by Rasheem Green),-0.710,-0.950
2,10:31,3,6,CHI 14,7,10,Trestan Ebner left guard for 2 yards (tackle by Christian Kirksey and Jonathan Owens),-0.950,-2.390
2,9:53,4,4,CHI 16,7,10,"Trenton Gill punts 56 yards, returned by Desmond King for 31 yards (tackle by Khari Blasingame)",-2.390,-2.850
2,9:39,1,10,CHI 41,7,10,Dameon Pierce right end for 24 yards (tackle by Eddie Jackson and Jaquan Brisker),2.850,4.440
2,9:04,1,10,CHI 17,7,10,Dameon Pierce left tackle for 9 yards (tackle by Eddie Jackson),4.440,5.480
2,8:25,2,1,CHI 8,7,10,Dameon Pierce left end for 7 yards (tackle by Roquan Smith and Al-Quadin Muhammad),5.480,6.970
2,7:37,1,1,CHI 1,13,10,"Dameon Pierce left tackle for 1 yard, touchdown",6.970,7.000
2,7:32,,,CHI 15,14,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,7:32,,,HOU 35,14,10,"Ka'imi Fairbairn kicks off 62 yards, returned by Trestan Ebner for 15 yards (tackle by Neville Hewitt and M.J. Stewart)",0.000,0.040
2,7:26,1,10,CHI 18,14,10,Justin Fields pass incomplete short right intended for Trestan Ebner,0.040,-0.490
2,7:21,2,10,CHI 18,14,10,Justin Fields scrambles right end for 6 yards (tackle by Christian Kirksey),-0.490,-0.400
2,6:34,3,4,CHI 24,14,10,Justin Fields scrambles right guard for 7 yards (tackle by Desmond King),-0.400,1.000
2,5:55,1,10,CHI 31,14,10,Trestan Ebner right end for 7 yards (tackle by Jonathan Owens),1.000,1.410
2,5:19,2,3,CHI 38,14,10,Trestan Ebner left guard for 6 yards (tackle by Christian Kirksey and Jalen Pitre),1.410,1.860
2,4:43,1,10,CHI 44,14,10,Justin Fields pass incomplete short left intended for Darnell Mooney,1.860,1.320
2,4:38,2,10,CHI 44,14,10,Trestan Ebner left guard for 5 yards (tackle by Desmond King),1.320,1.290
2,4:05,3,5,CHI 49,14,10,Justin Fields pass complete deep left to Cole Kmet for 24 yards (tackle by Kamu Grugier-Hill),1.290,3.780
2,3:27,1,10,HOU 27,14,10,Trestan Ebner left tackle for 2 yards (tackle by Rasheem Green and Steven Nelson),3.780,3.500
2,2:48,2,8,HOU 25,14,10,"Justin Fields aborted snap, recovered by Trestan Ebner at HOU-28 Trestan Ebner for 2 yards (tackle by Desmond King)",3.500,3.070
2,2:00,3,6,HOU 23,14,10,Justin Fields sacked by Jerry Hughes for -9 yards,3.070,1.240
2,1:53,,,,,,Timeout #1 by Houston Texans,,
2,1:53,4,15,HOU 32,14,13,Cairo Santos 50 yard field goal good,1.240,3.000
2,1:48,,,CHI 35,14,13,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
2,1:48,1,10,HOU 25,14,13,Davis Mills pass complete short right to Jordan Akins for 2 yards (tackle by Kyler Gordon and Nicholas Morrow),0.610,0.330
2,1:23,2,8,HOU 27,14,13,Davis Mills pass complete short right to Chris Moore for 7 yards (tackle by Roquan Smith),0.330,0.560
2,1:17,3,1,HOU 34,14,13,"Davis Mills pass incomplete short right. Penalty on Tytus Howard: Ineligible Downfield Pass, 5 yards (declined)",0.560,-1.110
2,1:11,4,1,HOU 34,14,13,Cameron Johnston punts 56 yards out of bounds,-1.110,0.380
2,1:04,1,10,CHI 10,14,13,Justin Fields pass incomplete short right intended for Darnell Mooney,-0.380,-0.780
2,1:01,2,10,CHI 10,14,13,"Justin Fields up the middle for 5 yards (tackle by Jonathan Owens). Penalty on Cole Kmet: Offensive Holding, 7 yards (accepted)",-0.780,-0.930
2,0:54,2,12,CHI 8,14,13,Khalil Herbert left guard for 11 yards (tackle by Desmond King and Jonathan Owens),-0.930,-0.370
2,0:46,,,,,,Timeout #2 by Houston Texans,,
