Unnamed: 0,HOU,CHI
First Downs,17,17
Rush-Yds-TDs,24-92-1,40-281-2
Cmp-Att-Yd-TD-INT,20-32-245-1-2,8-17-106-0-2
Sacked-Yards,1-8,5-24
Net Pass Yards,237,82
Total Yards,329,363
Fumbles-Lost,3-0,2-0
Turnovers,2,2
Penalties-Yards,3-25,6-32
Third Down Conv.,3-12,6-14
Fourth Down Conv.,1-1,0-0
Time of Possession,28:38,31:22
