Unnamed: 0,KAN,OAK
First Downs,24,19
Rush-Yds-TDs,22-31-0,19-129-0
Cmp-Att-Yd-TD-INT,30-44-443-4-0,23-38-198-1-2
Sacked-Yards,2-7,3-20
Net Pass Yards,436,178
Total Yards,467,307
Fumbles-Lost,1-1,3-0
Turnovers,1,2
Penalties-Yards,10-114,7-52
Third Down Conv.,8-14,6-14
Fourth Down Conv.,0-0,1-1
Time of Possession,32:35,27:25
