Unnamed: 0,HOU,ARI
First Downs,23,19
Rush-Yds-TDs,21-45-1,16-44-1
Cmp-Att-Yd-TD-INT,35-50-371-2-1,26-38-302-2-0
Sacked-Yards,0-0,1-6
Net Pass Yards,371,296
Total Yards,416,340
Fumbles-Lost,1-0,1-1
Turnovers,1,1
Penalties-Yards,6-53,7-40
Third Down Conv.,4-13,2-9
Fourth Down Conv.,0-2,0-0
Time of Possession,33:25,26:35
