Quarter,Time,Tm,Detail,HOU,ARI
1.0,9:29,Cardinals,Tim Hightower 1 yard rush (Neil Rackers kick),0,7
2.0,1:44,Cardinals,Larry Fitzgerald 9 yard pass from Kurt Warner (Neil Rackers kick),0,14
,0:21,Cardinals,Larry Fitzgerald 26 yard pass from Kurt Warner (Neil Rackers kick),0,21
3.0,3:39,Texans,Chris Brown 1 yard rush (Kris Brown kick),7,21
4.0,12:18,Texans,Andre Johnson 11 yard pass from Matt Schaub (Kris Brown kick),14,21
,6:59,Texans,Andre Johnson 17 yard pass from Matt Schaub (Kris Brown kick),21,21
,2:20,Cardinals,Dominique Rodgers-Cromartie 49 yard interception return (Neil Rackers kick),21,28
