Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,ARI 30,0,0,"Neil Rackers kicks off 60 yards, returned by Andre' Davis for 10 yards (tackle by Will Davis). Penalty on John Busing: Illegal Block Above the , 10 yards",0.000,-0.380
1,14:56,1,10,HOU 10,0,0,"Matt Schaub for no gain. Matt Schaub fumbles, recovered by Matt Schaub at HOU-8",-0.380,-0.930
1,14:31,2,12,HOU 8,0,0,Matt Schaub pass complete short left to Andre Johnson for 7 yards (tackle by Bryant McFadden),-0.930,-0.840
1,13:56,3,5,HOU 15,0,0,Matt Schaub pass incomplete short right intended for Andre' Davis,-0.840,-2.440
1,13:51,4,5,HOU 15,0,0,"Matt Turk punts 49 yards, fair catch by Steve Breaston",-2.440,-1.330
1,13:44,1,10,ARI 36,0,0,Kurt Warner pass complete deep right to Anquan Boldin for 20 yards (tackle by Eugene Wilson),1.330,2.650
1,13:04,1,10,HOU 44,0,0,Tim Hightower right tackle for 11 yards (tackle by Eugene Wilson and Bernard Pollard),2.650,3.380
1,12:23,1,10,HOU 33,0,0,Kurt Warner pass complete short left to Tim Hightower for 6 yards (tackle by Bernard Pollard),3.380,3.650
1,11:58,2,4,HOU 27,0,0,Beanie Wells left tackle for 9 yards (tackle by Eugene Wilson and DelJuan Robinson),3.650,4.370
1,11:21,,,,0,0,Timeout #1 by Arizona Cardinals,0.000,4.370
1,11:21,1,10,HOU 18,0,0,Anquan Boldin left end for 3 yards (tackle by Eugene Wilson and Bernard Pollard),4.370,4.250
1,10:40,2,7,HOU 15,0,0,Kurt Warner pass complete short right to Tim Hightower for 12 yards (tackle by Connor Barwin),4.250,6.510
1,10:09,1,3,HOU 3,0,0,Tim Hightower middle for 2 yards (tackle by Antonio Smith),6.510,5.910
1,9:32,2,1,HOU 1,0,6,"Tim Hightower right tackle for 1 yard, touchdown",5.910,7.000
1,,,,HOU 2,0,7,Neil Rackers kicks extra point good,0.000,0.000
1,,,,ARI 30,0,7,"Neil Rackers kicks off 70 yards, returned by Andre' Davis for 24 yards (tackle by Ali Highsmith)",0.000,0.540
1,9:23,1,10,HOU 24,0,7,Steve Slaton left tackle for 4 yards (tackle by Antrel Rolle and Bryan Robinson),0.540,0.540
1,8:49,2,6,HOU 28,0,7,Matt Schaub pass complete short left to Andre Johnson for 12 yards (tackle by Bryant McFadden),0.540,1.600
1,8:21,1,10,HOU 40,0,7,"Penalty on Duane Brown: False Start, 5 yards (no play)",1.600,1.270
1,7:59,1,15,HOU 35,0,7,Matt Schaub pass incomplete short right intended for Owen Daniels (defended by Bryan Robinson),1.270,0.380
1,7:51,2,15,HOU 35,0,7,Matt Schaub pass incomplete short right intended for Kevin Walter,0.380,-0.300
1,7:49,3,15,HOU 35,0,7,Steve Slaton right tackle for 9 yards (tackle by Adrian Wilson and Alan Branch),-0.300,-0.460
1,7:14,4,6,HOU 44,0,7,Matt Turk punts 43 yards,-0.460,0.320
1,7:02,1,10,ARI 13,0,7,Beanie Wells left tackle for no gain (tackle by Zach Diles and Tim Bulman),-0.320,-0.770
1,6:25,2,10,ARI 13,0,7,Kurt Warner pass incomplete short left intended for Anquan Boldin,-0.770,-1.420
1,6:20,3,10,ARI 13,0,7,Kurt Warner pass complete short left to Tim Hightower for 10 yards (tackle by Glover Quin and Amobi Okoye),-1.420,0.480
1,5:37,1,10,ARI 23,0,7,Kurt Warner pass complete deep left to Steve Breaston for 22 yards,0.480,1.930
1,5:01,1,10,ARI 45,0,7,Kurt Warner pass complete short right to Larry Fitzgerald for 9 yards (tackle by Bernard Pollard),1.930,2.600
1,4:30,2,1,HOU 46,0,7,Kurt Warner pass complete short left to Larry Fitzgerald for 23 yards (tackle by DelJuan Robinson),2.600,4.040
1,3:46,1,10,HOU 23,0,7,Beanie Wells left tackle for 1 yard (tackle by Bernard Pollard),4.040,3.630
1,3:09,2,9,HOU 22,0,7,Kurt Warner pass complete short middle to Jerheme Urban for 13 yards (tackle by Brian Cushing),3.630,5.140
1,2:35,1,9,HOU 9,0,7,"Kurt Warner pass complete short right to Anquan Boldin for 7 yards (tackle by Eugene Wilson). Anquan Boldin fumbles (forced by Eugene Wilson), recovered by DeMeco Ryans at HOU-1 (tackle by Kurt Warner)",5.140,-0.940
,,,,,,,"ARI challenged the fumble ruling, and the play was upheld.",,
1,2:24,1,10,HOU 30,0,7,Steve Slaton middle for no gain (tackle by Adrian Wilson),0.940,0.390
1,1:48,2,10,HOU 30,0,7,Matt Schaub pass complete deep right to Andre Johnson for 21 yards (tackle by Antrel Rolle),0.390,2.320
1,1:09,1,10,ARI 49,0,7,Steve Slaton right end for 16 yards (tackle by Antrel Rolle),2.320,3.380
1,0:38,1,10,ARI 33,0,7,Matt Schaub pass complete short right to Joel Dreessen for 4 yards (tackle by Gerald Hayes),3.380,3.380
Quarter,Time,Down,ToGo,Location,HOU,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,ARI 29,0,7,Steve Slaton left end for 8 yards (tackle by Chike Okeafor and Antrel Rolle),3.380,4.170
2,14:22,1,10,ARI 21,0,7,Matt Schaub pass complete short right to Steve Slaton for 5 yards (tackle by Karlos Dansby),4.170,4.370
2,13:42,2,5,ARI 16,0,7,Matt Schaub pass incomplete deep left intended for Andre Johnson,4.370,3.630
2,13:36,3,5,ARI 16,0,7,Matt Schaub pass incomplete short right intended for Jacoby Jones,3.630,2.430
2,13:26,4,5,ARI 16,0,7,"Kris Brown 35 yard field goal no good, blocked by Calais Campbell",2.430,-0.610
2,13:22,1,10,ARI 25,0,7,Tim Hightower middle for -1 yards (tackle by Amobi Okoye),0.610,-0.070
2,13:00,2,11,ARI 24,0,7,Kurt Warner pass complete short right to Anquan Boldin for 4 yards (tackle by Brian Cushing and DeMeco Ryans),-0.070,-0.230
2,12:21,3,7,ARI 28,0,7,Kurt Warner pass complete short right to Tim Hightower for 3 yards (tackle by Glover Quin),-0.230,-1.310
2,11:43,4,4,ARI 31,0,7,"Ben Graham punts 59 yards, returned by Jacoby Jones for 9 yards (tackle by Sean Morey)",-1.310,-0.150
