Unnamed: 0,SEA,TAM
First Downs,16,19
Rush-Yds-TDs,22-127-0,35-118-0
Cmp-Att-Yd-TD-INT,17-33-151-0-2,21-28-220-2-1
Sacked-Yards,6-33,0-0
Net Pass Yards,118,220
Total Yards,245,338
Fumbles-Lost,2-1,2-1
Turnovers,3,2
Penalties-Yards,2-27,7-68
Third Down Conv.,1-11,4-11
Fourth Down Conv.,1-1,0-0
Time of Possession,26:21,33:39
