Quarter,Time,Tm,Detail,ARI,STL
2.0,11:21,Rams,Jeff Wilkins 50 yard field goal,0,3
,8:10,Cardinals,Neil Rackers 22 yard field goal,3,3
,2:39,Rams,Jeff Wilkins 28 yard field goal,3,6
3.0,5:50,Rams,Jeff Wilkins 22 yard field goal,3,9
,0:57,Cardinals,Emmitt Smith 11 yard rush (Neil Rackers kick),10,9
4.0,14:27,Rams,Isaac Bruce 8 yard pass from Marc Bulger (Marshall Faulk run),10,17
