Unnamed: 0,ARI,STL
First Downs,14,27
Rush-Yds-TDs,23-103-1,30-176-0
Cmp-Att-Yd-TD-INT,18-29-181-0-0,23-34-272-1-1
Sacked-Yards,2-24,0-0
Net Pass Yards,157,272
Total Yards,260,448
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,8-59,7-55
Third Down Conv.,5-14,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,26:10,33:50
