Quarter,Time,Tm,Detail,CIN,LAR
1.0,6:41,Rams,Greg Zuerlein 23 yard field goal,0,3
2.0,14:57,Bengals,Randy Bullock 28 yard field goal,3,3
,10:43,Rams,Josh Reynolds 31 yard pass from Jared Goff (Greg Zuerlein kick),3,10
,5:18,Bengals,Joe Mixon 1 yard pass from Andy Dalton (Randy Bullock kick),10,10
,3:57,Rams,Cooper Kupp 65 yard pass from Jared Goff (Greg Zuerlein kick),10,17
3.0,10:14,Rams,Todd Gurley 3 yard rush (Greg Zuerlein kick),10,24
