Quarter,Time,Down,ToGo,Location,CIN,LAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,CIN 25,0,0,"Joe Mixon left guard for 1 yard (tackle by Taylor Rapp). Penalty on Aaron Donald: Defensive Holding, 5 yards",0.610,1.000
1,14:46,1,10,CIN 31,0,0,Joe Mixon left end for 13 yards (tackle by Troy Hill),1.000,1.860
1,14:07,1,10,CIN 44,0,0,Andy Dalton pass complete short left to Joe Mixon for 3 yards (tackle by Marqui Christian),1.860,1.720
1,13:39,2,7,CIN 47,0,0,Giovani Bernard up the middle for 3 yards (tackle by Taylor Rapp),1.720,1.420
1,12:56,3,4,CIN 50,0,0,Andy Dalton pass incomplete short left intended for Tyler Eifert (defended by Marqui Christian),1.420,-0.060
1,12:53,4,4,CIN 50,0,0,"Kevin Huber punts 40 yards, fair catch by Jojo Natson at LA-10",-0.060,0.380
1,12:46,1,10,LAR 10,0,0,Jared Goff pass complete short right to Robert Woods for 31 yards (tackle by Jessie Bates),-0.380,1.660
1,12:10,1,10,LAR 41,0,0,Todd Gurley left guard for 2 yards (tackle by Tony McRae),1.660,1.390
1,11:34,2,8,LAR 43,0,0,Jared Goff pass incomplete deep left intended for Brandin Cooks (defended by Jessie Bates),1.390,0.700
1,11:27,3,8,LAR 43,0,0,Jared Goff pass complete short left to Cooper Kupp for 21 yards (tackle by Anthony Zettel),0.700,3.180
1,10:42,1,10,CIN 36,0,0,"Jared Goff pass complete short middle to Todd Gurley for 3 yards (tackle by Sam Hubbard). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",3.180,2.520
1,10:23,1,20,CIN 46,0,0,Todd Gurley right end for 4 yards (tackle by Preston Brown),2.520,1.830
1,9:43,2,16,CIN 42,0,0,Jared Goff pass complete short middle to Cooper Kupp for 25 yards (tackle by Tony McRae),1.830,4.440
1,9:02,1,10,CIN 17,0,0,Jared Goff pass complete short middle to Tyler Higbee for 8 yards (tackle by B.W. Webb),4.440,5.290
1,8:22,2,2,CIN 9,0,0,Todd Gurley left guard for 3 yards (tackle by Anthony Zettel),5.290,5.830
1,7:39,1,6,CIN 6,0,0,Jared Goff pass incomplete short right intended for Gerald Everett,5.830,4.950
1,7:33,2,6,CIN 6,0,0,Todd Gurley up the middle for 1 yard (tackle by Shawn Williams),4.950,4.260
1,6:48,3,5,CIN 5,0,0,Jared Goff pass incomplete short left intended for Josh Reynolds,4.260,3.010
1,6:44,4,5,CIN 5,0,3,Greg Zuerlein 23 yard field goal good,3.010,3.000
1,6:41,,,LAR 35,0,3,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,6:41,1,10,CIN 25,0,3,Joe Mixon left guard for 3 yards (tackle by Michael Brockers),0.610,0.470
1,6:08,2,7,CIN 28,0,3,Joe Mixon right tackle for 2 yards (tackle by Taylor Rapp and Cory Littleton),0.470,0.040
1,5:28,3,5,CIN 30,0,3,Andy Dalton pass complete short middle to Tyler Eifert for 27 yards (tackle by Marqui Christian),0.040,2.720
1,4:43,1,10,LAR 43,0,3,Joe Mixon right guard for 2 yards (tackle by Michael Brockers),2.720,2.450
1,4:08,2,8,LAR 41,0,3,Andy Dalton pass complete short middle to Tyler Boyd for no gain (tackle by Michael Brockers),2.450,1.750
1,3:25,3,8,LAR 41,0,3,Andy Dalton pass complete short right to Tyler Eifert for 6 yards (tackle by Taylor Rapp),1.750,0.990
1,2:38,4,2,LAR 35,0,3,Andy Dalton pass complete deep left to Tyler Boyd for 22 yards (tackle by Nickell Robey-Coleman),0.990,4.710
1,1:54,1,10,LAR 13,0,3,Andy Dalton sacked by and Michael Brockers for -9 yards,4.710,2.940
1,1:11,2,19,LAR 22,0,3,Andy Dalton pass complete short right to Alex Erickson for 14 yards (tackle by Troy Hill),2.940,4.100
1,0:29,3,5,LAR 8,0,3,"Penalty on Trey Hopkins: False Start, 5 yards (no play)",4.100,3.120
1,0:09,3,10,LAR 13,0,3,Andy Dalton pass complete short middle to Giovani Bernard for 3 yards (tackle by Cory Littleton),3.120,2.760
