Unnamed: 0,CIN,LAR
First Downs,24,19
Rush-Yds-TDs,22-104-0,26-98-1
Cmp-Att-Yd-TD-INT,32-52-329-1-0,17-31-372-2-0
Sacked-Yards,5-32,0-0
Net Pass Yards,297,372
Total Yards,401,470
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,6-40,9-59
Third Down Conv.,6-18,7-13
Fourth Down Conv.,4-6,0-0
Time of Possession,32:43,27:17
