Quarter,Time,Tm,Detail,NWE,IND
1.0,8:37,Patriots,Jonas Gray 4 yard rush (Stephen Gostkowski kick),7,0
,4:19,Colts,Adam Vinatieri 31 yard field goal,7,3
2.0,3:50,Patriots,Jonas Gray 2 yard rush (Stephen Gostkowski kick),14,3
,0:55,Colts,Hakeem Nicks 10 yard pass from Andrew Luck (Adam Vinatieri kick),14,10
3.0,11:10,Patriots,Tim Wright 2 yard pass from Tom Brady (Stephen Gostkowski kick),21,10
,8:31,Colts,Adam Vinatieri 53 yard field goal,21,13
,3:30,Patriots,Jonas Gray 2 yard rush (Stephen Gostkowski kick),28,13
4.0,13:32,Colts,Anthony Castonzo 1 yard pass from Andrew Luck (Adam Vinatieri kick),28,20
,8:43,Patriots,Jonas Gray 1 yard rush (Stephen Gostkowski kick),35,20
,6:46,Patriots,Rob Gronkowski 26 yard pass from Tom Brady (Stephen Gostkowski kick),42,20
