Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck up the middle for 4 yards (tackle by Dont'a Hightower),0.280,0.270
1,14:17,2,6,IND 24,0,0,Trent Richardson up the middle for 1 yard (tackle by Dont'a Hightower and Jamie Collins),0.270,-0.300
1,13:33,3,5,IND 25,0,0,Andrew Luck pass complete short right to Ahmad Bradshaw for 2 yards (tackle by Dont'a Hightower and Jamie Collins),-0.300,-1.570
1,13:03,4,3,IND 27,0,0,"Pat McAfee punts 58 yards, returned by Danny Amendola for 6 yards (tackle by Matt Overton). Penalty on Tavon Wilson: Illegal Block Above the Waist, 10 yards",-1.570,0.370
1,12:51,1,10,NWE 11,0,0,Tom Brady pass incomplete deep left intended for Brian Tyms,-0.370,-0.780
1,12:44,2,10,NWE 11,0,0,Tom Brady pass complete short left to Shane Vereen for 3 yards (tackle by Vontae Davis),-0.780,-1.070
1,12:01,3,7,NWE 14,0,0,Tom Brady pass complete short right to Julian Edelman for 9 yards (tackle by Greg Toler),-1.070,0.480
1,11:31,1,10,NWE 23,0,0,Jonas Gray left tackle for 7 yards (tackle by D'Qwell Jackson),0.480,0.880
1,10:54,2,3,NWE 30,0,0,Jonas Gray up the middle for 7 yards (tackle by D'Qwell Jackson and Bjoern Werner),0.880,1.400
1,10:27,1,10,NWE 37,0,0,Tom Brady pass incomplete short right intended for James Develin,1.400,0.860
1,10:20,2,10,NWE 37,0,0,Shane Vereen up the middle for 18 yards (tackle by Sergio Brown),0.860,2.590
1,9:52,1,10,IND 45,0,0,Jonas Gray left tackle for 16 yards (tackle by Mike Adams and Sergio Brown),2.590,3.640
1,9:20,1,10,IND 29,0,0,Julian Edelman left end for 25 yards (tackle by Greg Toler),3.640,6.280
1,8:46,1,4,IND 4,0,0,Tom Brady pass incomplete short right intended for Julian Edelman,6.280,5.340
1,8:42,2,4,IND 4,6,0,"Jonas Gray right guard for 4 yards, touchdown",5.340,7.000
1,8:42,,,IND 2,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,8:42,,,NWE 35,7,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,8:37,1,10,IND 20,7,0,Trent Richardson left end for no gain (tackle by Vince Wilfork),0.280,-0.270
1,7:55,2,10,IND 20,7,0,"Penalty on Gosder Cherilus: False Start, 5 yards (no play)",-0.270,-1.070
1,7:34,2,15,IND 15,7,0,Andrew Luck pass complete short right to Reggie Wayne for 11 yards (tackle by Kyle Arrington),-1.070,-0.160
1,7:03,3,4,IND 26,7,0,Andrew Luck pass complete short middle to Reggie Wayne for 13 yards (tackle by Logan Ryan),-0.160,1.530
1,6:32,1,10,IND 39,7,0,Andrew Luck pass complete deep left to Reggie Wayne for 46 yards (tackle by Devin McCourty),1.530,4.580
1,5:52,1,10,NWE 15,7,0,Ahmad Bradshaw up the middle for 3 yards (tackle by Dont'a Hightower and Patrick Chung),4.580,4.450
1,5:15,2,7,NWE 12,7,0,Andrew Luck pass complete short right to Ahmad Bradshaw for -1 yards (tackle by Darrelle Revis),4.450,3.400
1,4:29,3,8,NWE 13,7,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,3.400,2.570
1,4:24,4,8,NWE 13,7,3,Adam Vinatieri 31 yard field goal good,2.570,3.000
1,4:24,,,IND 35,7,3,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,4:19,1,10,NWE 20,7,3,Tom Brady pass incomplete short left intended for Julian Edelman,0.280,-0.270
1,4:14,2,10,NWE 20,7,3,Tom Brady pass complete short middle to Rob Gronkowski for 9 yards (tackle by D'Qwell Jackson and Vontae Davis),-0.270,0.230
1,3:45,3,1,NWE 29,7,3,Jonas Gray right end for 20 yards (tackle by Mike Adams),0.230,2.190
1,3:09,1,10,NWE 49,7,3,Tom Brady pass incomplete deep middle intended for Brian Tyms is intercepted by Mike Adams at IND-6,2.190,0.380
1,2:58,1,10,IND 6,7,3,Andrew Luck pass complete short left to T.Y. Hilton for 11 yards (tackle by Brandon Browner),-0.380,-0.060
1,2:31,1,10,IND 17,7,3,Ahmad Bradshaw left end for 5 yards (tackle by Alan Branch),-0.060,0.210
1,1:48,2,5,IND 22,7,3,Andrew Luck sacked by Rob Ninkovich for 0 yards,0.210,-0.620
1,1:07,3,5,IND 22,7,3,Andrew Luck pass complete short left to Coby Fleener for 20 yards (tackle by Kyle Arrington),-0.620,1.730
1,0:35,1,10,IND 42,7,3,Ahmad Bradshaw right end for -2 yards (tackle by Rob Ninkovich),1.730,0.920
Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,12,IND 40,7,3,Andrew Luck pass incomplete short right intended for Ahmad Bradshaw,0.920,0.230
2,14:56,3,12,IND 40,7,3,Andrew Luck pass incomplete deep right intended for Hakeem Nicks,0.230,-0.720
2,14:49,4,12,IND 40,7,3,"Pat McAfee punts 55 yards, returned by Danny Amendola for -1 yards (tackle by Dewey McDonald)",-0.720,0.380
2,14:40,1,10,NWE 4,7,3,Tom Brady pass complete short right to Julian Edelman for 10 yards (tackle by Mike Adams),-0.380,-0.280
2,14:10,1,10,NWE 14,7,3,Jonas Gray left tackle for 6 yards (tackle by Erik Walden and Jerrell Freeman),-0.280,0.150
2,13:45,2,4,NWE 20,7,3,Jonas Gray up the middle for 14 yards (tackle by Mike Adams and LaRon Landry),0.150,1.200
2,13:16,1,10,NWE 34,7,3,Jonas Gray right end for 3 yards (tackle by Greg Toler and Andy Studebaker),1.200,1.060
2,12:42,2,7,NWE 37,7,3,Tom Brady pass complete short right to Danny Amendola for 4 yards (tackle by Bjoern Werner),1.060,0.890
2,12:02,3,3,NWE 41,7,3,Tom Brady pass incomplete deep right intended for Tim Wright,0.890,-0.650
2,11:55,4,3,NWE 41,7,3,"Ryan Allen punts 59 yards, touchback",-0.650,-0.280
2,11:49,1,10,IND 20,7,3,"Trent Richardson right end for 2 yards (tackle by Rob Ninkovich). Penalty on Rob Ninkovich: Illegal Use of Hands, 5 yards",0.280,0.740
2,11:16,1,10,IND 27,7,3,Andrew Luck pass complete deep left to Coby Fleener for 22 yards,0.740,2.190
2,10:45,1,10,IND 49,7,3,Andrew Luck pass complete short right to T.Y. Hilton for no gain,2.190,1.650
2,10:01,2,10,IND 49,7,3,Andrew Luck pass complete deep right to Coby Fleener for 22 yards (tackle by Brandon Browner),1.650,3.640
2,9:17,1,10,NWE 29,7,3,Trent Richardson left end for -3 yards (tackle by Dominique Easley),3.640,2.700
2,8:39,2,13,NWE 32,7,3,Andrew Luck pass incomplete short middle intended for Reggie Wayne is intercepted by Devin McCourty at NWE-22 and returned for 10 yards,2.700,-1.070
2,8:26,1,10,NWE 32,7,3,Tom Brady pass complete short right to Shane Vereen for 3 yards (tackle by Greg Toler),1.070,0.930
2,7:57,2,7,NWE 35,7,3,Jonas Gray right end for 4 yards (tackle by Bjoern Werner),0.930,0.760
2,7:13,3,3,NWE 39,7,3,Tom Brady pass complete short right to Rob Gronkowski for 20 yards (tackle by Mike Adams). Penalty on Mike Adams: Defensive Holding (Declined),0.760,2.850
2,6:51,1,10,IND 41,7,3,Tom Brady pass complete short middle to Danny Amendola for 9 yards (tackle by Mike Adams),2.850,3.520
2,6:21,2,1,IND 32,7,3,Jonas Gray right guard for 3 yards (tackle by Josh Chapman),3.520,3.640
2,5:47,1,10,IND 29,7,3,Tom Brady pass incomplete,3.640,3.100
2,5:40,2,10,IND 29,7,3,Tom Brady pass incomplete short left intended for Brandon LaFell,3.100,2.410
2,5:38,3,10,IND 29,7,3,Tom Brady pass complete short right to Julian Edelman for 13 yards (tackle by Sergio Brown and Darius Butler),2.410,4.510
2,5:08,1,10,IND 16,7,3,Jonas Gray left tackle for 3 yards (tackle by Jerrell Freeman and D'Qwell Jackson),4.510,4.390
2,4:29,2,7,IND 13,7,3,"Tom Brady pass incomplete short right intended for Julian Edelman. Penalty on Greg Toler: Illegal Contact, 5 yards (no play)",4.390,5.370
2,4:24,1,8,IND 8,7,3,Jonas Gray right tackle for 6 yards (tackle by Montori Hughes),5.370,5.720
2,3:54,2,2,IND 2,13,3,"Jonas Gray up the middle for 2 yards, touchdown",5.720,7.000
2,3:54,,,IND 2,14,3,Stephen Gostkowski kicks extra point good,0.000,0.000
2,3:54,,,NWE 35,14,3,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
2,3:50,1,10,IND 20,14,3,Andrew Luck left tackle for 4 yards (tackle by Dont'a Hightower),0.280,0.270
2,3:08,2,6,IND 24,14,3,Andrew Luck pass incomplete deep right intended for Reggie Wayne,0.270,-0.430
2,3:03,3,6,IND 24,14,3,Andrew Luck pass complete short right to Ahmad Bradshaw for 4 yards (tackle by Jamie Collins),-0.430,-1.500
2,2:25,4,2,IND 28,14,3,"Pat McAfee punts 57 yards, returned by Danny Amendola for 6 yards (tackle by Colt Anderson). Penalty on Patrick Chung: Offensive Holding, 8 yards, Penalty on Malcolm Butler: Illegal Block Above the Waist (Declined)",-1.500,0.380
2,2:15,1,10,NWE 8,14,3,Jonas Gray left end for 5 yards (tackle by Jerrell Freeman),-0.380,-0.410
2,2:00,2,5,NWE 13,14,3,Tom Brady pass complete short left to Julian Edelman for 4 yards (tackle by Bjoern Werner),-0.410,-0.370
2,1:25,3,1,NWE 17,14,3,Tom Brady pass incomplete deep left intended for Rob Gronkowski is intercepted by Mike Adams at NWE-33 and returned for 10 yards,-0.370,-4.040
2,1:16,1,10,NWE 23,14,3,Andrew Luck pass incomplete deep left intended for T.Y. Hilton,4.040,3.500
2,1:11,2,10,NWE 23,14,3,Andrew Luck pass complete short middle to T.Y. Hilton for 13 yards (tackle by Darrelle Revis and Kyle Arrington),3.500,3.500
2,1:00,2,10,NWE 23,14,3,Timeout #1 by Indianapolis Colts,3.500,4.910
2,1:00,1,10,NWE 10,14,9,"Andrew Luck pass complete short left to Hakeem Nicks for 10 yards, touchdown",4.910,7.000
2,1:00,,,NWE 2,14,10,Adam Vinatieri kicks extra point good,0.000,0.000
2,1:00,,,IND 35,14,10,"Pat McAfee kicks off 72 yards, returned by Danny Amendola for 21 yards (tackle by Dewey McDonald)",0.000,0.280
2,0:51,1,10,NWE 14,14,10,Tom Brady kneels for -1 yards,-0.280,-0.850
2,0:11,2,11,NWE 13,14,10,Tom Brady kneels for -1 yards,-0.850,-1.650
Quarter,Time,Down,ToGo,Location,NWE,IND,Detail,EPB,EPA
