Unnamed: 0,NWE,IND
First Downs,33,17
Rush-Yds-TDs,44-246-4,16-19-0
Cmp-Att-Yd-TD-INT,19-30-257-2-2,23-39-303-2-1
Sacked-Yards,0-0,1-0
Net Pass Yards,257,303
Total Yards,503,322
Fumbles-Lost,0-0,1-0
Turnovers,2,1
Penalties-Yards,5-53,4-27
Third Down Conv.,9-11,5-13
Fourth Down Conv.,0-0,1-3
Time of Possession,34:21,25:39
