Unnamed: 0,CHI,CIN
First Downs,15,30
Rush-Yds-TDs,12-35-0,45-215-1
Cmp-Att-Yd-TD-INT,27-39-254-1-3,20-24-233-5-0
Sacked-Yards,1-10,0-0
Net Pass Yards,244,233
Total Yards,279,448
Fumbles-Lost,3-1,0-0
Turnovers,4,0
Penalties-Yards,6-44,3-20
Third Down Conv.,5-10,8-12
Fourth Down Conv.,1-2,0-1
Time of Possession,23:38,36:22
