Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss, Bengals to receive the opening kickoff.",,
1,15:00,,,CHI 30,0,0,"Robbie Gould kicks off 66 yards, returned by Andre Caldwell for 19 yards (tackle by Darrell McClover)",0.000,0.480
1,14:53,1,10,CIN 23,0,0,Carson Palmer pass complete deep middle to Chad Johnson for 19 yards (tackle by Danieal Manning),0.480,1.730
1,14:18,1,10,CIN 42,0,0,Cedric Benson left tackle for 7 yards (tackle by Lance Briggs),1.730,2.130
1,13:43,2,3,CIN 49,0,0,Carson Palmer pass incomplete short right intended for Chad Johnson (defended by Charles Tillman),2.130,1.420
1,13:38,3,3,CIN 49,0,0,Carson Palmer pass complete short middle to Chris Henry for 17 yards (tackle by Lance Briggs),1.420,3.310
1,13:00,1,10,CHI 34,0,0,Cedric Benson right end for 23 yards (tackle by Danieal Manning),3.310,4.840
1,12:29,1,10,CHI 11,0,0,Cedric Benson right guard for 3 yards (tackle by Lance Briggs and Nick Roach),4.840,4.700
1,11:50,2,7,CHI 8,0,0,Cedric Benson right end for -1 yards (tackle by Hunter Hillenmeyer),4.700,3.530
1,11:08,3,8,CHI 9,0,6,"Carson Palmer pass complete short right to Chris Henry for 9 yards, touchdown",3.530,7.000
1,,,,CHI 2,0,7,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,7,"Shayne Graham kicks off 66 yards, returned by Johnny Knox for 25 yards (tackle by Morgan Trent)",0.000,0.870
1,10:54,1,10,CHI 29,0,7,"Penalty on Chris Williams: False Start, 5 yards (no play)",0.870,0.540
1,10:54,1,15,CHI 24,0,7,Matt Forte left guard for 4 yards (tackle by Rey Maualuga),0.540,0.190
1,10:16,2,11,CHI 28,0,7,Jay Cutler pass complete short right to Greg Olsen for 5 yards (tackle by Dhani Jones),0.190,0.170
1,9:37,3,6,CHI 33,0,7,"Penalty on Jonathan Fanene: Neutral Zone Infraction, 5 yards (no play)",0.170,0.830
1,9:16,3,1,CHI 38,0,7,Matt Forte right tackle for 2 yards (tackle by Chris Crocker),0.830,1.600
1,8:41,1,10,CHI 40,0,7,Matt Forte right guard for 5 yards (tackle by Rey Maualuga),1.600,1.730
1,7:58,2,5,CHI 45,0,7,Jay Cutler pass complete short right to Devin Hester for 7 yards (tackle by Johnathan Joseph),1.730,2.390
1,7:34,1,10,CIN 48,0,7,Matt Forte middle for no gain (tackle by Nedu Ndukwe and Tank Johnson),2.390,1.850
1,6:53,2,10,CIN 48,0,7,Jay Cutler pass complete short right to Matt Forte for -4 yards (tackle by Dhani Jones),1.850,0.630
1,6:09,3,14,CHI 48,0,7,Jay Cutler pass complete short left to Greg Olsen for 7 yards (tackle by Leon Hall),0.630,0.270
1,5:26,4,7,CIN 45,0,7,"Brad Maynard punts 45 yards, touchback",0.270,-0.280
1,5:16,1,10,CIN 20,0,7,Cedric Benson right end for 18 yards (tackle by Al Afalava),0.280,1.470
1,4:48,1,10,CIN 38,0,7,Cedric Benson left tackle for 7 yards (tackle by Alex Brown and Al Afalava),1.470,1.870
1,4:04,2,3,CIN 45,0,7,Carson Palmer pass complete short right to Chad Johnson for 4 yards,1.870,2.190
1,3:38,1,10,CIN 49,0,7,Carson Palmer pass complete deep left to Chad Johnson for 19 yards (tackle by Nick Roach and Lance Briggs),2.190,3.450
1,3:01,1,10,CHI 32,0,7,Bernard Scott left end for 11 yards (tackle by Zackary Bowman),3.450,4.170
1,2:34,1,10,CHI 21,0,7,Cedric Benson left tackle for 8 yards (tackle by Lance Briggs),4.170,4.950
1,1:52,2,2,CHI 13,0,7,Cedric Benson right end for 5 yards (tackle by Israel Idonije),4.950,5.370
1,1:13,1,8,CHI 8,0,13,"Carson Palmer pass complete short right to Chad Johnson for 8 yards, touchdown. Penalty on Charles Tillman: Illegal Contact (Declined)",5.370,7.000
1,,,,CHI 2,0,14,Shayne Graham kicks extra point good,0.000,0.000
1,,,,CIN 30,0,14,"Shayne Graham kicks off 64 yards, returned by Johnny Knox for 23 yards (tackle by Brandon Johnson)",0.000,0.870
1,1:02,1,10,CHI 29,0,14,Jay Cutler sacked by Frostee Rucker for -10 yards,0.870,-1.080
1,0:25,2,20,CHI 19,0,14,Jay Cutler pass complete short right to Matt Forte for 6 yards (tackle by Keith Rivers),-1.080,-0.890
Quarter,Time,Down,ToGo,Location,CHI,CIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,CHI 25,0,14,"Jay Cutler for 2 yards. Jay Cutler fumbles, recovered by Jay Cutler at CHI-21",-0.890,-1.570
2,14:27,4,12,CHI 27,0,14,"Brad Maynard punts 36 yards, fair catch by Quan Cosby",-1.570,-1.400
2,14:18,1,10,CIN 37,0,14,Cedric Benson right tackle for no gain (tackle by Anthony Adams and Marcus Harrison),1.400,0.860
2,13:36,2,10,CIN 37,0,14,Carson Palmer pass complete deep left to Laveranues Coles for 29 yards,0.860,3.310
2,13:10,1,10,CHI 34,0,14,Cedric Benson left tackle for 4 yards (tackle by Alex Brown),3.310,3.310
2,12:32,2,6,CHI 30,0,14,Carson Palmer pass complete short right to Chad Johnson for 14 yards (tackle by Zackary Bowman),3.310,4.510
2,12:05,1,10,CHI 16,0,14,Carson Palmer pass complete short middle to Chad Johnson for 13 yards (tackle by Nick Roach),4.510,6.510
2,11:24,1,3,CHI 3,0,14,Carson Palmer pass incomplete short right intended for Laveranues Coles (defended by Gaines Adams),6.510,5.530
2,11:20,2,3,CHI 3,0,20,"Carson Palmer pass complete short left to John Paul Foschi for 3 yards, touchdown",5.530,7.000
2,,,,CHI 2,0,21,Shayne Graham kicks extra point good,0.000,0.000
2,,,,CIN 30,0,21,"Shayne Graham kicks off 63 yards, returned by Johnny Knox for 20 yards (tackle by Quan Cosby)",0.000,0.740
2,11:08,1,10,CHI 27,0,21,Jay Cutler pass incomplete short right intended for Desmond Clark,0.740,0.200
2,11:02,2,10,CHI 27,0,21,Jay Cutler pass incomplete short left intended for Johnny Knox,0.200,-0.490
2,10:57,3,10,CHI 27,0,21,Jay Cutler pass complete short middle to Earl Bennett for 10 yards (tackle by Morgan Trent),-0.490,1.400
2,10:24,1,10,CHI 37,0,21,Garrett Wolfe middle for 2 yards (tackle by Brandon Johnson and Nedu Ndukwe),1.400,1.130
2,9:49,2,8,CHI 39,0,21,"Penalty on Robert Geathers: Defensive Offside, 5 yards (no play)",1.130,1.800
