Unnamed: 0,ARI,SEA
First Downs,16,10
Rush-Yds-TDs,43-139-0,20-103-0
Cmp-Att-Yd-TD-INT,13-25-178-1-4,11-27-108-1-1
Sacked-Yards,2-10,4-19
Net Pass Yards,168,89
Total Yards,307,192
Fumbles-Lost,0-0,2-1
Turnovers,4,2
Penalties-Yards,7-46,9-102
Third Down Conv.,6-19,2-13
Fourth Down Conv.,0-0,0-0
Time of Possession,37:24,22:36
