Quarter,Time,Tm,Detail,BAL,PIT
1.0,6:03,Steelers,Heath Miller 4 yard pass from Ben Roethlisberger (Jeff Reed kick),0,7
,1:54,Ravens,Chester Taylor 13 yard pass from Anthony Wright (Matt Stover kick),7,7
2.0,13:21,Steelers,Jeff Reed 42 yard field goal,7,10
,5:03,Ravens,Matt Stover 22 yard field goal,10,10
3.0,7:47,Steelers,Heath Miller 8 yard pass from Ben Roethlisberger (Jeff Reed kick),10,17
4.0,13:56,Ravens,Matt Stover 40 yard field goal,13,17
,8:40,Ravens,Matt Stover 49 yard field goal,16,17
,3:21,Ravens,Matt Stover 47 yard field goal,19,17
,1:36,Steelers,Jeff Reed 37 yard field goal,19,20
