Unnamed: 0,BAL,PIT
First Downs,20,19
Rush-Yds-TDs,27-72-0,28-101-0
Cmp-Att-Yd-TD-INT,25-44-252-1-2,18-31-177-2-1
Sacked-Yards,2-6,2-17
Net Pass Yards,246,160
Total Yards,318,261
Fumbles-Lost,1-1,2-1
Turnovers,3,2
Penalties-Yards,6-38,4-19
Third Down Conv.,9-18,4-12
Fourth Down Conv.,1-3,1-2
Time of Possession,31:04,28:56
