Quarter,Time,Tm,Detail,TAM,ATL
2.0,10:44,Falcons,Jason Elam 45 yard field goal,0,3
,6:31,Falcons,Jerious Norwood 22 yard pass from Chris Redman (Jason Elam kick),0,10
,5:40,Buccaneers,Antonio Bryant 42 yard pass from Josh Freeman (Connor Barth kick),7,10
,0:20,Buccaneers,Connor Barth 39 yard field goal,10,10
3.0,11:42,Buccaneers,Cadillac Williams 8 yard pass from Josh Freeman (Connor Barth kick),17,10
,6:42,Falcons,Jason Elam 37 yard field goal,17,13
4.0,0:23,Falcons,Roddy White 5 yard pass from Chris Redman (Jason Elam kick),17,20
