Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Connor Barth kicks off 64 yards, returned by Eric Weems for 17 yards (tackle by Quincy Black)",0.000,0.480
1,14:54,1,10,ATL 23,0,0,Matt Ryan pass incomplete deep right intended for Roddy White (defended by Aqib Talib),0.480,-0.070
1,14:50,,,,0,0,Timeout #1 by Atlanta Falcons,0.000,-0.070
1,14:50,2,10,ATL 23,0,0,Michael Turner middle for 11 yards (tackle by Geno Hayes and Barrett Ruud),-0.070,1.200
1,14:13,1,10,ATL 34,0,0,Michael Turner left guard for 2 yards (tackle by Barrett Ruud),1.200,0.930
1,13:38,2,8,ATL 36,0,0,Michael Turner left tackle for 2 yards (tackle by Stylez G. White),0.930,0.500
1,13:00,3,6,ATL 38,0,0,Matt Ryan pass complete short right to Michael Jenkins for 6 yards (tackle by Aqib Talib),0.500,1.860
1,12:19,1,10,ATL 44,0,0,"Matt Ryan pass incomplete. Penalty on Tyson Clabo: Illegal Formation, 5 yards (no play)",1.860,1.530
1,12:15,1,15,ATL 39,0,0,Jerious Norwood middle for -1 yards (tackle by Ryan Sims),1.530,0.510
1,11:34,2,16,ATL 38,0,0,Matt Ryan pass complete short right to Michael Jenkins for 9 yards (tackle by Ronde Barber),0.510,1.030
1,10:57,3,7,ATL 47,0,0,Matt Ryan sacked by Tim Crowder and Stylez G. White for -3 yards,1.030,-0.460
1,10:35,4,10,ATL 44,0,0,Michael Koenen punts 52 yards,-0.460,0.380
1,10:22,1,10,TAM 4,0,0,Cadillac Williams middle for 5 yards (tackle by Chris Houston),-0.380,-0.420
1,9:49,2,5,TAM 9,0,0,Cadillac Williams left end for -2 yards (tackle by Thomas Johnson),-0.420,-1.070
1,9:10,3,7,TAM 7,0,0,Josh Freeman pass complete short left to Kellen Winslow for 8 yards (tackle by Stephen Nicholas),-1.070,-0.220
1,8:31,1,10,TAM 15,0,0,Earnest Graham left guard for no gain (tackle by Curtis Lofton),-0.220,-0.710
1,7:50,2,10,TAM 15,0,0,Josh Freeman pass complete short left to Maurice Stovall for 10 yards (tackle by Stephen Nicholas),-0.710,0.610
1,7:10,1,10,TAM 25,0,0,Cadillac Williams middle for 6 yards (tackle by Erik Coleman),0.610,0.870
1,6:34,2,4,TAM 31,0,0,Cadillac Williams right tackle for 5 yards (tackle by Thomas DeCoud),0.870,1.330
1,5:55,1,10,TAM 36,0,0,Josh Freeman pass complete short right to Jerramy Stevens for 6 yards (tackle by Mike Peterson),1.330,1.600
1,5:16,2,4,TAM 42,0,0,Cadillac Williams right tackle for 8 yards (tackle by Curtis Lofton),1.600,2.260
1,4:32,1,10,TAM 50,0,0,Derrick Ward middle for 1 yard (tackle by Jonathan Babineaux and Mike Peterson),2.260,1.850
1,3:53,2,9,ATL 49,0,0,Josh Freeman pass incomplete short left intended for Kellen Winslow,1.850,1.160
1,3:47,3,9,ATL 49,0,0,"Penalty on Maurice Stovall: False Start, 5 yards (no play)",1.160,0.500
1,3:24,3,14,TAM 46,0,0,Josh Freeman pass incomplete short right intended for Earnest Graham,0.500,-0.320
1,3:17,4,14,TAM 46,0,0,"Dirk Johnson punts 54 yards, touchback",-0.320,-0.280
1,3:08,1,10,ATL 20,0,0,Michael Turner left end for -6 yards (tackle by Ronde Barber),0.280,-1.180
1,2:27,2,16,ATL 14,0,0,Chris Redman pass incomplete short middle intended for Roddy White (defended by Quincy Black),-1.180,-2.030
1,2:21,3,16,ATL 14,0,0,Chris Redman pass complete deep middle to Tony Gonzalez for 17 yards (tackle by Barrett Ruud),-2.030,1.000
1,1:40,1,10,ATL 31,0,0,Michael Turner right end for -2 yards (tackle by Geno Hayes),1.000,0.190
1,1:17,2,12,ATL 29,0,0,Chris Redman sacked by Quincy Black and Jimmy Wilkerson for -1 yards,0.190,-0.630
1,0:49,,,,0,0,Timeout #1 by Tampa Bay Buccaneers,0.000,-0.630
1,0:49,3,13,ATL 28,0,0,Chris Redman pass complete short left to Tony Gonzalez for 11 yards (tackle by Quincy Black),-0.630,-0.780
1,0:23,4,2,ATL 39,0,0,"Michael Koenen punts 43 yards, returned by Clifton Smith for 4 yards (tackle by Kroy Biermann). Penalty on Quincy Black: Defensive Offside, 5 yards, Penalty on Derrick Roberson: Illegal Block Above the (Declined) (no play)",-0.780,1.860
1,0:12,1,10,ATL 44,0,0,Michael Turner right guard for 7 yards (tackle by Tim Crowder),1.860,2.260
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,TAM 49,0,0,Chris Redman pass complete short right to Roddy White for 18 yards (tackle by Quincy Black),2.260,3.510
2,14:36,,,,0,0,Timeout #2 by Atlanta Falcons,0.000,3.510
2,14:36,1,10,TAM 31,0,0,Chris Redman sacked by Tim Crowder for -9 yards,3.510,1.750
2,14:03,2,19,TAM 40,0,0,Chris Redman pass complete short left to Eric Weems for 5 yards (tackle by Ronde Barber),1.750,1.750
2,13:34,3,14,TAM 35,0,0,Chris Redman pass complete short right to Michael Jenkins for 14 yards,1.750,4.170
2,12:50,1,10,TAM 21,0,0,"Chris Redman pass incomplete deep middle intended for Roddy White. Penalty on Harvey Dahl: Offensive Holding (Offsetting), Penalty on Geno Hayes: Illegal Contact (Offsetting) (no play)",4.170,4.170
2,12:45,1,10,TAM 21,0,0,Michael Turner middle for 3 yards (tackle by Geno Hayes),4.170,4.040
2,12:03,2,7,TAM 18,0,0,Michael Turner left guard for no gain (tackle by Roy Miller),4.040,3.310
2,11:18,3,7,TAM 18,0,0,Chris Redman sacked by Stylez G. White for -9 yards,3.310,1.670
2,10:49,4,16,TAM 27,0,3,Jason Elam 45 yard field goal good,1.670,3.000
2,,,,ATL 30,0,3,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,10:44,1,10,TAM 20,0,3,Josh Freeman pass complete short left to Maurice Stovall for 8 yards (tackle by Mike Peterson),0.280,0.810
2,10:08,2,2,TAM 28,0,3,Cadillac Williams left end for no gain (tackle by Kroy Biermann),0.810,0.100
2,9:30,3,2,TAM 28,0,3,Josh Freeman pass incomplete short right intended for Sammie Stroughter,0.100,-1.500
2,9:25,4,2,TAM 28,0,3,Dirk Johnson punts 30 yards,-1.500,-1.730
2,9:17,1,10,ATL 42,0,3,Chris Redman right end for 5 yards (tackle by Quincy Black),1.730,1.860
2,8:47,2,5,ATL 47,0,3,Jerious Norwood left tackle for 18 yards (tackle by Geno Hayes),1.860,3.250
2,8:25,1,10,TAM 35,0,3,Jason Snelling left tackle for 2 yards (tackle by Chris Hovan),3.250,2.970
2,7:50,2,8,TAM 33,0,3,Chris Redman pass complete short left to Michael Jenkins for 12 yards (tackle by Aqib Talib),2.970,4.170
2,7:18,1,10,TAM 21,0,3,Michael Turner right tackle for -1 yards (tackle by Quincy Black),4.170,3.490
2,6:38,2,11,TAM 22,0,9,"Chris Redman pass complete short middle to Jerious Norwood for 22 yards, touchdown",3.490,7.000
2,,,,TAM 2,0,10,Jason Elam kicks extra point good,0.000,0.000
2,,,,ATL 30,0,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
2,6:31,1,10,TAM 20,0,10,Josh Freeman pass complete deep middle to Antonio Bryant for 38 yards (tackle by Tye Hill),0.280,2.790
2,5:49,1,10,ATL 42,6,10,"Josh Freeman pass complete deep left to Antonio Bryant for 42 yards, touchdown",2.790,7.000
2,,,,ATL 2,7,10,Connor Barth kicks extra point good,0.000,0.000
2,,,,TAM 30,7,10,"Connor Barth kicks off 69 yards, returned by Eric Weems for 15 yards (tackle by Earnest Graham)",0.000,-0.140
2,5:35,1,10,ATL 16,7,10,Michael Turner right end for -4 yards (tackle by Barrett Ruud),-0.140,-1.070
2,5:00,2,14,ATL 12,7,10,Chris Redman pass complete short left to Roddy White for 8 yards (tackle by Geno Hayes),-1.070,-0.820
2,4:17,3,6,ATL 20,7,10,Chris Redman sacked by Stylez G. White for -8 yards,-0.820,-2.490
2,3:59,4,14,ATL 12,7,10,"Michael Koenen punts 54 yards, fair catch by Clifton Smith",-2.490,-1.200
2,3:50,1,10,TAM 34,7,10,Josh Freeman pass complete short middle to Maurice Stovall for 8 yards (tackle by Chris Houston),1.200,1.740
2,3:14,2,2,TAM 42,7,10,Josh Freeman pass complete deep right to Kellen Winslow for 21 yards (tackle by Thomas DeCoud and Stephen Nicholas),1.740,3.120
2,2:35,1,10,ATL 37,7,10,Derrick Ward middle for 1 yard (tackle by Curtis Lofton and Vance Walker),3.120,2.710
2,2:00,2,9,ATL 36,7,10,"Penalty on Donald Penn: False Start, 5 yards (no play)",2.710,2.030
2,2:00,2,14,ATL 41,7,10,"Josh Freeman pass complete short right to Sammie Stroughter for 12 yards (tackle by Chris Owens). Penalty on Curtis Lofton: Unnecessary Roughness, 14 yards",2.030,4.580
2,1:51,1,10,ATL 15,7,10,Derrick Ward middle for 2 yards (tackle by Jonathan Babineaux and Jamaal Anderson),4.580,4.280
2,1:07,2,8,ATL 13,7,10,Josh Freeman pass complete short left to Sammie Stroughter for -3 yards (tackle by John Abraham and Chris Houston),4.280,3.040
2,0:28,3,11,ATL 16,7,10,Josh Freeman pass incomplete short right intended for Maurice Stovall,3.040,2.380
2,0:24,4,11,ATL 16,7,10,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",2.380,2.060
2,0:24,4,16,ATL 21,10,10,Connor Barth 39 yard field goal good,2.060,3.000
2,,,,TAM 30,10,10,"Connor Barth kicks off 65 yards, returned by Eric Weems for 13 yards (tackle by Corey Lynch)",0.000,0.040
2,0:15,1,10,ATL 18,10,10,Chris Redman kneels for -1 yards,0.040,-0.650
Quarter,Time,Down,ToGo,Location,TAM,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,10,10,"Michael Koenen kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,TAM 20,10,10,Josh Freeman pass complete short right to Earnest Graham for 15 yards (tackle by Chris Owens),0.280,1.270
3,14:24,1,10,TAM 35,10,10,Cadillac Williams right guard for 2 yards (tackle by Curtis Lofton),1.270,0.990
3,13:49,2,8,TAM 37,10,10,Josh Freeman right end for 6 yards (tackle by Curtis Lofton),0.990,1.090
3,13:02,3,2,TAM 43,10,10,Josh Freeman pass incomplete short middle intended for Sammie Stroughter,1.090,-0.520
3,12:56,4,2,TAM 43,10,10,"Dirk Johnson punts 35 yards, fair catch by Eric Weems",-0.520,-0.410
3,12:48,1,10,ATL 22,10,10,Chris Redman pass incomplete deep right intended for Roddy White (defended by Sabby Piscitelli),0.410,-0.130
3,12:41,2,10,ATL 22,10,10,Jerious Norwood middle for 1 yard (tackle by Ryan Sims),-0.130,-0.690
3,12:06,3,9,ATL 23,10,10,Chris Redman pass incomplete deep middle intended for Roddy White. Penalty on Roddy White: Illegal Motion (Declined),-0.690,-1.830
3,12:00,4,9,ATL 23,10,10,Michael Koenen punts no gain,-1.830,-5.370
3,11:53,1,8,ATL 8,10,10,Josh Freeman pass incomplete short right intended for Sammie Stroughter,5.370,4.570
3,11:48,2,8,ATL 8,16,10,"Josh Freeman pass complete short right to Cadillac Williams for 8 yards, touchdown",4.570,7.000
3,,,,ATL 2,17,10,Connor Barth kicks extra point good,0.000,0.000
3,,,,TAM 30,17,10,"Connor Barth kicks off 70 yards, returned by Eric Weems for 31 yards (tackle by Matt McCoy)",0.000,1.000
3,11:35,1,10,ATL 31,17,10,Michael Turner left end for 18 yards (tackle by Tanard Jackson and Sabby Piscitelli),1.000,2.190
3,10:58,1,10,ATL 49,17,10,Michael Turner left tackle for 3 yards (tackle by Stylez G. White and Barrett Ruud),2.190,2.050
3,10:24,2,7,TAM 48,17,10,Chris Redman pass complete short middle to Tony Gonzalez for 8 yards (tackle by Sabby Piscitelli),2.050,2.920
3,9:45,1,10,TAM 40,17,10,Chris Redman pass complete short middle to Michael Jenkins for 18 yards (tackle by Quincy Black),2.920,4.110
3,9:08,1,10,TAM 22,17,10,"Jerious Norwood left tackle for 4 yards (tackle by Barrett Ruud). Penalty on Michael Jenkins: Offensive Holding, 10 yards",4.110,3.710
3,8:31,1,16,TAM 28,17,10,Chris Redman pass complete short right to Tony Gonzalez for 4 yards (tackle by Barrett Ruud and Quincy Black),3.710,3.290
3,7:54,2,12,TAM 24,17,10,Chris Redman sacked by Ronde Barber for -6 yards,3.290,1.820
3,7:22,3,18,TAM 30,17,10,Chris Redman pass complete short left to Roddy White for 11 yards (tackle by Torrie Cox),1.820,2.180
3,6:45,4,7,TAM 19,17,13,Jason Elam 37 yard field goal good,2.180,3.000
3,,,,ATL 30,17,13,"Michael Koenen kicks off 70 yards, returned by Clifton Smith for 22 yards (tackle by Eric Weems)",0.000,0.410
3,6:37,1,10,TAM 22,17,13,"Josh Freeman pass incomplete short middle intended for Derrick Ward. Penalty on Davin Joseph: Offensive Holding, 10 yards (no play)",0.410,-0.660
3,6:31,1,20,TAM 12,17,13,Derrick Ward middle for -2 yards (tackle by Kroy Biermann),-0.660,-1.660
3,5:52,2,22,TAM 10,17,13,Josh Freeman pass incomplete short left intended for Antonio Bryant,-1.660,-2.820
