Unnamed: 0,KAN,SDG
First Downs,5,25
Rush-Yds-TDs,17-48-0,43-207-2
Cmp-Att-Yd-TD-INT,9-20-48-0-0,18-24-226-2-1
Sacked-Yards,4-29,2-7
Net Pass Yards,19,219
Total Yards,67,426
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,2-15,6-47
Third Down Conv.,0-11,11-15
Fourth Down Conv.,1-1,0-0
Time of Possession,19:50,40:10
