Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
1,8:06,1,10,TAM 41,0,7,Tyler Thigpen pass complete short right to Brad Cottam for 8 yards (tackle by Derrick Brooks),2.850,3.390
1,7:26,2,2,TAM 33,0,7,Kolby Smith up the middle for 6 yards (tackle by Barrett Ruud). Penalty on Gaines Adams: Defensive Offside (Declined),3.390,3.780
1,7:06,1,10,TAM 27,0,7,Tyler Thigpen pass complete short middle to Tony Gonzalez for 15 yards (tackle by Tanard Jackson),3.780,4.780
1,6:23,1,10,TAM 12,0,7,Kolby Smith left end for 4 yards (tackle by Gaines Adams),4.780,4.830
1,5:44,2,6,TAM 8,0,7,Kolby Smith up the middle for 5 yards (tackle by Derrick Brooks and Sabby Piscitelli),4.830,5.060
1,5:01,3,1,TAM 3,0,7,"Tyler Thigpen pass incomplete short middle intended for Tony Gonzalez. Penalty on Ronde Barber: Defensive Holding, 2 yards (no play)",5.060,6.970
1,4:55,1,1,TAM 1,0,7,Tyler Thigpen pass incomplete short middle intended for Tony Gonzalez,6.970,5.910
1,4:51,2,1,TAM 1,0,13,"Kolby Smith up the middle for 1 yard, touchdown",5.910,7.000
1,,,,TAM 2,0,14,Connor Barth kicks extra point good,0.000,0.000
1,,,,KAN 30,0,14,"Connor Barth kicks off 68 yards, returned by Clifton Smith for 23 yards (tackle by Jon McGraw)",0.000,0.610
1,4:42,1,10,TAM 25,0,14,Earnest Graham up the middle for 2 yards (tackle by Derrick O. Johnson and Brandon Flowers),0.610,0.330
1,4:15,2,8,TAM 27,0,14,Earnest Graham up the middle for 6 yards (tackle by Pat Thomas and Turk McBride),0.330,0.430
1,3:36,3,2,TAM 33,0,14,Earnest Graham right end for 3 yards (tackle by Pat Thomas and Jarrad Page),0.430,1.330
1,2:57,1,10,TAM 36,0,14,Jeff Garcia pass complete short middle to John Gilmore for 4 yards (tackle by Pat Thomas),1.330,1.330
1,2:16,2,6,TAM 40,0,14,Jeff Garcia pass complete short left to John Gilmore for 12 yards (tackle by Donnie Edwards),1.330,2.390
1,1:35,1,10,KAN 48,0,14,Earnest Graham up the middle for 2 yards (tackle by Ron Edwards),2.390,2.120
1,0:56,2,8,KAN 46,0,14,Jeff Garcia pass incomplete short middle intended for Earnest Graham,2.120,1.420
1,0:51,3,8,KAN 46,0,14,Jeff Garcia pass complete short middle to Michael Clayton for 12 yards (tackle by Brandon Flowers),1.420,3.310
1,0:08,1,10,KAN 34,0,14,Jeff Garcia pass complete deep left to Antonio Bryant for 21 yards (tackle by Maurice Leggett),3.310,4.710
Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,KAN 13,0,14,Earnest Graham left end for 5 yards (tackle by Derrick O. Johnson),4.710,4.960
2,14:31,2,5,KAN 8,0,14,Earnest Graham up the middle for 3 yards (tackle by Turk McBride),4.960,4.780
2,13:53,3,2,KAN 5,0,14,Michael Bennett left end for -2 yards (tackle by Turk McBride and Jarrad Page),4.780,2.990
2,13:08,4,4,KAN 7,3,14,Matt Bryant 25 yard field goal good,2.990,3.000
2,,,,TAM 30,3,14,"Matt Bryant kicks off 63 yards, returned by Dantrell Savage for 21 yards (tackle by Geno Hayes)",0.000,0.810
2,12:58,1,10,KAN 28,3,14,Jamaal Charles up the middle for 6 yards (tackle by Derrick Brooks),0.810,1.070
2,12:22,2,4,KAN 34,3,14,Tyler Thigpen pass complete short left to Mark Bradley for 3 yards (tackle by Barrett Ruud),1.070,0.760
2,11:38,3,1,KAN 37,3,14,Jamaal Charles up the middle for 16 yards (tackle by Sabby Piscitelli),0.760,2.460
2,10:56,1,10,TAM 47,3,14,Jamaal Charles left tackle for 10 yards (tackle by Derrick Brooks),2.460,3.120
2,10:20,,,,3,14,Timeout #1 by Kansas City Chiefs,0.000,3.120
2,10:19,1,10,TAM 37,3,20,"Mark Bradley pass complete deep right to Tyler Thigpen for 37 yards, touchdown",3.120,7.000
2,,,,TAM 2,3,21,Connor Barth kicks extra point good,0.000,0.000
2,,,,KAN 30,3,21,"Connor Barth kicks off 66 yards, returned by Clifton Smith for 36 yards (tackle by Jon McGraw)",0.000,1.600
2,10:04,1,10,TAM 40,3,21,Jeff Garcia pass incomplete short left intended for Jerramy Stevens,1.600,1.050
2,9:59,2,10,TAM 40,3,21,Earnest Graham up the middle for 3 yards (tackle by Tamba Hali and Donnie Edwards),1.050,0.760
2,9:19,3,7,TAM 43,3,21,Jeff Garcia pass complete short middle to Antonio Bryant for 17 yards (tackle by Derrick O. Johnson),0.760,2.920
2,8:45,1,10,KAN 40,3,21,Earnest Graham up the middle for 5 yards (tackle by Brandon Flowers and Tank Tyler),2.920,3.050
2,8:07,2,5,KAN 35,3,21,Jeff Garcia pass incomplete deep left intended for Jerramy Stevens is intercepted by Brandon Carr at KAN-7 and returned for 35 yards (tackle by Alex Smith),3.050,-1.730
2,7:55,1,10,KAN 42,3,21,Kolby Smith up the middle for 5 yards (tackle by Will Allen),1.730,1.860
2,7:27,2,5,KAN 47,3,21,Jamaal Charles up the middle for 2 yards (tackle by Barrett Ruud),1.860,1.420
2,6:46,3,3,KAN 49,3,21,Tyler Thigpen pass complete short right to Tony Gonzalez for 5 yards (tackle by Cato June),1.420,2.520
,,,,,,,"KAN challenged the fumble ruling, and the original play was overturned.",,
2,6:13,1,10,TAM 46,3,21,Tyler Thigpen for 1 yard,2.520,2.110
2,5:45,2,9,TAM 45,3,21,Tyler Thigpen pass incomplete short right intended for Dwayne Bowe (defended by Phillip Buchanon),2.110,1.420
2,5:41,3,9,TAM 45,3,21,Tyler Thigpen pass incomplete deep left intended for Dwayne Bowe (defended by Aqib Talib),1.420,0.270
2,5:35,4,9,TAM 45,3,21,"Steve Weatherford punts 45 yards, touchback",0.270,-0.280
2,5:27,1,10,TAM 20,3,21,Michael Bennett up the middle for 3 yards (tackle by Tank Tyler and Bernard Pollard),0.280,0.140
2,4:44,2,7,TAM 23,3,21,Jeff Garcia pass complete short left to Antonio Bryant for 4 yards (tackle by Maurice Leggett),0.140,-0.030
2,4:06,3,3,TAM 27,3,21,Jeff Garcia pass incomplete short middle intended for Michael Clayton (defended by Brandon Flowers),-0.030,-1.570
2,4:02,4,3,TAM 27,3,21,"Josh Bidwell punts 50 yards, returned by Dantrell Savage for 9 yards (tackle by Will Allen)",-1.570,-1.070
2,3:50,1,10,KAN 32,3,21,Tyler Thigpen pass complete deep right to Mark Bradley for 56 yards (tackle by Phillip Buchanon),1.070,4.780
2,3:03,1,10,TAM 12,3,21,Tyler Thigpen pass incomplete short right intended for Tony Gonzalez,4.780,4.100
2,2:58,2,10,TAM 12,3,21,"Jamaal Charles left tackle for 5 yards (tackle by Barrett Ruud). Penalty on Brian Waters: Offensive Holding, 10 yards (no play)",4.100,2.870
2,2:37,2,20,TAM 22,3,21,Tyler Thigpen up the middle for 1 yard,2.870,2.350
2,2:24,,,,3,21,Timeout #1 by Tampa Bay Buccaneers,0.000,2.350
2,2:24,3,19,TAM 21,3,21,Tyler Thigpen pass incomplete deep right intended for Tony Gonzalez (defended by Tanard Jackson),2.350,2.060
2,2:17,4,19,TAM 21,3,24,Connor Barth 39 yard field goal good,2.060,3.000
2,,,,KAN 30,9,24,"Connor Barth kicks off 67 yards, returned by Clifton Smith for 97 yards, touchdown",0.000,7.000
2,,,,KAN 2,10,24,Matt Bryant kicks extra point good,0.000,0.000
2,,,,TAM 30,10,24,"Matt Bryant kicks off 50 yards, returned by Dantrell Savage for 16 yards (tackle by Jameel Cook)",0.000,1.330
2,1:55,1,10,KAN 36,10,24,"Jamaal Charles up the middle for 6 yards (tackle by Barrett Ruud). Penalty on Barrett Ruud: Face Mask (15 Yards), 15 yards",1.330,2.720
2,1:49,1,10,TAM 43,10,24,Tyler Thigpen pass incomplete short left intended for Will Franklin (defended by Sabby Piscitelli),2.720,2.180
2,1:44,2,10,TAM 43,10,24,Tyler Thigpen pass complete short right to Mark Bradley for 4 yards (tackle by Derrick Brooks),2.180,2.010
2,1:21,3,6,TAM 39,10,24,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe,2.010,0.660
2,1:16,4,6,TAM 39,10,24,"Steve Weatherford punts 39 yards, touchback",0.660,-0.280
2,1:08,1,10,TAM 20,10,24,Jeff Garcia pass complete short right to Earnest Graham for -1 yards (tackle by Glenn Dorsey),0.280,-0.460
2,0:52,,,,10,24,Timeout #2 by Kansas City Chiefs,0.000,-0.460
2,0:52,2,11,TAM 19,10,24,Jeff Garcia pass incomplete short left intended for Jerramy Stevens,-0.460,-1.140
2,0:46,3,11,TAM 19,10,24,"Jeff Garcia pass incomplete short left intended for Earnest Graham. Penalty on Turk McBride: Roughing the Passer, 15 yards (no play)",-1.140,1.200
2,0:41,1,10,TAM 34,10,24,Jeff Garcia pass complete deep middle to Joey Galloway for 22 yards (tackle by Brandon Carr),1.200,2.650
2,0:33,,,,10,24,Timeout #2 by Tampa Bay Buccaneers,0.000,0.000
2,0:33,,,,10,24,Timeout #3 by Kansas City Chiefs,0.000,2.650
2,0:33,1,10,KAN 44,10,24,Jeff Garcia pass complete short right to Antonio Bryant for 8 yards (tackle by Donnie Edwards),2.650,3.190
2,0:15,2,2,KAN 36,10,24,Jeff Garcia pass incomplete short left intended for Joey Galloway,3.190,2.480
2,0:12,3,2,KAN 36,10,24,Jeff Garcia pass complete short left to Earnest Graham for 11 yards (tackle by Maurice Leggett),2.480,3.910
2,0:04,,,,10,24,Timeout #3 by Tampa Bay Buccaneers,0.000,3.910
2,0:04,1,10,KAN 25,13,24,Matt Bryant 43 yard field goal good,3.910,3.000
Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,KAN 30,13,24,"Connor Barth kicks off 57 yards, returned by Brian Clark for 22 yards (tackle by Jon McGraw)",0.000,1.270
3,14:55,1,10,TAM 35,13,24,Earnest Graham right end for 3 yards (tackle by Rocky Boiman and Tamba Hali),1.270,1.130
3,14:23,2,7,TAM 38,13,24,Jeff Garcia pass complete short right to John Gilmore for 8 yards (tackle by Rocky Boiman),1.130,1.990
3,13:44,1,10,TAM 46,13,24,Earnest Graham up the middle for 5 yards (tackle by Rocky Boiman and Pat Thomas),1.990,2.130
3,13:18,2,5,KAN 49,13,24,Michael Clayton left end for 1 yard (tackle by Turk McBride and Brandon Flowers),2.130,1.550
3,12:37,3,4,KAN 48,13,24,Jeff Garcia pass complete short left to Antonio Bryant for 11 yards (tackle by Tyron Brackenridge),1.550,3.120
3,12:01,1,10,KAN 37,13,24,Earnest Graham up the middle for -2 yards (tackle by Alfonso Boone),3.120,2.300
3,11:19,2,12,KAN 39,13,24,Jeff Garcia pass incomplete short left intended for Jameel Cook,2.300,1.620
3,11:13,3,12,KAN 39,13,24,Jeff Garcia pass incomplete deep middle intended for Brian Clark. Penalty on Donald Penn: Unnecessary Roughness (Declined),1.620,0.660
3,11:06,4,12,KAN 39,13,24,"Josh Bidwell punts 39 yards, touchback",0.660,-0.280
3,10:58,1,10,KAN 20,13,24,Jamaal Charles left tackle for 4 yards (tackle by Barrett Ruud and Kevin Carter),0.280,0.270
3,10:37,2,6,KAN 24,13,24,Tyler Thigpen pass complete short right to Tony Gonzalez for 3 yards (tackle by Ronde Barber),0.270,-0.030
3,10:13,3,3,KAN 27,13,24,Tyler Thigpen pass complete short right to Tony Gonzalez for 8 yards (tackle by Derrick Brooks),-0.030,1.270
3,9:33,1,10,KAN 35,13,24,Jamaal Charles up the middle for 4 yards (tackle by Barrett Ruud),1.270,1.260
3,8:56,2,6,KAN 39,13,24,Jamaal Charles left tackle for 3 yards (tackle by Stylez G. White and Chris Hovan),1.260,0.960
3,8:13,3,3,KAN 42,13,24,Tyler Thigpen pass incomplete short right intended for Mark Bradley,0.960,-0.590
3,8:08,4,3,KAN 42,13,24,"Steve Weatherford punts 58 yards, touchback",-0.590,-0.280
3,7:59,1,10,TAM 20,13,24,Earnest Graham up the middle for 3 yards (tackle by Donnie Edwards),0.280,0.140
3,7:32,2,7,TAM 23,13,24,"Penalty on Jeremy Zuttah: False Start, 5 yards (no play)",0.140,-0.630
3,7:10,2,12,TAM 18,13,24,Jeff Garcia pass complete short middle to Alex Smith for 9 yards (tackle by Rocky Boiman),-0.630,-0.030
3,6:30,3,3,TAM 27,13,24,"Jeff Garcia pass complete short left to Ike Hilliard for 5 yards (tackle by Brandon Carr). Penalty on Ike Hilliard: Offensive Pass Interference, 10 yards (no play)",-0.030,-1.510
3,6:06,3,13,TAM 17,13,24,Jeff Garcia pass complete short middle to Ike Hilliard for 9 yards (tackle by Donnie Edwards),-1.510,-1.630
3,5:25,4,4,TAM 26,13,24,"Josh Bidwell punts 49 yards, returned by Dantrell Savage for 9 yards (tackle by Alex Smith). Penalty on Tyron Brackenridge: Offensive Holding, 10 yards",-1.630,0.220
3,5:13,1,10,KAN 15,13,24,Tyler Thigpen right tackle for 13 yards (tackle by Derrick Brooks),-0.220,0.810
3,4:33,1,10,KAN 28,13,24,Jamaal Charles up the middle for 4 yards (tackle by Gaines Adams),0.810,0.800
3,3:47,2,6,KAN 32,13,24,Jamaal Charles right end for 5 yards (tackle by Barrett Ruud and Kevin Carter),0.800,0.760
3,3:47,3,1,KAN 37,13,24,"Penalty on Mike Cox: False Start, 5 yards (no play)",0.760,0.100
3,2:35,3,6,KAN 32,13,24,Tyler Thigpen pass complete short left to Tony Gonzalez for 4 yards (tackle by Derrick Brooks),0.100,-0.980
3,1:51,4,2,KAN 36,13,24,"Steve Weatherford punts 40 yards, returned by Clifton Smith for 13 yards (tackle by Tyron Brackenridge)",-0.980,-1.400
3,1:42,1,10,TAM 37,13,24,Jeff Garcia pass incomplete short middle intended for John Gilmore (defended by Alfonso Boone),1.400,0.860
3,1:38,2,10,TAM 37,13,24,Jeff Garcia pass complete short middle to Earnest Graham for 8 yards (tackle by Pat Thomas),0.860,1.220
3,0:58,3,2,TAM 45,13,24,Earnest Graham right end for 7 yards (tackle by Bernard Pollard),1.220,2.390
3,0:16,1,10,KAN 48,13,24,Jeff Garcia pass complete short left to John Gilmore for 16 yards (tackle by Pat Thomas),2.390,3.450
Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,KAN 32,13,24,Jeff Garcia pass complete deep left to Antonio Bryant for 16 yards,3.450,4.510
4,14:30,1,10,KAN 16,13,24,Earnest Graham left tackle for 3 yards (tackle by Pat Thomas and Tank Tyler),4.510,4.390
4,13:54,,,,13,24,Timeout #1 by Tampa Bay Buccaneers,0.000,4.390
4,13:54,2,7,KAN 13,13,24,"Jeff Garcia pass complete short left to Clifton Smith for 3 yards (tackle by Tyron Brackenridge). Clifton Smith fumbles (forced by Tyron Brackenridge), recovered by Turk McBride at KAN-10 (tackle by Clifton Smith)",4.390,0.380
4,13:48,1,10,KAN 10,13,24,"Jamaal Charles left end for -7 yards (tackle by Tanard Jackson). Jamaal Charles fumbles (forced by Tanard Jackson), recovered by Tanard Jackson at KAN-3 (tackle by Jamaal Charles)",-0.380,-6.510
4,13:40,1,3,KAN 3,19,24,"Earnest Graham pass complete short right to Alex Smith for 3 yards, touchdown",6.510,7.000
4,,,,,19,24,"Two Point Attempt: Jeff Garcia pass incomplete intended for Ike Hilliard, conversion fails",1.000,-1.000
4,,,,TAM 30,19,24,"Matt Bryant kicks off 70 yards, touchback",0.000,0.280
4,13:36,1,10,KAN 20,19,24,Jamaal Charles up the middle for 4 yards (tackle by Chris Hovan),0.280,0.270
4,13:02,2,6,KAN 24,19,24,"Tyler Thigpen pass incomplete deep middle intended for Mark Bradley is intercepted by Phillip Buchanon at KAN-45 and returned for 42 yards. Penalty on Sabby Piscitelli: Illegal Contact, 5 yards (no play)",0.270,0.870
4,12:51,1,10,KAN 29,19,24,Tyler Thigpen pass complete short left to Dwayne Bowe for 22 yards (tackle by Derrick Brooks),0.870,2.320
4,12:09,1,10,TAM 49,19,24,Tyler Thigpen right end for 3 yards (tackle by Jimmy Wilkerson),2.320,2.190
4,11:25,2,7,TAM 46,19,24,Jamaal Charles right end for 9 yards (tackle by Elbert Mack),2.190,3.120
4,10:39,1,10,TAM 37,19,24,Tyler Thigpen pass complete short left to Mark Bradley for 2 yards (tackle by Sabby Piscitelli),3.120,2.840
4,10:09,2,8,TAM 35,19,24,Jamaal Charles left end for 22 yards (tackle by Cato June),2.840,4.710
4,9:20,1,10,TAM 13,19,24,Dantrell Savage up the middle for 6 yards (tackle by Tanard Jackson),4.710,5.150
4,8:35,2,4,TAM 7,19,24,Dantrell Savage right tackle for 3 yards (tackle by Ryan Sims and Derrick Brooks),5.150,5.010
4,7:50,3,1,TAM 4,19,24,Tyler Thigpen pass incomplete short left intended for Mark Bradley,5.010,3.040
4,7:42,4,1,TAM 4,19,24,"Penalty on Steve Weatherford: Delay of Game, 5 yards (no play)",3.040,2.850
4,7:41,4,6,TAM 9,19,27,Connor Barth 28 yard field goal good,2.850,3.000
4,,,,KAN 30,19,27,"Connor Barth kicks off 63 yards, returned by Clifton Smith for 26 yards (tackle by Dantrell Savage)",0.000,1.140
4,7:33,1,10,TAM 33,19,27,Jeff Garcia pass complete short middle to Michael Clayton for 5 yards (tackle by Donnie Edwards),1.140,1.270
4,7:00,2,5,TAM 38,19,27,Earnest Graham up the middle for 6 yards (tackle by Pat Thomas),1.270,1.860
4,6:37,1,10,TAM 44,19,27,Jeff Garcia pass complete short right to Ike Hilliard for 4 yards (tackle by Brandon Carr),1.860,1.860
4,6:15,2,6,TAM 48,19,27,Jeff Garcia pass complete deep middle to Ike Hilliard for 23 yards (tackle by Jarrad Page),1.860,3.640
4,5:47,1,10,KAN 29,19,27,Earnest Graham up the middle for 2 yards (tackle by Donnie Edwards),3.640,3.370
4,5:21,2,8,KAN 27,19,27,Jeff Garcia pass complete short left to Earnest Graham for 4 yards (tackle by Maurice Leggett),3.370,3.200
4,4:49,3,4,KAN 23,19,27,Jeff Garcia pass complete short left to Ike Hilliard for 4 yards (tackle by Maurice Leggett),3.200,4.310
4,4:18,1,10,KAN 19,19,27,Jeff Garcia pass incomplete short left intended for Antonio Bryant,4.310,3.750
4,4:14,2,10,KAN 19,19,27,Jeff Garcia pass complete short left to Ike Hilliard for 12 yards (tackle by Tyron Brackenridge),3.750,5.600
4,3:34,1,7,KAN 7,19,27,Earnest Graham left end for 4 yards (tackle by Tamba Hali). Earnest Graham fumbles (forced by Tamba Hali),5.600,-0.280
,,,,,,,"TAM challenged the fumble ruling, and the play was upheld.",,
4,3:24,1,10,KAN 20,19,27,Jamaal Charles left tackle for 2 yards (tackle by Jovan Haye),0.280,0.000
4,2:40,2,8,KAN 22,19,27,Jamaal Charles up the middle for 4 yards (tackle by Gaines Adams and Chris Hovan),0.000,-0.160
4,2:29,,,,19,27,Timeout #3 by Tampa Bay Buccaneers,0.000,-0.160
4,2:29,3,4,KAN 26,19,27,"Tyler Thigpen pass complete deep right to Tony Gonzalez for 20 yards (tackle by Derrick Brooks). Penalty on Tony Gonzalez: Offensive Pass Interference, 10 yards (no play)",-0.160,-1.690
4,2:21,3,14,KAN 16,19,27,Jamaal Charles left tackle for 7 yards (tackle by Barrett Ruud),-1.690,-1.830
4,2:00,4,7,KAN 23,19,27,"Steve Weatherford punts 41 yards, returned by Clifton Smith for 14 yards (tackle by Jon McGraw)",-1.830,-2.260
4,1:50,1,10,,19,27,Jeff Garcia pass complete short middle to Earnest Graham for 7 yards (tackle by Tamba Hali),2.260,2.660
4,1:23,2,3,KAN 43,19,27,Jeff Garcia pass incomplete deep middle intended for Joey Galloway (defended by Jarrad Page),2.660,1.950
4,1:16,3,3,KAN 43,19,27,Clifton Smith up the middle for 10 yards (tackle by Bernard Pollard),1.950,3.380
4,0:51,1,10,KAN 33,19,27,Jeff Garcia pass complete short middle to Antonio Bryant for 14 yards (tackle by Tyron Brackenridge),3.380,4.310
4,0:33,1,10,KAN 19,19,27,"Jeff Garcia spiked the ball. Penalty on Ike Hilliard: False Start, 5 yards (no play)",4.310,3.970
4,0:25,,,,19,27,Timeout #1 by Kansas City Chiefs,0.000,3.970
4,0:25,1,15,KAN 24,25,27,"Jeff Garcia pass complete deep left to Antonio Bryant for 24 yards, touchdown",3.970,7.000
4,0:19,,,,25,27,Timeout #2 by Kansas City Chiefs,0.000,0.000
4,,,,,27,27,"Two Point Attempt: Jeff Garcia pass complete to Alex Smith, conversion succeeds",1.000,1.000
4,,,,TAM 30,27,27,"Matt Bryant kicks off 52 yards, returned by Dantrell Savage for 14 yards (tackle by Will Allen)",0.000,1.070
4,0:14,1,10,KAN 32,27,27,Tyler Thigpen pass incomplete short left intended for Dwayne Bowe (defended by Jimmy Wilkerson),1.070,0.530
4,0:14,2,10,KAN 32,27,27,Tyler Thigpen kneels for -1 yards,0.530,0.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,TAM,KAN,Detail,EPB,EPA
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the overtime kickoff.",,
OT,,,,KAN 30,27,27,"Connor Barth kicks off 66 yards, returned by Clifton Smith for 22 yards (tackle by Rocky Boiman)",0.000,0.670
OT,14:56,1,10,TAM 26,27,27,Jeff Garcia pass complete short right to Michael Clayton for 29 yards (tackle by Brandon Carr),0.670,2.590
OT,14:33,1,10,KAN 45,27,27,"Penalty on Turk McBride: Defensive Offside, 5 yards (no play)",2.590,3.320
OT,14:14,1,5,KAN 40,27,27,Clifton Smith up the middle for 2 yards (tackle by Glenn Dorsey and Pat Thomas),3.320,2.990
OT,13:39,2,3,KAN 38,27,27,Jeff Garcia pass complete short right to Ike Hilliard for 3 yards (tackle by Brandon Carr),2.990,3.250
OT,13:03,1,10,KAN 35,27,27,Earnest Graham up the middle for -1 yards (tackle by Glenn Dorsey and Turk McBride),3.250,2.570
OT,12:23,2,11,KAN 36,27,27,Jeff Garcia pass complete short left to Michael Clayton for 11 yards (tackle by Maurice Leggett),2.570,3.910
OT,11:41,1,10,KAN 25,27,27,Jeff Garcia pass incomplete short left intended for Antonio Bryant (defended by Maurice Leggett),3.910,3.360
OT,11:37,2,10,KAN 25,27,27,Clifton Smith up the middle for 5 yards (tackle by Rocky Boiman),3.360,3.340
OT,10:55,,,,27,27,Timeout #1 by Kansas City Chiefs,0.000,3.340
OT,10:55,3,5,KAN 20,27,27,"Penalty on Jeremy Trueblood: False Start, 5 yards (no play)",3.340,2.680
OT,10:55,3,10,KAN 25,27,27,Jeff Garcia pass complete short left to Jameel Cook for 9 yards (tackle by Brandon Carr),2.680,2.530
,,,,,,,"Replay Assistant challenged the first down ruling, and the original play was overturned.",,
OT,10:27,4,1,KAN 16,30,27,Matt Bryant 34 yard field goal good,2.530,3.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
