Unnamed: 0,TAM,KAN
First Downs,24,21
Rush-Yds-TDs,25-81-0,36-183-1
Cmp-Att-Yd-TD-INT,32-44-342-2-1,15-26-201-2-0
Sacked-Yards,0-0,1-0
Net Pass Yards,342,201
Total Yards,423,384
Fumbles-Lost,3-3,1-1
Turnovers,4,1
Penalties-Yards,7-47,7-60
Third Down Conv.,8-13,6-13
Fourth Down Conv.,0-0,0-0
Time of Possession,32:17,32:19
