Quarter,Time,Tm,Detail,SDG,KAN
1,9:04,Chiefs,Ryan Succop 36 yard field goal,0,3
,2:51,Chiefs,Jonathan Baldwin 39 yard pass from Matt Cassel (Ryan Succop kick),0,10
2,8:31,Chargers,Nick Novak 44 yard field goal,3,10
,0:03,Chiefs,Ryan Succop 47 yard field goal,3,13
3,8:10,Chargers,Nick Novak 44 yard field goal,6,13
,6:01,Chargers,Nick Novak 42 yard field goal,9,13
,1:45,Chargers,Nick Novak 26 yard field goal,12,13
4,12:01,Chiefs,Jackie Battle 1 yard rush (Ryan Succop kick),12,20
,7:11,Chargers,Curtis Brinkley 2 yard rush (Curtis Brinkley pass from Philip Rivers),20,20
OT,5:16,Chiefs,Ryan Succop 30 yard field goal,20,23
