Unnamed: 0,SDG,KAN
First Downs,22,19
Rush-Yds-TDs,27-102-1,32-94-1
Cmp-Att-Yd-TD-INT,26-41-369-0-2,19-32-261-1-2
Sacked-Yards,3-24,3-14
Net Pass Yards,345,247
Total Yards,447,341
Fumbles-Lost,3-2,2-2
Turnovers,4,4
Penalties-Yards,12-105,9-53
Third Down Conv.,5-14,7-14
Fourth Down Conv.,0-0,0-0
Time of Possession,37:29,32:15
