Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",0.280,-0.310
1,15:00,1,15,SDG 15,0,0,Philip Rivers pass incomplete deep right intended for Vincent Jackson (defended by Brandon Flowers),-0.310,-1.070
1,14:53,2,15,SDG 15,0,0,Ryan Mathews right end for -1 yards (tackle by Andy Studebaker and Brandon Flowers),-1.070,-2.030
1,14:09,3,16,SDG 14,0,0,Philip Rivers pass incomplete deep right intended for Malcom Floyd,-2.030,-2.470
1,14:02,4,16,SDG 14,0,0,"Mike Scifres punts 63 yards, returned by Javier Arenas for 10 yards (tackle by Randy McMichael)",-2.470,-1.140
1,13:50,1,10,KAN 33,0,0,Jackie Battle right tackle for no gain (tackle by Steve Gregory),1.140,0.590
1,13:10,2,10,KAN 33,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,0.590,-0.100
1,13:06,3,10,KAN 33,0,0,Matt Cassel pass complete short middle to Jonathan Baldwin for 17 yards (tackle by Eric Weddle),-0.100,2.260
1,12:19,1,10,,0,0,"Penalty on Barry Richardson: False Start, 5 yards (no play)",2.260,1.930
1,11:58,1,15,KAN 45,0,0,Jackie Battle up the middle for 2 yards (tackle by Vaughn Martin),1.930,1.310
1,11:20,2,13,KAN 47,0,0,Jackie Battle up the middle for 4 yards (tackle by Takeo Spikes),1.310,1.160
1,10:41,3,9,SDG 49,0,0,Matt Cassel pass complete deep middle to Dwayne Bowe for 26 yards (tackle by Eric Weddle),1.160,4.040
1,10:00,1,10,SDG 23,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,4.040,3.500
1,9:54,,,,0,0,Timeout #1 by Kansas City Chiefs,0.000,3.500
1,9:54,2,10,SDG 23,0,0,Matt Cassel pass incomplete short right intended for Dwayne Bowe,3.500,2.810
1,9:50,3,10,SDG 23,0,0,"Penalty on Branden Albert: False Start, 5 yards (no play)",2.810,2.150
1,9:50,3,15,SDG 28,0,0,Matt Cassel pass complete short left to Jonathan Baldwin for 10 yards (tackle by Marcus Gilchrist),2.150,2.300
1,9:08,4,5,SDG 18,0,3,Ryan Succop 36 yard field goal good,2.300,3.000
1,,,,KAN 35,0,3,"Ryan Succop kicks off 65 yards, touchback",0.000,0.280
1,9:04,1,10,SDG 20,0,3,Philip Rivers pass incomplete short middle intended for Antonio Gates is intercepted by Kendrick Lewis at SDG-35 and returned for 10 yards (tackle by Ryan Mathews),0.280,-3.910
1,8:53,1,10,SDG 25,0,3,"Dexter McCluster up the middle for 4 yards (tackle by Corey Liuget). Dexter McCluster fumbles (forced by Corey Liuget), recovered by Quentin Jammer at SDG-21 (tackle by Dexter McCluster)",3.910,-0.340
,,,,,,,"KAN challenged the fumble ruling, and the play was upheld.",,
1,8:44,1,10,SDG 21,0,3,Philip Rivers pass incomplete short right intended for Ryan Mathews,0.340,-0.200
1,8:39,2,10,SDG 21,0,3,Ryan Mathews up the middle for 4 yards (tackle by Tyson Jackson),-0.200,-0.360
1,7:58,3,6,SDG 25,0,3,Philip Rivers pass complete short left to Patrick Crayton for 13 yards (tackle by Javier Arenas),-0.360,1.470
1,7:23,1,10,SDG 38,0,3,Philip Rivers pass incomplete deep middle intended for Vincent Jackson (defended by Brandon Flowers),1.470,0.920
1,7:16,2,10,SDG 38,0,3,Philip Rivers pass complete short left to Vincent Jackson for 12 yards (tackle by Brandon Carr),0.920,2.260
1,6:51,1,10,,0,3,Ryan Mathews left end for 18 yards (tackle by Derrick O. Johnson),2.260,3.450
1,6:19,1,10,KAN 32,0,3,Ryan Mathews up the middle for 3 yards (tackle by Amon Gordon),3.450,3.310
1,5:39,2,7,KAN 29,0,3,Curtis Brinkley up the middle for 3 yards (tackle by Amon Gordon),3.310,3.010
1,5:00,3,4,KAN 26,0,3,Philip Rivers pass incomplete short middle intended for Vincent Jackson is intercepted by Derrick O. Johnson at KAN-22 and returned for 1 yard (tackle by Vincent Jackson),3.010,-0.480
1,4:52,1,10,KAN 23,0,3,Jackie Battle up the middle for 2 yards (tackle by Vaughn Martin),0.480,0.200
1,4:10,2,8,KAN 25,0,3,Matt Cassel right tackle for 7 yards (tackle by Takeo Spikes),0.200,0.430
1,3:26,3,1,KAN 32,0,3,"Matt Cassel pass complete short right to Le'Ron McClain for 14 yards (tackle by Steve Gregory). Penalty on Steve Gregory: Unnecessary Roughness, 15 yards",0.430,2.980
1,3:00,1,10,SDG 39,0,9,"Matt Cassel pass complete deep middle to Jonathan Baldwin for 39 yards, touchdown",2.980,7.000
1,,,,SDG 2,0,10,Ryan Succop kicks extra point good,0.000,0.000
1,,,,KAN 35,0,10,"Ryan Succop kicks off 72 yards, returned by Richard Goodman for 24 yards (tackle by Donald Washington)",0.000,-0.060
1,2:47,1,10,SDG 17,0,10,Ryan Mathews up the middle for no gain (tackle by Jon McGraw),-0.060,-0.580
1,2:08,2,10,SDG 17,0,10,Philip Rivers pass complete short right to Malcom Floyd for 20 yards (tackle by Brandon Carr),-0.580,1.400
1,1:25,1,10,SDG 37,0,10,"Penalty on Marcus McNeill: False Start, 5 yards (no play)",1.400,1.070
1,1:04,1,15,SDG 32,0,10,Ryan Mathews up the middle for 2 yards (tackle by Derrick O. Johnson),1.070,0.450
1,0:25,2,13,SDG 34,0,10,"Philip Rivers pass incomplete short right intended for Ryan Mathews (defended by Justin Houston). Penalty on Marcus McNeill: Offensive Holding, 10 yards (no play)",0.450,-0.900
1,0:19,2,23,SDG 24,0,10,Philip Rivers pass complete short left to Randy McMichael for 9 yards (tackle by Derrick O. Johnson),-0.900,-0.360
Quarter,Time,Down,ToGo,Location,SDG,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,14,SDG 33,0,10,Philip Rivers pass complete short middle to Ryan Mathews for 5 yards (tackle by Derrick O. Johnson),-0.360,-0.850
2,14:22,4,9,SDG 38,0,10,Mike Scifres punts 46 yards,-0.850,0.140
2,14:14,1,10,KAN 16,0,10,Jackie Battle up the middle for 2 yards (tackle by Steve Gregory),-0.140,-0.350
2,13:40,2,8,KAN 18,0,10,"Matt Cassel pass complete short right to Le'Ron McClain for 6 yards (tackle by Steve Gregory). Penalty on Dwayne Bowe: Offensive Pass Interference, 9 yards (no play)",-0.350,-1.290
2,13:40,2,17,KAN 9,0,10,"Penalty on Leonard Pope: False Start, 4 yards (no play)",-1.290,-1.580
2,12:56,2,21,KAN 5,0,10,Jackie Battle left tackle for 2 yards (tackle by Donald Butler),-1.580,-2.470
2,12:16,3,19,KAN 7,0,10,Dexter McCluster up the middle for -2 yards (tackle by Tommie Harris),-2.470,-2.490
2,11:43,4,21,KAN 5,0,10,"Dustin Colquitt punts 52 yards, fair catch by Patrick Crayton. Penalty on Bront Bird: Unnecessary Roughness, 15 yards",-2.490,-0.810
2,11:35,1,10,SDG 28,0,10,Philip Rivers pass complete short right to Malcom Floyd for 21 yards (tackle by Brandon Flowers),0.810,2.190
2,10:57,1,10,SDG 49,0,10,Philip Rivers pass complete deep left to Antonio Gates for 27 yards (tackle by Jon McGraw),2.190,3.970
2,10:15,1,10,KAN 24,0,10,Philip Rivers pass incomplete deep left intended for Vincent Jackson,3.970,3.430
2,10:06,2,10,KAN 24,0,10,Ryan Mathews right end for -1 yards (tackle by Tyson Jackson and Derrick O. Johnson),3.430,2.610
2,9:23,3,11,KAN 25,0,10,"Philip Rivers pass incomplete deep left intended for Patrick Crayton. Penalty on Patrick Crayton: Offensive Pass Interference, 10 yards (no play)",2.610,1.290
2,9:16,,,,0,10,Timeout #1 by San Diego Chargers,0.000,1.290
2,9:16,3,21,KAN 35,0,10,Philip Rivers pass complete short middle to Ryan Mathews for 9 yards (tackle by Brandon Carr),1.290,1.740
2,8:35,4,12,KAN 26,3,10,Nick Novak 44 yard field goal good,1.740,3.000
2,,,,SDG 35,3,10,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
2,8:31,1,10,KAN 20,3,10,Dexter McCluster left tackle for 2 yards (tackle by Antwan Barnes),0.280,0.000
