Quarter,Time,Tm,Detail,GNB,LAC
1.0,6:56,Chargers,Michael Badgley 29 yard field goal,0,3
,1:04,Chargers,Michael Badgley 40 yard field goal,0,6
2.0,0:00,Chargers,Michael Badgley 34 yard field goal,0,9
3.0,9:41,Chargers,Michael Badgley 43 yard field goal,0,12
,3:56,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),0,19
,0:46,Packers,Mason Crosby 54 yard field goal,3,19
4.0,10:32,Chargers,Melvin Gordon 1 yard rush (Michael Badgley kick),3,26
,6:21,Packers,Jamaal Williams 10 yard pass from Aaron Rodgers (Aaron Rodgers run),11,26
