Unnamed: 0,GNB,LAC
First Downs,13,24
Rush-Yds-TDs,11-45-0,38-159-2
Cmp-Att-Yd-TD-INT,23-35-161-1-0,21-28-294-0-0
Sacked-Yards,3-22,2-11
Net Pass Yards,139,283
Total Yards,184,442
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,8-45,5-45
Third Down Conv.,2-10,5-11
Fourth Down Conv.,0-1,1-1
Time of Possession,24:09,35:51
