Quarter,Time,Down,ToGo,Location,GNB,LAC,Detail,EPB,EPA
1,5:09,3,8,GNB 27,0,3,Aaron Rodgers sacked by Joey Bosa for -9 yards,-0.360,-2.240
1,4:28,4,17,GNB 18,0,3,"JK Scott punts 42 yards, returned by Desmond King for 1 yard (tackle by Danny Vitale and Will Redmond)",-2.240,-1.660
1,4:13,1,10,LAC 41,0,3,"Philip Rivers pass complete short middle to Keenan Allen for 8 yards (tackle by Blake Martinez). Penalty on Virgil Green: Offensive Holding, 10 yards (no play)",1.660,1.000
1,3:40,1,20,LAC 31,0,3,Philip Rivers pass complete short left to Mike Williams for 56 yards (tackle by Adrian Amos),1.000,4.710
1,3:04,1,10,GNB 13,0,3,"Melvin Gordon up the middle for 2 yards (tackle by B.J. Goodson). Penalty on Derek Watt: Illegal Shift, 5 yards (no play)",4.710,4.290
1,2:38,1,15,GNB 18,0,3,Philip Rivers sacked by Preston Smith for -9 yards,4.290,2.270
1,1:56,2,24,GNB 27,0,3,Philip Rivers pass incomplete short left intended for Hunter Henry,2.270,1.620
1,1:51,3,24,GNB 27,0,3,Philip Rivers pass complete short left to Austin Ekeler for 5 yards (tackle by Kyler Fackrell),1.620,1.990
1,1:09,4,19,GNB 22,0,6,Michael Badgley 40 yard field goal good,1.990,3.000
1,1:04,,,LAC 35,0,6,"Michael Badgley kicks off 62 yards, returned by Tremon Smith for 27 yards (tackle by Brandon Facyson)",0.000,0.940
1,0:58,1,10,GNB 30,0,6,Aaron Jones up the middle for 3 yards (tackle by Desmond King and Joey Bosa),0.940,0.800
1,0:19,2,7,GNB 33,0,6,Aaron Rodgers pass complete short left to Jamaal Williams for 6 yards (tackle by Denzel Perryman and Damion Square),0.800,0.890
Quarter,Time,Down,ToGo,Location,GNB,LAC,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,GNB 39,0,6,"Penalty on Elgton Jenkins: False Start, 5 yards (no play)",0.890,0.230
2,15:00,3,6,GNB 34,0,6,Aaron Rodgers pass complete short middle to Davante Adams for 8 yards (tackle by Desmond King),0.230,1.730
2,14:28,1,10,GNB 42,0,6,Aaron Jones left tackle for 5 yards (tackle by Kyzir White and Sylvester Williams),1.730,1.860
2,13:49,2,5,GNB 47,0,6,"Penalty on David Bakhtiari: False Start, 5 yards (no play)",1.860,1.190
2,13:33,2,10,GNB 42,0,6,Aaron Rodgers pass incomplete short left intended for Davante Adams,1.190,0.500
2,13:28,3,10,GNB 42,0,6,Aaron Rodgers sacked by Melvin Ingram for -7 yards,0.500,-1.040
2,12:47,4,17,GNB 35,0,6,JK Scott punts 49 yards out of bounds,-1.040,0.140
2,12:37,1,10,LAC 16,0,6,Austin Ekeler right end for 5 yards (tackle by Kenny Clark and Kingsley Keke),-0.140,0.150
2,11:57,2,5,LAC 21,0,6,Austin Ekeler left end for 16 yards (tackle by Chandon Sullivan),0.150,1.400
2,11:15,1,10,LAC 37,0,6,Melvin Gordon right tackle for no gain (tackle by Rashan Gary),1.400,0.860
2,10:46,2,10,LAC 37,0,6,Philip Rivers pass incomplete deep right intended for Hunter Henry,0.860,0.170
2,10:42,3,10,LAC 37,0,6,Philip Rivers pass complete short left to Hunter Henry for 7 yards (tackle by Tramon Williams and Preston Smith),0.170,-0.460
2,9:57,4,3,LAC 44,0,6,"Ty Long punts 38 yards, returned by Tremon Smith for no gain (tackle by Derek Watt)",-0.460,-0.040
2,9:47,1,10,GNB 18,0,6,Jamaal Williams up the middle for 5 yards (tackle by Jerry Tillery),0.040,0.280
2,9:12,2,5,GNB 23,0,6,"Jamaal Williams right guard for 5 yards (tackle by Joey Bosa). Penalty on Allen Lazard: Illegal Block Above the Waist, 10 yards",0.280,-0.490
2,8:38,2,10,GNB 18,0,6,"Penalty on Aaron Rodgers: Delay of Game, 5 yards (no play)",-0.490,-1.140
2,8:11,2,15,GNB 13,0,6,Aaron Rodgers pass complete short right to Jimmy Graham for 1 yard (tackle by Desmond King),-1.140,-1.820
2,7:24,3,14,GNB 14,0,6,"Aaron Rodgers pass complete short left to Geronimo Allison for 13 yards (tackle by Drue Tranquill). Penalty on Rayshawn Jenkins: Unnecessary Roughness, 15 yards",-1.820,1.730
2,6:32,1,10,GNB 42,0,6,Aaron Jones up the middle for 7 yards (tackle by Michael Davis),1.730,2.130
2,5:53,2,3,GNB 49,0,6,Aaron Jones left end for 3 yards (tackle by Thomas Davis),2.130,2.390
2,5:23,1,10,LAC 48,0,6,Aaron Rodgers pass incomplete short right intended for Aaron Jones,2.390,1.850
2,5:19,2,10,LAC 48,0,6,Aaron Jones right guard for 3 yards (tackle by Denzel Perryman),1.850,1.550
2,4:36,3,7,LAC 45,0,6,Aaron Rodgers pass incomplete deep left intended for Allen Lazard,1.550,0.270
2,4:29,4,7,LAC 45,0,6,Penalty on GNB: Delay of Game (Declined),0.270,0.270
2,4:29,4,7,LAC 45,0,6,"JK Scott punts 37 yards, fair catch by Desmond King at LAC-8",0.270,0.380
2,4:21,1,10,LAC 8,0,6,Melvin Gordon up the middle for 6 yards (tackle by Za'Darius Smith),-0.380,-0.320
2,3:46,2,4,LAC 14,0,6,Philip Rivers pass complete short right to Austin Ekeler for 2 yards (tackle by Tramon Williams and Za'Darius Smith),-0.320,-0.480
2,3:02,3,2,LAC 16,0,6,Austin Ekeler up the middle for 7 yards (tackle by Rashan Gary),-0.480,0.480
2,2:30,1,10,LAC 23,0,6,Philip Rivers pass complete short left to Hunter Henry for 6 yards (tackle by Tony Brown and Blake Martinez),0.480,0.740
2,2:00,2,4,LAC 29,0,6,Philip Rivers pass complete short left to Melvin Gordon for 13 yards (tackle by Blake Martinez),0.740,1.730
2,1:29,1,10,LAC 42,0,6,Philip Rivers pass complete short right to Hunter Henry for 18 yards (tackle by Adrian Amos),1.730,2.920
2,1:04,1,10,GNB 40,0,6,Philip Rivers pass complete short left to Keenan Allen for 5 yards (tackle by Darnell Savage and Blake Martinez),2.920,3.050
2,0:40,2,5,GNB 35,0,6,Philip Rivers pass incomplete deep right intended for Keenan Allen,3.050,2.340
2,0:34,,,,,,Timeout #1 by Los Angeles Chargers,,
2,0:34,3,5,GNB 35,0,6,Philip Rivers pass complete short right to Melvin Gordon for 9 yards (tackle by Preston Smith),2.340,3.840
2,0:27,,,,,,Timeout #2 by Los Angeles Chargers,,
2,0:27,1,10,GNB 26,0,6,Philip Rivers pass complete short left to Hunter Henry for 12 yards (tackle by Kevin King),3.840,4.650
2,0:21,1,10,GNB 14,0,6,"Philip Rivers pass incomplete short left. Penalty on Russell Okung: Offensive Holding, 10 yards (no play)",4.650,3.970
2,0:16,1,20,GNB 24,0,6,Philip Rivers pass complete short right to Austin Ekeler for 8 yards (tackle by Tramon Williams and Kyler Fackrell),3.970,3.720
2,0:09,,,,,,Timeout #3 by Los Angeles Chargers,,
2,0:09,2,12,GNB 16,0,6,Philip Rivers pass incomplete deep right,3.720,3.000
2,0:05,3,12,GNB 16,0,9,Michael Badgley 34 yard field goal good,3.000,3.000
Quarter,Time,Down,ToGo,Location,GNB,LAC,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LAC 35,0,9,"Michael Badgley kicks off 66 yards, returned by Tremon Smith for 24 yards (tackle by Uchenna Nwosu and Nick Dzubnar)",0.000,0.480
3,14:55,1,10,GNB 23,0,9,Aaron Jones right end for -3 yards (tackle by Jaylen Watkins),0.480,-0.470
3,14:18,2,13,GNB 20,0,9,Aaron Rodgers left end for 5 yards (tackle by Melvin Ingram),-0.470,-0.490
3,13:35,3,8,GNB 25,0,9,Aaron Rodgers pass incomplete deep left intended for Jake Kumerow,-0.490,-1.700
3,13:28,4,8,GNB 25,0,9,"JK Scott punts 52 yards, returned by Desmond King for no gain (tackle by Will Redmond)",-1.700,-0.480
3,13:17,1,10,LAC 23,0,9,Melvin Gordon up the middle for 2 yards (tackle by Kenny Clark),0.480,0.200
3,12:35,2,8,LAC 25,0,9,Philip Rivers pass complete short middle to Keenan Allen for 20 yards (tackle by Tramon Williams),0.200,1.930
3,12:08,1,10,LAC 45,0,9,Melvin Gordon up the middle for 7 yards (tackle by Chandon Sullivan and Tony Brown),1.930,2.330
3,11:28,2,3,GNB 48,0,9,Melvin Gordon left guard for 16 yards (tackle by Tony Brown),2.330,3.450
3,10:58,1,10,GNB 32,0,9,Justin Jackson right guard for 6 yards (tackle by Za'Darius Smith),3.450,3.710
3,10:20,2,4,GNB 26,0,9,Justin Jackson left end for 1 yard (tackle by Tony Brown),3.710,3.140
3,9:49,3,3,GNB 25,0,9,Philip Rivers pass incomplete short middle intended for Melvin Gordon,3.140,1.900
3,9:46,4,3,GNB 25,0,12,Michael Badgley 43 yard field goal good,1.900,3.000
3,9:41,,,LAC 35,0,12,"Michael Badgley kicks off 60 yards, returned by Tremon Smith for 16 yards (tackle by Drue Tranquill). Penalty on Jamaal Williams: Illegal Double-Team Block, 10 yards",0.000,-0.370
3,9:35,1,10,GNB 11,0,12,Aaron Rodgers pass complete short left to Davante Adams for 8 yards (tackle by Michael Davis),-0.370,0.170
3,8:52,2,2,GNB 19,0,12,Aaron Rodgers pass complete short left to Jimmy Graham for 6 yards (tackle by Jaylen Watkins),0.170,0.610
3,8:16,1,10,GNB 25,0,12,Aaron Rodgers pass incomplete short left,0.610,0.060
3,8:12,2,10,GNB 25,0,12,Aaron Rodgers sacked by and Melvin Ingram for -6 yards and Joey Bosa for -6 yards,0.060,-1.510
3,7:28,3,16,GNB 19,0,12,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,-1.510,-2.140
3,7:23,4,16,GNB 19,0,12,JK Scott punts 8 yards out of bounds,-2.140,-3.780
3,7:16,1,10,GNB 27,0,12,Austin Ekeler up the middle for 5 yards (tackle by Will Redmond and Montravius Adams),3.780,3.910
3,6:37,2,5,GNB 22,0,12,Austin Ekeler left guard for 9 yards (tackle by Adrian Amos),3.910,4.710
3,6:04,1,10,GNB 13,0,12,Austin Ekeler left end for no gain (tackle by Kevin King),4.710,4.050
3,5:21,2,10,GNB 13,0,12,Philip Rivers pass complete short middle to Justin Jackson for 7 yards (tackle by Blake Martinez),4.050,4.560
3,4:37,3,3,GNB 6,0,12,Melvin Gordon up the middle for 5 yards (tackle by Adrian Amos and Kenny Clark),4.560,6.970
3,3:59,1,1,GNB 1,0,18,"Melvin Gordon left guard for 1 yard, touchdown",6.970,7.000
3,3:56,,,GNB 15,0,19,Michael Badgley kicks extra point good,0.000,0.000
3,3:56,,,LAC 35,0,19,"Michael Badgley kicks off 61 yards, returned by Tremon Smith for 36 yards (tackle by Jatavis Brown)",0.000,1.600
3,3:48,1,10,GNB 40,0,19,Aaron Jones right guard for 5 yards (tackle by Isaac Rochell and T.Y. McGill),1.600,1.730
3,3:27,2,5,GNB 45,0,19,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Michael Davis),1.730,2.520
3,2:52,1,10,LAC 46,0,19,Aaron Jones right guard for 7 yards (tackle by Denzel Perryman and Jaylen Watkins),2.520,2.920
3,2:17,2,3,LAC 39,0,19,Aaron Rodgers pass complete short right to Jamaal Williams for 6 yards (tackle by Thomas Davis),2.920,3.380
3,1:39,1,10,LAC 33,0,19,Aaron Rodgers pass incomplete short left intended for Marquez Valdes-Scantling,3.380,2.840
3,1:36,2,10,LAC 33,0,19,Aaron Rodgers pass complete short left to Davante Adams for -3 yards (tackle by Desmond King),2.840,1.750
3,0:56,3,13,LAC 36,0,19,Aaron Rodgers pass incomplete short right intended for Jake Kumerow (defended by Desmond King),1.750,0.880
3,0:50,4,13,LAC 36,3,19,Mason Crosby 54 yard field goal good,0.880,3.000
3,0:46,,,GNB 35,3,19,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
3,0:46,1,10,LAC 25,3,19,Philip Rivers pass complete deep middle to Mike Williams for 46 yards (tackle by Jaire Alexander),0.610,3.640
Quarter,Time,Down,ToGo,Location,GNB,LAC,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,GNB 29,3,19,Melvin Gordon up the middle for 5 yards (tackle by Za'Darius Smith),3.640,3.780
4,14:19,2,5,GNB 24,3,19,Austin Ekeler left end for 4 yards (tackle by B.J. Goodson),3.780,3.600
4,13:49,3,1,GNB 20,3,19,Melvin Gordon left guard for 4 yards (tackle by Blake Martinez and Kingsley Keke),3.600,4.510
4,13:08,1,10,GNB 16,3,19,Melvin Gordon up the middle for 2 yards (tackle by Adrian Amos and Blake Martinez),4.510,4.210
4,12:29,2,8,GNB 14,3,19,Philip Rivers pass complete short left to Hunter Henry for 9 yards (tackle by Tramon Williams),4.210,6.060
4,11:49,1,5,GNB 5,3,19,Austin Ekeler up the middle for 3 yards (tackle by Blake Martinez),6.060,5.720
4,11:25,2,2,GNB 2,3,19,Philip Rivers pass incomplete short right,5.720,4.950
4,11:20,3,2,GNB 2,3,19,Austin Ekeler left tackle for 1 yard (tackle by Za'Darius Smith),4.950,3.550
4,10:39,4,1,GNB 1,3,19,Michael Badgley yard field goal good. Penalty on Tony Brown: Defensive Offside (no play),3.550,3.550
4,10:36,4,1,GNB 1,3,25,"Melvin Gordon left guard for 1 yard, touchdown",3.550,7.000
4,10:32,,,GNB 15,3,26,Michael Badgley kicks extra point good,0.000,0.000
4,10:32,,,LAC 35,3,26,"Michael Badgley kicks off 65 yards, touchback.",0.000,0.610
4,10:32,1,10,GNB 25,3,26,Aaron Rodgers pass complete short left to Davante Adams for 4 yards (tackle by Michael Davis),0.610,0.600
4,10:11,2,6,GNB 29,3,26,Aaron Rodgers pass complete short middle to Geronimo Allison for 8 yards (tackle by Jaylen Watkins),0.600,1.400
4,9:46,1,10,GNB 37,3,26,Aaron Rodgers pass complete short middle to Allen Lazard for 14 yards (tackle by Drue Tranquill),1.400,2.320
4,9:14,1,10,LAC 49,3,26,Aaron Rodgers pass complete short left to Jimmy Graham for 3 yards (tackle by Thomas Davis),2.320,2.190
4,8:36,2,7,LAC 46,3,26,Aaron Rodgers pass complete short left to Davante Adams for 7 yards (tackle by Michael Davis),2.190,2.980
4,8:20,1,10,LAC 39,3,26,Aaron Rodgers pass complete short right to Allen Lazard for 17 yards (tackle by Rayshawn Jenkins),2.980,4.110
4,7:53,1,10,LAC 22,3,26,Aaron Rodgers pass complete short left to Jamaal Williams for 5 yards (tackle by Desmond King),4.110,4.290
4,7:05,2,5,LAC 17,3,26,Aaron Rodgers pass complete short left to Jamaal Williams for 7 yards (tackle by Drue Tranquill),4.290,4.910
4,6:27,1,10,LAC 10,9,26,"Aaron Rodgers pass complete short left to Jamaal Williams for 10 yards, touchdown",4.910,7.000
4,6:21,,,LAC 2,11,26,"Two Point Attempt: Aaron Rodgers rushes, conversion succeeds.",1.000,1.000
4,6:21,,,GNB 35,11,26,"Mason Crosby kicks off no gain, returned by Desmond King for 7 yards (tackle by Allen Lazard). Penalty on Tony Brown: Offside on Free Kick, 5 yards. Penalty on Tony Brown: Illegal Formation, 5 yards (no play)",0.000,0.000
4,6:18,,,GNB 30,11,26,"Mason Crosby kicks off 56 yards, returned by Desmond King for 21 yards (tackle by Will Redmond)",0.000,1.270
4,6:13,1,10,LAC 35,11,26,Melvin Gordon left end for 7 yards (tackle by Blake Martinez),1.270,1.670
4,5:27,2,3,LAC 42,11,26,Melvin Gordon right guard for 7 yards (tackle by Montravius Adams and Darnell Savage),1.670,2.190
4,5:21,,,,,,Timeout #1 by Green Bay Packers,,
4,5:21,1,10,LAC 49,11,26,Melvin Gordon right end for 3 yards (tackle by Blake Martinez and Preston Smith),2.190,2.050
4,5:17,,,,,,Timeout #2 by Green Bay Packers,,
4,5:17,2,7,GNB 48,11,26,Austin Ekeler right guard for 6 yards (tackle by Jaire Alexander and Blake Martinez),2.050,2.150
4,5:12,,,,,,Timeout #3 by Green Bay Packers,,
4,5:12,3,1,GNB 42,11,26,Austin Ekeler left guard for 10 yards (tackle by Adrian Amos),2.150,3.450
4,4:27,1,10,GNB 32,11,26,Melvin Gordon up the middle for 5 yards (tackle by Preston Smith),3.450,3.580
4,3:44,2,5,GNB 27,11,26,Melvin Gordon up the middle for 1 yard (tackle by Preston Smith),3.580,3.010
4,3:00,3,4,GNB 26,11,26,Melvin Gordon left tackle for no gain (tackle by Blake Martinez and Darnell Savage),3.010,1.810
4,2:15,,,,,,Timeout #1 by Los Angeles Chargers,,
4,2:15,4,4,GNB 26,11,26,Michael Badgley 44 yard field goal no good,1.810,-1.200
4,2:10,1,10,GNB 34,11,26,Aaron Rodgers pass complete short left to Jimmy Graham for 7 yards (tackle by Jaylen Watkins),1.200,1.600
4,2:02,2,3,GNB 41,11,26,Aaron Rodgers pass incomplete short left intended for Davante Adams,1.600,0.890
4,1:59,3,3,GNB 41,11,26,Aaron Rodgers pass complete short right to Allen Lazard for 13 yards (tackle by Rayshawn Jenkins and Thomas Davis),0.890,2.520
4,1:36,1,10,LAC 46,11,26,Aaron Rodgers pass incomplete short middle intended for Aaron Jones,2.520,1.980
4,1:31,2,10,LAC 46,11,26,Aaron Rodgers pass incomplete deep middle intended for Marquez Valdes-Scantling,1.980,1.290
4,1:23,3,10,LAC 46,11,26,Aaron Rodgers pass complete short left to Jamaal Williams for 5 yards,1.290,0.530
4,1:16,4,5,LAC 41,11,26,Aaron Rodgers pass incomplete deep left intended for Davante Adams,0.530,-1.660
4,1:06,1,10,LAC 41,11,26,Philip Rivers kneels for no gain,1.660,1.120
4,0:35,2,10,LAC 41,11,26,Philip Rivers kneels for -1 yards,1.120,0.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
