Quarter,Time,Tm,Detail,SEA,STL
1.0,12:23,Rams,Kevin Curtis 15 yard pass from Marc Bulger (Jeff Wilkins kick),0,7
,6:51,Rams,Steven Jackson 4 yard rush (Jeff Wilkins kick),0,14
2.0,12:18,Rams,Jeff Wilkins 36 yard field goal,0,17
,6:50,Seahawks,Josh Brown 28 yard field goal,3,17
,5:03,Seahawks,Josh Brown 30 yard field goal,6,17
3.0,9:32,Rams,Jeff Wilkins 47 yard field goal,6,20
,5:54,Seahawks,Josh Brown 45 yard field goal,9,20
,3:54,Seahawks,Josh Brown 41 yard field goal,12,20
4.0,0:26,Rams,Jeff Wilkins 23 yard field goal,12,23
