Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss, Rams to receive the opening kickoff.",,
1,15:00,,,SEA 30,0,0,"Josh Brown kicks off 64 yards, returned by Arlen Harris for 8 yards, lateral to DeJuan Groce for 15 yards (tackle by Maurice Morris)",0.000,0.870
1,14:51,1,10,STL 29,0,0,Marc Bulger pass complete to Isaac Bruce for 21 yards (tackle by Chad Brown),0.870,2.260
1,14:12,1,10,STL 50,0,0,Marc Bulger pass complete to Torry Holt for 15 yards (tackle by Marcus Trufant),2.260,3.250
1,13:45,1,10,SEA 35,0,0,Marc Bulger pass incomplete intended for Torry Holt,3.250,2.700
1,13:37,2,10,SEA 35,0,0,Marc Bulger pass complete to Isaac Bruce for 16 yards (tackle by Orlando Huff),2.700,4.310
1,12:57,1,10,SEA 19,0,0,Marc Bulger pass complete to Marshall Faulk for 4 yards (tackle by Chad Brown),4.310,4.350
1,12:29,2,6,SEA 15,0,6,"Marc Bulger pass complete to Kevin Curtis for 15 yards, touchdown",4.350,7.000
1,,,,SEA 2,0,7,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,7,"Jeff Wilkins kicks off 56 yards, returned by Heath Evans for 13 yards (tackle by Robert W. Thomas)",0.000,0.740
1,12:18,1,10,SEA 27,0,7,Shaun Alexander left guard for -2 yards (tackle by Pisa Tinoisamoa),0.740,-0.070
1,11:42,2,12,SEA 25,0,7,Matt Hasselbeck pass incomplete intended for Darrell Jackson (defended by Leonard Little),-0.070,-0.760
1,11:37,3,12,SEA 25,0,7,"Penalty on Matt Hasselbeck: Delay of Game, 5 yards (no play)",-0.760,-1.420
1,11:37,3,17,SEA 20,0,7,Mack Strong up the middle for 6 yards (tackle by Bryce Fisher),-1.420,-1.630
1,11:06,4,11,SEA 26,0,7,"Donnie Jones punts 47 yards, fair catch by Shaun McDonald",-1.630,-0.740
1,10:58,1,10,STL 27,0,7,Marc Bulger pass complete to Torry Holt for 17 yards (tackle by Terreal Bierria),0.740,1.860
1,10:08,1,10,STL 44,0,7,Marc Bulger pass complete to Marshall Faulk for 6 yards (tackle by Terreal Bierria),1.860,2.130
1,9:30,2,4,STL 50,0,7,Marc Bulger pass complete to Brandon Manumaleuna for 6 yards (tackle by Marcus Trufant),2.130,2.650
1,9:01,1,10,SEA 44,0,7,Marc Bulger pass incomplete intended for Torry Holt (defended by Terreal Bierria),2.650,2.110
1,8:55,2,10,SEA 44,0,7,Marc Bulger pass incomplete intended for Brandon Manumaleuna,2.110,1.420
1,8:50,3,10,SEA 44,0,7,Marc Bulger pass complete to Isaac Bruce for 21 yards (tackle by Terreal Bierria),1.420,4.040
1,8:02,1,10,SEA 23,0,7,Marc Bulger pass complete to Joey Goodspeed for 7 yards (tackle by Anthony Simmons),4.040,4.560
1,7:32,2,3,SEA 16,0,7,Steven Jackson right guard for 12 yards (tackle by Ken Hamlin),4.560,6.280
1,6:55,1,4,SEA 4,0,13,"Steven Jackson right guard for 4 yards, touchdown",6.280,7.000
1,,,,SEA 2,0,14,Jeff Wilkins kicks extra point good,0.000,0.000
1,,,,STL 30,0,14,"Jeff Wilkins kicks off 70 yards, returned by Kerry Carter for 29 yards (tackle by Brandon Chillar)",0.000,0.870
1,6:45,1,10,SEA 29,0,14,Shaun Alexander right tackle for 12 yards (tackle by Rich Coady),0.870,1.660
1,6:21,1,10,SEA 41,0,14,Shaun Alexander right guard for 9 yards (tackle by Rich Coady),1.660,2.340
1,6:00,2,1,STL 50,0,14,Mack Strong up the middle for 4 yards (tackle by Trev Faulk and Jimmy Kennedy),2.340,2.520
1,5:20,1,10,STL 46,0,14,Shaun Alexander left tackle for 5 yards (tackle by Rich Coady),2.520,2.650
1,4:48,2,5,STL 41,0,14,Matt Hasselbeck pass complete to Darrell Jackson for 13 yards (tackle by Jerametrius Butler),2.650,3.710
1,4:15,1,10,STL 28,0,14,Shaun Alexander right guard for 1 yard (tackle by Adam Archuleta),3.710,3.300
1,3:50,2,9,STL 27,0,14,Shaun Alexander up the middle for 6 yards (tackle by Adam Archuleta),3.300,3.400
1,3:14,3,3,STL 21,0,14,Matt Hasselbeck pass incomplete intended for Jerramy Stevens is intercepted by Jerametrius Butler at STL-1,3.400,0.380
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
1,3:03,1,10,STL 1,0,14,Marshall Faulk left tackle for 4 yards (tackle by Niko Koutouvides and Marcus Tubbs),-0.380,-0.490
1,2:27,2,6,STL 5,0,14,Marshall Faulk left tackle for 28 yards (tackle by Terreal Bierria and Ken Lucas),-0.490,1.140
1,1:52,1,10,STL 33,0,14,Marc Bulger pass complete to Shaun McDonald for 21 yards (tackle by Terreal Bierria),1.140,2.520
1,1:05,1,10,SEA 46,0,14,Marc Bulger pass complete to Steven Jackson for 9 yards (tackle by Chike Okeafor),2.520,3.190
1,0:17,2,1,SEA 37,0,14,Steven Jackson left tackle for 8 yards (tackle by Isaiah Kacyvenski),3.190,3.640
Quarter,Time,Down,ToGo,Location,SEA,STL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SEA 29,0,14,Marshall Faulk right tackle for 4 yards (tackle by Ken Hamlin),3.640,3.640
2,14:20,2,6,SEA 25,0,14,Marc Bulger pass complete to Cam Cleeland for 15 yards (tackle by Terreal Bierria),3.640,4.910
2,13:44,1,10,SEA 10,0,14,Marc Bulger pass incomplete intended for Cam Cleeland,4.910,4.190
2,13:37,2,10,SEA 10,0,14,Marshall Faulk right end for -3 yards (tackle by Chike Okeafor),4.190,3.060
2,12:49,3,13,SEA 13,0,14,"Penalty on Chris Dishman: False Start, 5 yards (no play)",3.060,2.630
2,12:30,3,18,SEA 18,0,14,Marc Bulger pass incomplete intended for Shaun McDonald (defended by Anthony Simmons),2.630,2.250
,,,,,,,"STL challenged the ruling, and the play was upheld.",,
2,12:22,4,18,SEA 18,0,17,Jeff Wilkins 36 yard field goal good,2.250,3.000
2,,,,STL 30,0,17,"Jeff Wilkins kicks off 68 yards, returned by Kerry Carter for 30 yards (tackle by Rich Coady)",0.000,1.070
2,12:10,1,10,SEA 32,0,17,Matt Hasselbeck pass incomplete intended for Darrell Jackson,1.070,0.530
2,12:04,2,10,SEA 32,0,17,Shaun Alexander right end for no gain (tackle by Tommy Polley and Damione Lewis),0.530,-0.160
2,11:20,3,10,SEA 32,0,17,"Penalty on Matt Hasselbeck: Delay of Game, 5 yards (no play)",-0.160,-0.820
2,10:52,3,15,SEA 27,0,17,Matt Hasselbeck pass complete to Bobby Engram for 22 yards (tackle by Adam Archuleta),-0.820,2.190
2,10:22,1,10,SEA 49,0,17,Shaun Alexander up the middle for no gain (tackle by Trev Faulk),2.190,1.650
2,9:51,2,10,SEA 49,0,17,Matt Hasselbeck pass complete to Jerramy Stevens for 12 yards (tackle by Pisa Tinoisamoa),1.650,2.980
2,9:19,1,10,STL 39,0,17,Shaun Alexander left tackle for 14 yards (tackle by Adam Archuleta),2.980,3.910
2,8:39,1,10,STL 25,0,17,Matt Hasselbeck pass complete to Darrell Jackson for 10 yards (tackle by Jerametrius Butler),3.910,4.580
2,8:15,1,10,STL 15,0,17,Matt Hasselbeck pass incomplete intended for Ryan Hannam,4.580,3.950
2,8:10,2,10,STL 15,0,17,Shaun Alexander left end for 2 yards (tackle by Pisa Tinoisamoa),3.950,3.400
2,7:36,3,8,STL 13,0,17,Matt Hasselbeck pass complete to Shaun Alexander for 3 yards (tackle by Bryce Fisher),3.400,2.810
2,6:54,4,5,STL 10,3,17,Josh Brown 28 yard field goal good,2.810,3.000
