Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
1,5:58,3,7,MIN 49,3,0,Andrew Luck pass complete deep middle to T.Y. Hilton for 31 yards (tackle by Anthony Harris),1.290,4.370
1,5:10,1,10,MIN 18,3,0,Frank Gore left guard for 4 yards (tackle by Chad Greenway and Eric Kendricks),4.370,4.430
1,4:39,2,6,MIN 14,3,0,Jordan Todman left end for 4 yards (tackle by Anthony Harris),4.430,4.510
1,3:57,3,2,MIN 10,3,0,Andrew Luck pass complete short left to Chester Rogers for 7 yards (tackle by Xavier Rhodes),4.510,6.510
1,3:20,1,3,MIN 3,3,0,Andrew Luck pass incomplete short left intended for Dwayne Allen (defended by Anthony Harris),6.510,5.530
1,3:13,2,3,MIN 3,3,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,5.530,4.720
1,3:10,3,3,MIN 3,3,0,Andrew Luck pass incomplete short right intended for T.Y. Hilton (defended by Captain Munnerlyn),4.720,3.040
1,3:07,4,3,MIN 3,3,0,"Adam Vinatieri 21 yard field goal good. Penalty on Linval Joseph: Leverage, 2 yards (no play)",3.040,6.970
1,3:02,1,1,MIN 1,3,0,Frank Gore left guard for no gain (tackle by Emmanuel Lamur and Linval Joseph),6.970,5.910
1,2:25,2,1,MIN 1,9,0,"Robert Turbin middle for 1 yard, touchdown",5.910,7.000
1,2:22,,,MIN 15,10,0,Adam Vinatieri kicks extra point good,0.000,0.000
1,2:22,,,IND 35,10,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.610
1,2:22,1,10,MIN 25,10,0,Sam Bradford pass complete short right to Charles Johnson for 17 yards (tackle by Rashaan Melvin),0.610,1.730
1,1:51,1,10,MIN 42,10,0,Adrian Peterson middle for 1 yard (tackle by Antonio Morrison),1.730,1.320
1,1:09,2,9,MIN 43,10,0,Jerick McKinnon right end for 1 yard (tackle by Akeem Ayers),1.320,0.760
1,0:44,3,8,MIN 44,10,0,"Penalty on Stefon Diggs: False Start, 5 yards (no play)",0.760,0.100
1,0:27,3,13,MIN 39,10,0,Sam Bradford pass incomplete deep right intended for Adam Thielen,0.100,-0.780
1,0:22,4,13,MIN 39,10,0,Jeff Locke punts 44 yards,-0.780,0.060
1,0:10,1,10,IND 17,10,0,Frank Gore right guard for 5 yards (tackle by Xavier Rhodes),-0.060,0.210
Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,IND 22,10,0,"Penalty on Joe Haeg: False Start, 5 yards (no play)",0.210,-0.580
2,15:00,2,10,IND 17,10,0,Frank Gore middle for 3 yards (tackle by Eric Kendricks),-0.580,-0.870
2,14:20,3,7,IND 20,10,0,Andrew Luck pass incomplete short left intended for Chester Rogers,-0.870,-2.030
2,14:15,4,7,IND 20,10,0,"Pat McAfee punts 42 yards, fair catch by Marcus Sherels",-2.030,-1.470
2,14:07,1,10,MIN 38,10,0,Sam Bradford pass complete short right to Kyle Rudolph for 4 yards (tackle by Rashaan Melvin),1.470,1.460
2,13:44,2,6,MIN 42,10,0,Adrian Peterson middle for no gain (tackle by T.J. Green and Zach Kerr),1.460,0.760
2,13:08,3,6,MIN 42,10,0,Sam Bradford pass incomplete short left intended for Stefon Diggs,0.760,-0.590
2,13:04,4,6,MIN 42,10,0,"Jeff Locke punts 50 yards, fair catch by Chester Rogers",-0.590,0.380
2,12:55,1,10,IND 8,10,0,Frank Gore right end for 3 yards (tackle by Eric Kendricks and Linval Joseph),-0.380,-0.560
2,12:13,2,7,IND 11,10,0,Andrew Luck pass complete short middle to Jack Doyle for 5 yards (tackle by Eric Kendricks),-0.560,-0.480
2,11:31,3,2,IND 16,10,0,Andrew Luck pass complete short right to Erik Swoope for 7 yards (tackle by Terence Newman),-0.480,0.480
2,10:57,1,10,IND 23,10,0,Andrew Luck pass complete short right to Frank Gore for 9 yards (tackle by Eric Kendricks),0.480,1.150
2,10:14,2,1,IND 32,10,0,Andrew Luck pass complete short left to Chester Rogers for 9 yards (tackle by Xavier Rhodes),1.150,1.660
2,9:34,1,10,IND 41,10,0,"Andrew Luck pass incomplete short middle intended for Frank Gore. Penalty on Terence Newman: Defensive Holding, 5 yards, Penalty on Xavier Rhodes: Defensive Holding (Declined) (no play)",1.660,1.990
2,9:29,1,10,IND 46,10,0,Frank Gore left end for 6 yards (tackle by Tom Johnson),1.990,2.260
2,8:47,2,4,MIN 48,10,0,Frank Gore middle for 5 yards (tackle by Anthony Harris and Eric Kendricks),2.260,2.720
2,8:04,1,10,MIN 43,10,0,Andrew Luck pass complete short middle to Erik Swoope for 16 yards (tackle by Xavier Rhodes),2.720,3.780
2,7:23,1,10,MIN 27,16,0,"Andrew Luck pass complete deep left to Erik Swoope for 27 yards, touchdown",3.780,7.000
2,7:16,,,MIN 15,17,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,7:16,,,IND 35,17,0,"Pat McAfee kicks off 70 yards, returned by Cordarrelle Patterson for 40 yards (tackle by Christopher Milton). Penalty on Jordan Todman: Unnecessary Roughness, 15 yards",0.000,-2.260
2,7:10,1,10,,17,0,Sam Bradford pass complete deep left to Kyle Rudolph for 28 yards (tackle by Edwin Jackson),2.260,4.110
2,6:22,1,10,IND 22,17,0,"Adrian Peterson middle for 13 yards (tackle by Mike Adams). Adrian Peterson fumbles (forced by Mike Adams), recovered by Mike Adams at IND-9 (tackle by Adrian Peterson)",4.110,0.380
2,6:08,1,10,IND 9,17,0,Frank Gore left end for 8 yards (tackle by Anthony Harris and Anthony Barr),-0.380,-0.020
2,5:26,2,2,IND 17,17,0,Frank Gore left guard for 4 yards (tackle by Andrew Sendejo),-0.020,0.340
2,4:44,1,10,IND 21,17,0,Andrew Luck pass complete short right to Jack Doyle for 13 yards (tackle by Eric Kendricks),0.340,1.200
2,4:00,1,10,IND 34,17,0,Frank Gore right tackle for 3 yards (tackle by Brian Robison and Linval Joseph),1.200,1.060
2,3:19,2,7,IND 37,17,0,"Penalty on Le'Raven Clark: False Start, 5 yards (no play)",1.060,0.390
2,2:54,2,12,IND 32,17,0,Andrew Luck pass complete short right to Dwayne Allen for 13 yards (tackle by Anthony Harris),0.390,1.930
2,2:17,1,10,IND 45,17,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton,1.930,1.380
2,2:12,2,10,IND 45,17,0,Andrew Luck pass complete short left to Robert Turbin for 5 yards (tackle by Xavier Rhodes),1.380,1.360
2,2:00,3,5,,17,0,"Penalty on Everson Griffen: Neutral Zone Infraction, 5 yards (no play)",1.360,2.590
2,2:00,1,10,MIN 45,17,0,Frank Gore left tackle for 9 yards (tackle by Anthony Harris and Linval Joseph),2.590,3.260
2,1:39,2,1,MIN 36,17,0,Frank Gore middle for 4 yards (tackle by Linval Joseph),3.260,3.450
2,1:06,1,10,MIN 32,17,0,Andrew Luck pass incomplete short right intended for Chester Rogers (defended by Terence Newman),3.450,2.900
2,1:02,2,10,MIN 32,17,0,"Andrew Luck pass incomplete short left intended for T.Y. Hilton. Penalty on Danielle Hunter: Illegal Use of Hands, 5 yards (no play)",2.900,3.780
2,0:56,1,10,MIN 27,17,0,Andrew Luck pass complete short left to Robert Turbin for 17 yards (tackle by Anthony Harris),3.780,4.910
2,0:49,1,10,MIN 10,17,0,Robert Turbin left tackle for 4 yards (tackle by Danielle Hunter),4.910,0.000
2,0:41,,,,17,0,Timeout #1 by Indianapolis Colts,0.000,-4.950
2,0:41,2,6,MIN 6,23,0,"Robert Turbin right end for 6 yards, touchdown",4.950,7.000
2,0:33,,,MIN 15,24,0,Adam Vinatieri kicks extra point good,0.000,0.000
2,0:33,,,IND 35,24,0,"Pat McAfee kicks off 70 yards, returned by Cordarrelle Patterson for 28 yards (tackle by Jordan Todman)",0.000,-0.480
2,0:28,1,10,MIN 23,24,0,Sam Bradford pass incomplete short right intended for Stefon Diggs is intercepted by Mike Adams at MIN-36,0.480,-3.180
2,0:19,1,10,MIN 36,24,0,Frank Gore middle for 4 yards (tackle by Linval Joseph and Everson Griffen),3.180,0.000
2,0:03,,,,24,0,Timeout #2 by Indianapolis Colts,0.000,-3.180
2,0:03,2,6,MIN 32,27,0,Adam Vinatieri 50 yard field goal good,3.180,3.000
Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,IND 35,27,0,"Pat McAfee kicks off 73 yards, returned by Cordarrelle Patterson for 21 yards (tackle by Akeem Ayers)",0.000,0.320
3,14:56,1,10,MIN 13,27,0,Adrian Peterson right guard for 2 yards (tackle by Trent Cole),-0.320,-0.570
3,14:30,2,8,MIN 15,27,0,Sam Bradford pass complete short left to Cordarrelle Patterson for 12 yards (tackle by Mike Adams),-0.570,0.740
3,13:50,1,10,MIN 27,27,0,Adrian Peterson right end for 4 yards (tackle by Rashaan Melvin),0.740,0.740
3,13:20,2,6,MIN 31,27,0,Sam Bradford pass complete short left to Stefon Diggs for 2 yards (tackle by Edwin Jackson),0.740,0.300
3,12:48,3,4,MIN 33,27,0,"Penalty on Charles Johnson: False Start, 5 yards (no play)",0.300,-0.360
3,12:27,3,9,MIN 28,27,0,Sam Bradford pass complete short left to Charles Johnson for 10 yards (tackle by Rashaan Melvin),-0.360,1.470
3,12:00,1,10,MIN 38,27,0,"Sam Bradford pass incomplete deep left intended for Adam Thielen (defended by Darius Butler). Penalty on Darius Butler: Unnecessary Roughness, 15 yards (no play)",1.470,2.460
3,11:53,1,10,IND 47,27,0,Sam Bradford pass complete short right to Charles Johnson for 11 yards (tackle by Antonio Morrison),2.460,3.180
3,11:18,1,10,IND 36,27,0,Jerick McKinnon middle for 5 yards (tackle by Edwin Jackson),3.180,3.310
3,10:50,2,5,IND 31,27,0,Sam Bradford pass complete short middle to Charles Johnson for 7 yards (tackle by Darryl Morris),3.310,3.970
3,10:22,1,10,IND 24,27,0,"Sam Bradford sacked by Robert Mathis for -9 yards. Sam Bradford fumbles (forced by Robert Mathis), recovered by Henry Anderson at IND-32 (tackle by Jeremiah Sirles)",3.970,-1.140
3,10:15,1,10,IND 33,27,0,Frank Gore right tackle for 2 yards (tackle by Chad Greenway),1.140,0.860
3,9:34,2,8,IND 35,27,0,Frank Gore middle for 3 yards (tackle by Linval Joseph),0.860,0.560
3,8:51,3,5,IND 38,27,0,Andrew Luck pass complete short right to Jack Doyle for 3 yards (tackle by Andrew Sendejo),0.560,-0.650
3,8:09,4,2,IND 41,27,0,"Pat McAfee punts 44 yards, fair catch by Marcus Sherels",-0.650,0.220
3,8:01,1,10,MIN 15,27,0,Sam Bradford pass complete short right to Cordarrelle Patterson for 11 yards (tackle by T.J. Green and Darryl Morris),-0.220,0.670
3,7:36,1,10,MIN 26,27,0,"Sam Bradford pass incomplete short right intended for Jerick McKinnon is intercepted by Zach Kerr at MIN-21 and returned for 3 yards. Penalty on Henry Anderson: Roughing the Passer, 15 yards (no play)",0.670,1.660
3,7:31,1,10,MIN 41,27,0,Jerick McKinnon right guard for 6 yards (tackle by Antonio Morrison),1.660,1.930
3,7:05,2,4,MIN 47,27,0,Sam Bradford pass complete short right to Kyle Rudolph for 7 yards (tackle by Mike Adams),1.930,2.520
3,6:50,1,10,IND 46,27,0,Sam Bradford pass complete short middle to Jerick McKinnon for 8 yards (tackle by Darryl Morris),2.520,3.060
3,6:22,2,2,IND 38,27,0,Sam Bradford pass incomplete deep right intended for Stefon Diggs (defended by Darryl Morris),3.060,2.350
3,6:17,3,2,IND 38,27,0,Sam Bradford pass complete short left to Kyle Rudolph for 2 yards (tackle by Mike Adams),2.350,3.180
3,6:04,1,10,IND 36,27,0,Sam Bradford pass complete short left to Jerick McKinnon for 5 yards (tackle by Edwin Jackson),3.180,3.310
3,5:32,2,5,IND 31,27,0,Sam Bradford pass complete short left to Matt Asiata for 20 yards (tackle by Mike Adams),3.310,4.840
3,5:08,1,10,IND 11,27,0,Sam Bradford pass complete short left to Charles Johnson for 5 yards (tackle by Vontae Davis),4.840,5.080
3,4:42,2,5,IND 6,27,0,Sam Bradford sacked by Erik Walden for -8 yards,5.080,3.030
3,3:59,3,13,IND 14,27,0,Sam Bradford pass incomplete short right intended for Cordarrelle Patterson,3.030,2.510
3,3:55,4,13,IND 14,27,3,Kai Forbath 32 yard field goal good,2.510,3.000
3,3:51,,,MIN 35,27,3,"Kai Forbath kicks off 64 yards, returned by Jordan Todman for 11 yards (tackle by Andrew Sendejo)",0.000,0.350
3,3:47,1,10,IND 12,27,3,Andrew Luck pass complete short middle to Frank Gore for 4 yards (tackle by Chad Greenway),-0.350,-0.370
3,3:12,2,6,IND 16,27,3,Frank Gore left end for 4 yards (tackle by Linval Joseph),-0.370,-0.480
3,2:32,3,2,IND 20,27,3,Andrew Luck pass complete short left to Chester Rogers for 8 yards (tackle by Captain Munnerlyn),-0.480,0.810
3,2:10,1,10,IND 28,27,3,Frank Gore right guard for 5 yards (tackle by Anthony Harris and Shamar Stephen),0.810,0.940
3,1:31,2,5,IND 33,27,3,Frank Gore middle for 5 yards (tackle by Eric Kendricks),0.940,1.470
3,0:47,1,10,IND 38,27,3,Robert Turbin right end for 12 yards (tackle by Andrew Sendejo),1.470,2.260
Quarter,Time,Down,ToGo,Location,IND,MIN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,,33,3,"Andrew Luck pass complete deep left to Phillip Dorsett for 50 yards, touchdown",2.260,7.000
4,14:55,,,MIN 15,34,3,Adam Vinatieri kicks extra point good,0.000,0.000
4,14:55,,,IND 35,34,3,"Pat McAfee kicks off 72 yards, returned by Cordarrelle Patterson for 35 yards (tackle by Deon King)",0.000,-0.810
4,14:48,1,10,MIN 28,34,3,Sam Bradford pass complete short middle to Kyle Rudolph for 7 yards (tackle by Edwin Jackson),0.810,1.210
4,14:27,2,3,MIN 35,34,3,Sam Bradford pass complete short right to Jerick McKinnon for 5 yards,1.210,1.600
4,14:08,1,10,MIN 40,34,3,Sam Bradford pass incomplete short middle intended for Kyle Rudolph,1.600,1.050
4,14:04,2,10,MIN 40,34,3,Sam Bradford pass complete short right to Stefon Diggs for 11 yards (tackle by Darryl Morris),1.050,2.320
4,13:42,1,10,IND 49,34,3,Sam Bradford pass complete deep right to Kyle Rudolph for 23 yards (tackle by T.J. Green),2.320,3.840
4,13:17,1,10,IND 26,34,3,Sam Bradford pass complete short left to Jarius Wright for 2 yards (tackle by Darryl Morris),3.840,3.570
4,12:49,2,8,IND 24,34,3,Sam Bradford pass incomplete deep right intended for Cordarrelle Patterson,3.570,2.870
4,12:44,3,8,IND 24,34,3,Sam Bradford sacked by T.Y. McGill for -9 yards,2.870,1.150
4,12:02,4,17,IND 33,34,6,Kai Forbath 51 yard field goal good,1.150,3.000
4,11:57,,,MIN 35,34,6,"Kai Forbath kicks off 65 yards, touchback",0.000,-0.610
4,11:57,1,10,IND 25,34,6,Frank Gore middle for 6 yards (tackle by Shamar Stephen),0.610,0.870
4,11:11,2,4,IND 31,34,6,Frank Gore right guard for 2 yards (tackle by Terence Newman and Shamar Stephen),0.870,0.430
4,10:29,3,2,IND 33,34,6,Andrew Luck pass complete short right to T.Y. Hilton for 2 yards,0.430,1.270
,,,,,,,"IND challenged the short of the line to gain ruling, and the original play was overturned.",,
4,10:04,1,10,IND 35,34,6,Frank Gore right tackle for 1 yard (tackle by Shamar Stephen),1.270,0.860
4,9:18,2,9,IND 36,34,6,Robert Turbin right tackle for 5 yards (tackle by Linval Joseph),0.860,0.830
4,8:35,3,4,IND 41,34,6,Robert Turbin middle for 2 yards (tackle by Anthony Harris),0.830,-0.520
4,7:54,4,2,IND 43,34,6,"Pat McAfee punts 41 yards, fair catch by Marcus Sherels",-0.520,0.140
4,7:46,1,10,MIN 16,34,6,Sam Bradford pass complete short right to Cordarrelle Patterson for 2 yards (tackle by T.J. Green),-0.140,-0.350
4,7:25,2,8,MIN 18,34,6,Sam Bradford pass complete short right to Jerick McKinnon for 6 yards (tackle by Akeem Ayers),-0.350,-0.320
4,7:02,3,2,MIN 24,34,6,Sam Bradford pass complete short right to Jerick McKinnon for 2 yards (tackle by Christopher Milton),-0.320,0.670
4,6:46,1,10,MIN 26,34,6,Sam Bradford pass complete short right to Jerick McKinnon for 3 yards (tackle by Christopher Milton and T.J. Green),0.670,0.540
4,6:19,2,7,MIN 29,34,6,Sam Bradford sacked by Erik Walden for -4 yards,0.540,-0.690
4,5:50,3,11,MIN 25,34,6,Sam Bradford pass complete short left to Cordarrelle Patterson for 5 yards (tackle by Erik Walden and Darryl Morris),-0.690,-1.370
4,5:14,4,6,MIN 30,34,6,Sam Bradford pass incomplete deep right intended for Cordarrelle Patterson (defended by Christopher Milton),-1.370,-3.580
4,5:09,1,10,MIN 30,34,6,Jordan Todman right guard for 12 yards (tackle by Xavier Rhodes),3.580,4.370
4,4:23,1,10,MIN 18,34,6,Jordan Todman right tackle for 1 yard (tackle by Anthony Harris),4.370,3.940
4,3:39,2,9,MIN 17,34,6,Jordan Todman left tackle for 2 yards (tackle by Linval Joseph),3.940,3.460
4,2:56,3,7,MIN 15,34,6,Josh Ferguson right end for no gain (tackle by Linval Joseph),3.460,2.440
4,2:09,4,7,MIN 15,34,6,Josh Ferguson right end for 1 yard (tackle by Captain Munnerlyn and Andrew Sendejo),2.440,0.280
4,2:00,1,10,MIN 14,34,6,Sam Bradford pass complete short middle to Jerick McKinnon for 13 yards (tackle by T.J. Green),-0.280,0.740
4,1:37,1,10,MIN 27,34,6,Sam Bradford pass complete short right to Jerick McKinnon for 2 yards (tackle by Edwin Jackson),0.740,0.470
4,1:17,2,8,MIN 29,34,6,Sam Bradford pass complete short left to Jerick McKinnon for 15 yards (tackle by Matthias Farley),0.470,0.000
4,1:03,,,,34,6,Timeout #1 by Indianapolis Colts,0.000,-1.860
4,1:03,1,10,MIN 44,34,6,Sam Bradford pass incomplete short left intended for Jarius Wright,1.860,1.320
4,0:58,2,10,MIN 44,34,6,Sam Bradford pass complete short right to Cordarrelle Patterson for 19 yards (tackle by Christopher Milton),1.320,3.120
4,0:33,1,10,IND 37,34,6,Sam Bradford pass complete deep right to Kyle Rudolph for 24 yards (tackle by Mike Adams and Edwin Jackson),3.120,0.000
4,0:23,,,,34,6,Timeout #1 by Minnesota Vikings,0.000,-4.710
4,0:23,1,10,IND 13,34,6,Sam Bradford pass incomplete short right intended for Kyle Rudolph,4.710,4.050
4,0:19,2,10,IND 13,34,6,Sam Bradford sacked by Zach Kerr for -14 yards,4.050,1.620
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
