Unnamed: 0,IND,MIN
First Downs,27,20
Rush-Yds-TDs,40-161-2,9-34-0
Cmp-Att-Yd-TD-INT,21-28-250-2-0,32-42-291-0-1
Sacked-Yards,0-0,5-43
Net Pass Yards,250,248
Total Yards,411,282
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,5-55,6-27
Third Down Conv.,7-13,3-9
Fourth Down Conv.,0-1,0-1
Time of Possession,37:02,22:58
