Quarter,Time,Tm,Detail,SEA,HOU
1.0,14:44,Texans,Andre Johnson 64 yard pass from Matt Schaub (Kris Brown kick),0,7
,9:14,Texans,Kris Brown 29 yard field goal,0,10
,2:50,Texans,Ryan Moats 4 yard rush (Kris Brown kick),0,17
2.0,12:52,Texans,Andre Johnson 17 yard pass from Matt Schaub (Kris Brown kick),0,24
,1:14,Seahawks,John Carlson 4 yard pass from Matt Hasselbeck (Olindo Mare kick),7,24
3.0,5:50,Texans,Kris Brown 31 yard field goal,7,27
,2:57,Texans,Bernard Pollard 70 yard interception return (Kris Brown kick),7,34
