Quarter,Time,Tm,Detail,SDG,SFO
1,13:12,49ers,Frank Gore 52 yard rush (Phil Dawson kick),0,7
2,13:36,49ers,Bruce Ellington 8 yard pass from Colin Kaepernick (Phil Dawson kick),0,14
,10:20,49ers,Antoine Bethea 49 yard interception return (Phil Dawson kick),0,21
,5:09,Chargers,Eddie Royal 15 yard pass from Philip Rivers (Nick Novak kick),7,21
,0:06,49ers,Bruce Ellington 1 yard rush (Phil Dawson kick),7,28
3,5:49,Chargers,Antonio Gates 1 yard pass from Philip Rivers (Nick Novak kick),14,28
,3:26,Chargers,Corey Liuget defensive fumble recovery in end zone (Nick Novak kick),21,28
,2:26,49ers,Colin Kaepernick 90 yard rush (Phil Dawson kick),21,35
4,5:15,Chargers,Antonio Gates 21 yard pass from Philip Rivers (Nick Novak kick),28,35
,0:29,Chargers,Malcom Floyd 11 yard pass from Philip Rivers (Nick Novak kick),35,35
OT,10:06,Chargers,Nick Novak 40 yard field goal,38,35
