Unnamed: 0,IND,CLE
First Downs,14,13
Rush-Yds-TDs,29-90-0,32-101-0
Cmp-Att-Yd-TD-INT,15-21-125-0-2,16-29-110-0-1
Sacked-Yards,0-0,3-18
Net Pass Yards,125,92
Total Yards,215,193
Fumbles-Lost,3-1,1-1
Turnovers,3,2
Penalties-Yards,2-10,4-25
Third Down Conv.,5-10,11-20
Fourth Down Conv.,0-1,0-1
Time of Possession,27:46,32:14
