Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 73 yards, returned by Chad Simpson for 36 yards (tackle by Alex Hall)",0.000,1.140
1,14:55,1,10,IND 33,0,0,"Joseph Addai right end for 5 yards (tackle by Shaun Smith). Joseph Addai fumbles (forced by Shaun Smith), recovered by Eric Wright at IND-45 (tackle by Mike Pollak)",1.140,-2.460
1,14:36,1,10,IND 47,0,0,Jamal Lewis right guard for 6 yards (tackle by Kelvin Hayden),2.460,2.720
1,14:03,2,4,IND 41,0,0,Jamal Lewis left guard for 3 yards (tackle by Antoine Bethea),2.720,2.410
1,13:23,3,1,IND 38,0,0,Derek Anderson up the middle for 3 yards (tackle by Keyunta Dawson),2.410,3.250
1,12:50,1,10,IND 35,0,0,Jamal Lewis right guard for 6 yards (tackle by Kelvin Hayden and Antoine Bethea),3.250,3.510
1,12:15,2,4,IND 29,0,0,Jamal Lewis right guard for 2 yards (tackle by Antonio Johnson),3.510,3.070
1,11:42,3,2,IND 27,0,0,Jason Wright right tackle for 5 yards (tackle by Freddie Keiaho),3.070,4.110
1,11:09,1,10,IND 22,0,0,Jamal Lewis right guard for 2 yards (tackle by Gary Brackett),4.110,3.830
1,10:33,2,8,IND 20,0,0,Jamal Lewis right guard for no gain (tackle by Keyunta Dawson),3.830,3.140
1,9:54,3,8,IND 20,0,0,Derek Anderson pass complete short right to Jason Wright for 3 yards (tackle by Kelvin Hayden),3.140,2.360
1,9:09,4,5,IND 17,0,3,Phil Dawson 34 yard field goal good,2.360,3.000
1,,,,CLE 30,0,3,"Phil Dawson kicks off 73 yards, returned by Chad Simpson for 26 yards (tackle by Josh Cribbs)",0.000,0.480
1,8:59,1,10,IND 23,0,3,Peyton Manning pass complete short right to Marvin Harrison for 15 yards (tackle by Eric Wright),0.480,1.470
1,8:35,1,10,IND 38,0,3,Joseph Addai right guard for 2 yards (tackle by Andra Davis),1.470,1.190
1,8:35,2,8,IND 40,0,3,"Penalty on Corey Williams: Encroachment, 5 yards (no play)",1.190,1.870
1,7:40,2,3,IND 45,0,3,Joseph Addai left end for 6 yards (tackle by D'Qwell Jackson and Mike Adams),1.870,2.320
1,7:12,1,10,CLE 49,0,3,Peyton Manning pass complete short left to Reggie Wayne for 14 yards (tackle by Brandon McDonald),2.320,3.250
1,6:31,1,10,CLE 35,0,3,Joseph Addai left end for 9 yards (tackle by D'Qwell Jackson),3.250,3.920
1,5:42,2,1,CLE 26,0,3,Joseph Addai right guard for 2 yards (tackle by Andra Davis),3.920,3.970
1,4:59,1,10,CLE 24,0,3,Peyton Manning pass complete short middle to Joseph Addai for 6 yards (tackle by D'Qwell Jackson),3.970,4.290
1,4:23,2,4,CLE 18,0,3,Peyton Manning pass complete short right to Marvin Harrison for 7 yards (tackle by Willie McGinest),4.290,4.840
1,3:50,1,10,CLE 11,0,3,Peyton Manning pass complete short left to Dominic Rhodes for 2 yards (tackle by D'Qwell Jackson),4.840,4.510
1,3:04,2,8,CLE 9,0,3,Dominic Rhodes for 2 yards (tackle by Eric Wright),4.510,3.980
1,3:04,3,6,CLE 7,0,3,"Penalty on Ryan Diem: False Start, 5 yards (no play)",3.980,3.110
1,2:07,3,11,CLE 12,0,3,Peyton Manning pass incomplete short left intended for Reggie Wayne (defended by Brandon McDonald),3.110,2.630
1,2:02,4,11,CLE 12,3,3,Adam Vinatieri 30 yard field goal good,2.630,3.000
1,,,,IND 30,3,3,"Adam Vinatieri kicks off 66 yards, returned by Josh Cribbs for 22 yards (tackle by Tyjuan Hagler)",0.000,0.670
1,1:51,1,10,CLE 26,3,3,Derek Anderson pass complete short left to Lawrence Vickers for 3 yards (tackle by Clint Session),0.670,0.540
1,1:13,2,7,CLE 29,3,3,Jamal Lewis right guard for 15 yards (tackle by Antoine Bethea),0.540,1.860
1,0:35,1,10,CLE 44,3,3,Jamal Lewis right tackle for 4 yards (tackle by Antoine Bethea and Gary Brackett),1.860,1.860
Quarter,Time,Down,ToGo,Location,IND,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,CLE 48,3,3,Derek Anderson pass complete short left to Kellen Winslow Jr. for 5 yards (tackle by Tim Jennings),1.860,1.820
2,14:27,3,1,IND 47,3,3,Jamal Lewis right guard for 1 yard (tackle by Gary Brackett),1.820,2.520
2,13:49,1,10,IND 46,3,3,Jamal Lewis left tackle for 2 yards (tackle by Freddie Keiaho),2.520,2.250
2,13:09,2,8,IND 44,3,3,Jerome Harrison left guard for 4 yards (tackle by Freddie Keiaho),2.250,2.080
2,12:28,3,4,IND 40,3,3,Derek Anderson pass complete short middle to Kellen Winslow Jr. for 5 yards (tackle by Melvin Bullitt),2.080,3.250
2,11:52,1,10,IND 35,3,3,Jerome Harrison left end for 2 yards (tackle by Antoine Bethea),3.250,2.970
2,11:10,2,8,IND 33,3,3,Derek Anderson pass complete short left to Steve Heiden for 3 yards (tackle by Melvin Bullitt),2.970,2.680
2,10:30,3,5,IND 30,3,3,Derek Anderson pass complete short right to Kellen Winslow Jr. for 5 yards (tackle by Freddie Keiaho),2.680,3.910
2,9:45,1,10,IND 25,3,3,Derek Anderson pass complete short right to Braylon Edwards for 16 yards (tackle by Kelvin Hayden),3.910,5.140
