Quarter,Time,Tm,Detail,IND,CLE
1.0,9:04,Browns,Phil Dawson 34 yard field goal,0,3
,1:58,Colts,Adam Vinatieri 30 yard field goal,3,3
2.0,7:35,Browns,Phil Dawson 25 yard field goal,3,6
4.0,9:45,Colts,Robert Mathis 37 yard defensive fumble return (Adam Vinatieri kick),10,6
