Unnamed: 0,NWE,WAS
First Downs,23,15
Rush-Yds-TDs,30-106-0,29-119-2
Cmp-Att-Yd-TD-INT,25-38-289-2-3,10-22-147-0-0
Sacked-Yards,1-8,2-13
Net Pass Yards,281,134
Total Yards,387,253
Fumbles-Lost,1-1,1-0
Turnovers,4,0
Penalties-Yards,8-64,9-75
Third Down Conv.,7-15,3-11
Fourth Down Conv.,0-1,0-0
Time of Possession,33:39,26:21
