Unnamed: 0,ARI,SFO
First Downs,20,17
Rush-Yds-TDs,43-167-0,17-63-1
Cmp-Att-Yd-TD-INT,15-30-201-2-1,24-51-294-0-1
Sacked-Yards,0-0,5-28
Net Pass Yards,201,266
Total Yards,368,329
Fumbles-Lost,1-1,1-1
Turnovers,2,2
Penalties-Yards,2-25,8-53
Third Down Conv.,7-16,6-17
Fourth Down Conv.,0-0,0-2
Time of Possession,36:22,23:38
