Quarter,Time,Tm,Detail,ARI,SFO
1.0,10:15,Cardinals,Jaron Brown 3 yard pass from Drew Stanton (Phil Dawson kick),7,0
2.0,14:55,49ers,Robbie Gould 42 yard field goal,7,3
,11:04,Cardinals,Jermaine Gresham 11 yard pass from Drew Stanton (Phil Dawson kick),14,3
3.0,9:43,49ers,C.J. Beathard 1 yard rush (Robbie Gould kick),14,10
4.0,13:31,Cardinals,Phil Dawson 25 yard field goal,17,10
,5:33,Cardinals,Phil Dawson 32 yard field goal,20,10
