Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 70 yards, returned by Sammie Stroughter for 28 yards (tackle by Brandon Saine)",0.000,0.480
1,14:55,1,10,TAM 23,0,0,LeGarrette Blount up the middle for 2 yards (tackle by Ryan Pickett),0.480,0.200
1,14:17,2,8,TAM 25,0,0,LeGarrette Blount left tackle for 1 yard (tackle by A.J. Hawk),0.200,-0.360
1,13:37,3,7,TAM 26,0,0,Josh Freeman pass complete short middle to Preston Parker for 20 yards (tackle by Desmond Bishop),-0.360,1.990
1,12:52,1,10,TAM 46,0,0,Josh Freeman pass complete short right to Luke Stocker for 1 yard (tackle by A.J. Hawk),1.990,1.590
1,12:12,2,9,TAM 47,0,0,Josh Freeman pass complete short left to Arrelious Benn for 5 yards (tackle by Tramon Williams),1.590,1.550
1,11:30,3,4,GNB 48,0,0,Josh Freeman pass incomplete short right intended for Preston Parker,1.550,0.070
1,11:25,4,4,GNB 48,0,0,"Michael Koenen punts 36 yards, fair catch by Randall Cobb",0.070,0.350
1,11:18,1,10,GNB 12,0,0,Aaron Rodgers pass incomplete deep right intended for Donald Driver,-0.350,-0.780
1,11:12,2,10,GNB 12,0,0,"Aaron Rodgers pass complete deep left to Greg Jennings for 16 yards (tackle by Quincy Black). Penalty on Josh Sitton: Offensive Holding, 6 yards (no play)",-0.780,-1.220
1,10:40,2,16,GNB 6,0,0,Aaron Rodgers pass incomplete deep right intended for James Jones,-1.220,-2.120
1,10:35,3,16,GNB 6,0,0,"Penalty on Adrian Clayborn: Neutral Zone Infraction, 5 yards (no play)",-2.120,-1.540
1,10:35,3,11,GNB 11,0,0,"Penalty on Albert Haynesworth: Neutral Zone Infraction, 5 yards (no play)",-1.540,-0.950
1,10:35,3,6,GNB 16,0,0,Aaron Rodgers pass complete short middle to Donald Driver for 5 yards (tackle by Sean Jones),-0.950,-1.960
1,10:04,4,1,GNB 21,0,0,"Tim Masthay right end for 6 yards. Tim Masthay fumbles, recovered by Tim Masthay at GNB-27",-1.960,0.740
1,9:34,1,10,GNB 27,0,0,Ryan Grant left end for 5 yards (tackle by John McCargo),0.740,0.870
1,8:53,2,5,GNB 32,0,0,Aaron Rodgers pass incomplete deep right intended for Greg Jennings,0.870,0.170
1,8:46,3,5,GNB 32,0,0,Aaron Rodgers pass complete deep right to Jordy Nelson for 34 yards (tackle by E.J. Biggers),0.170,3.310
1,8:04,1,10,TAM 34,0,0,Aaron Rodgers pass complete short middle to James Starks for 7 yards (tackle by Ronde Barber),3.310,3.720
1,7:22,2,3,TAM 27,0,0,James Starks right end for 2 yards (tackle by Roy Miller and Quincy Black),3.720,3.270
1,6:37,3,1,TAM 25,0,0,Aaron Rodgers pass complete short left to Jordy Nelson for 6 yards (tackle by Ronde Barber),3.270,4.310
1,6:06,1,10,TAM 19,0,0,Ryan Grant left end for 3 yards (tackle by Ronde Barber),4.310,4.180
1,5:22,2,7,TAM 16,0,0,Aaron Rodgers pass complete short middle to Greg Jennings for 4 yards (tackle by Aqib Talib),4.180,4.190
1,4:36,,,,0,0,Timeout #1 by Green Bay Packers,0.000,4.190
1,4:36,3,3,TAM 12,0,0,Aaron Rodgers right end for 6 yards (tackle by Mason Foster),4.190,5.830
1,3:53,1,6,TAM 6,0,0,Aaron Rodgers right end for 5 yards (tackle by Ronde Barber),5.830,5.910
1,3:08,2,1,TAM 1,0,6,"B.J. Raji right guard for 1 yard, touchdown",5.910,7.000
1,,,,TAM 2,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,,,,GNB 35,0,7,"Mason Crosby kicks off 72 yards, returned by Sammie Stroughter for 26 yards (tackle by M.D. Jennings)",0.000,0.150
1,2:46,1,10,TAM 19,0,7,LeGarrette Blount left tackle for -3 yards (tackle by Ryan Pickett),0.150,-0.870
1,2:08,2,13,TAM 16,0,7,LeGarrette Blount right guard for 2 yards (tackle by Desmond Bishop),-0.870,-1.250
1,1:41,3,11,TAM 18,0,7,Josh Freeman pass complete short left to Arrelious Benn for -1 yards (tackle by Charlie Peprah),-1.250,-2.320
1,1:06,4,12,TAM 17,0,7,"Michael Koenen punts 51 yards (tackle by Adam Hayward). Penalty on Erik Lorig: Ineligible Downfield Kick, 5 yards",-2.320,-2.320
1,0:55,1,10,TAM 49,0,7,James Starks right end for -1 yards (tackle by Quincy Black),2.320,1.650
1,0:11,2,11,,0,7,James Starks right end for 2 yards (tackle by Quincy Black),1.650,1.220
Quarter,Time,Down,ToGo,Location,TAM,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,9,TAM 48,0,7,Aaron Rodgers pass complete deep left to Jordy Nelson for 26 yards (tackle by E.J. Biggers),1.220,4.110
2,14:33,,,,0,7,Timeout #1 by Tampa Bay Buccaneers,0.000,4.110
2,14:33,1,10,TAM 22,0,7,Aaron Rodgers pass complete short middle to James Starks for 17 yards (tackle by Mason Foster and Sean Jones),4.110,6.060
2,13:48,1,5,TAM 5,0,13,"Aaron Rodgers pass complete short right to Tom Crabtree for 5 yards, touchdown",6.060,7.000
2,,,,TAM 2,0,14,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 35,0,14,"Mason Crosby kicks off 64 yards, returned by Sammie Stroughter for 17 yards (tackle by Brad Jones)",0.000,0.040
