Unnamed: 0,TAM,GNB
First Downs,22,24
Rush-Yds-TDs,20-121-1,23-91-2
Cmp-Att-Yd-TD-INT,28-38-342-2-2,23-34-299-3-1
Sacked-Yards,2-8,2-12
Net Pass Yards,334,287
Total Yards,455,378
Fumbles-Lost,1-0,2-0
Turnovers,2,1
Penalties-Yards,9-55,5-37
Third Down Conv.,5-11,7-12
Fourth Down Conv.,0-1,1-1
Time of Possession,31:21,28:39
