Unnamed: 0,NYJ,TEN
First Downs,20,12
Rush-Yds-TDs,30-146-0,30-167-2
Cmp-Att-Yd-TD-INT,13-29-131-1-4,13-22-149-0-0
Sacked-Yards,4-24,4-22
Net Pass Yards,107,127
Total Yards,253,294
Fumbles-Lost,2-1,0-0
Turnovers,5,0
Penalties-Yards,4-23,14-111
Third Down Conv.,5-12,2-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:16,29:44
