Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss, Titans to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Nick Folk kicks off 62 yards, returned by Darius Reynaud for 19 yards (tackle by Antonio Allen)",0.000,0.410
1,14:55,1,10,TEN 22,0,0,Jake Locker pass incomplete deep left intended for Kenny Britt,0.410,-0.130
1,14:49,2,10,TEN 22,0,0,Jake Locker pass complete short middle to Nate Washington for 15 yards (tackle by Yeremiah Bell),-0.130,1.400
1,14:10,1,10,TEN 37,0,0,Chris Johnson right tackle for 1 yard (tackle by Bart Scott),1.400,0.990
1,13:33,2,9,TEN 38,0,0,Jake Locker pass complete short right to Craig Stevens for 5 yards (tackle by LaRon Landry),0.990,0.960
1,12:50,3,4,TEN 43,0,0,Jake Locker pass complete deep middle to Nate Washington for 30 yards (tackle by Yeremiah Bell),0.960,3.780
1,12:06,1,10,NYJ 27,0,0,Jake Locker pass incomplete short right intended for Lavelle Hawkins,3.780,3.230
1,11:59,2,10,NYJ 27,0,0,Chris Johnson left guard for 9 yards (tackle by LaRon Landry and Yeremiah Bell),3.230,3.840
1,11:18,3,1,NYJ 18,0,0,Chris Johnson right end for -10 yards (tackle by Calvin Pace),3.840,1.590
1,10:33,4,11,NYJ 28,0,0,"Rob Bironas 46 yard field goal no good, blocked by Muhammad Wilkerson",1.590,-1.400
1,10:26,1,10,NYJ 37,0,0,Shonn Greene left guard for 6 yards (tackle by Akeem Ayers),1.400,1.670
1,9:49,2,4,NYJ 43,0,0,Mark Sanchez pass incomplete deep middle intended for Braylon Edwards,1.670,0.960
1,9:44,3,4,NYJ 43,0,0,"Mark Sanchez pass incomplete deep right intended for Jeff Cumberland. Penalty on Jordan Babineaux: Defensive Holding, 5 yards (no play)",0.960,2.130
1,9:37,1,10,NYJ 48,0,0,Shonn Greene right tackle for 3 yards (tackle by Kamerion Wimbley),2.130,1.990
1,8:56,2,7,TEN 49,0,0,Shonn Greene up the middle for 1 yard (tackle by Jason McCourty and Derrick Morgan),1.990,1.420
1,8:14,3,6,TEN 48,0,0,Mark Sanchez pass complete short right to Braylon Edwards for 14 yards (tackle by Coty Sensabaugh),1.420,3.310
1,7:37,1,10,TEN 34,0,0,Shonn Greene left guard for 3 yards (tackle by Tim Shaw),3.310,3.180
1,7:00,2,7,TEN 31,0,0,Mark Sanchez pass complete short right to Jeff Cumberland for 6 yards (tackle by Tim Shaw),3.180,3.270
1,6:16,3,1,TEN 25,0,0,Tim Tebow up the middle for 2 yards (tackle by SenDerrick Marks and Tim Shaw),3.270,4.040
1,5:36,1,10,TEN 23,0,0,"Mark Sanchez pass incomplete short left intended for Braylon Edwards. Penalty on Alterraun Verner: Defensive Pass Interference, 9 yards (no play)",4.040,4.650
1,5:31,1,10,TEN 14,0,0,"Bilal Powell left tackle for 2 yards (tackle by Jordan Babineaux). Penalty on Jordan Babineaux: Face Mask (15 Yards), 6 yards",4.650,5.830
1,5:15,1,6,TEN 6,0,0,Bilal Powell right guard for 2 yards (tackle by Akeem Ayers),5.830,5.340
1,4:31,2,4,TEN 4,0,0,Mark Sanchez pass incomplete short right intended for Jeremy Kerley,5.340,4.490
1,4:27,3,4,TEN 4,0,0,Mark Sanchez pass incomplete short left intended for Jeff Cumberland,4.490,3.030
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the original play was overturned.",,
1,4:22,4,4,TEN 4,3,0,Nick Folk 22 yard field goal good,3.030,3.000
1,4:17,,,NYJ 35,3,0,"Nick Folk kicks off 67 yards, returned by Darius Reynaud for 21 yards (tackle by Ellis Lankster)",0.000,0.150
1,4:11,1,10,TEN 19,3,0,Chris Johnson right tackle for 2 yards (tackle by Muhammad Wilkerson and Garrett McIntyre),0.150,-0.060
1,3:36,2,8,TEN 21,3,0,Chris Johnson up the middle for 7 yards (tackle by Eric Smith),-0.060,0.100
1,3:00,3,1,TEN 28,3,0,Quinn Johnson up the middle for 1 yard (tackle by Mike DeVito),0.100,0.870
1,2:20,1,10,TEN 29,3,0,Jake Locker right guard for 15 yards (tackle by David Harris),0.870,1.860
1,1:32,1,10,TEN 44,3,0,Chris Johnson right tackle for no gain (tackle by Calvin Pace),1.860,1.320
1,0:51,2,10,TEN 44,3,0,Jake Locker pass complete short right to Quinn Johnson for 2 yards (tackle by Yeremiah Bell),1.320,0.890
1,0:07,3,8,TEN 46,3,0,Jake Locker pass complete short right to Nate Washington for 5 yards (tackle by Kyle Wilson),0.890,0.000
Quarter,Time,Down,ToGo,Location,NYJ,TEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,3,NYJ 49,3,0,"Brett Kern punts 35 yards, fair catch by Jeremy Kerley",0.000,0.280
2,14:52,1,10,NYJ 14,3,0,Shonn Greene right tackle for 10 yards (tackle by Michael Griffin),-0.280,0.540
2,14:10,1,10,NYJ 24,3,0,"Penalty on SenDerrick Marks: Encroachment, 5 yards (no play)",0.540,1.270
2,13:49,1,5,NYJ 29,3,0,Shonn Greene left tackle for 2 yards (tackle by Tim Shaw),1.270,0.940
2,13:08,2,3,NYJ 31,3,0,Mark Sanchez pass complete short left to Shonn Greene for -3 yards (tackle by Zach Brown),0.940,-0.160
2,12:24,3,6,NYJ 28,3,0,Mark Sanchez pass complete short right to Bilal Powell for 6 yards (tackle by Jason McCourty),-0.160,1.200
2,11:48,1,10,NYJ 34,3,0,Bilal Powell up the middle for 1 yard (tackle by Akeem Ayers),1.200,0.790
2,11:12,2,9,NYJ 35,3,0,Mark Sanchez pass complete short left to Konrad Reuland for 4 yards (tackle by Zach Brown),0.790,0.630
2,10:28,3,5,NYJ 39,3,0,Mark Sanchez up the middle for 3 yards (tackle by Kamerion Wimbley),0.630,-0.590
2,9:55,4,2,NYJ 42,3,0,Robert Malone punts 53 yards,-0.590,0.380
2,9:41,1,10,TEN 5,3,0,Chris Johnson left guard for 1 yard (tackle by Garrett McIntyre and David Harris),-0.380,-0.710
2,9:06,2,9,TEN 6,3,6,"Chris Johnson up the middle for 94 yards, touchdown",-0.710,7.000
2,9:06,,,NYJ 2,3,7,Rob Bironas kicks extra point good,0.000,0.000
2,8:53,,,TEN 35,3,7,"Rob Bironas kicks off 65 yards, touchback",0.000,0.280
2,8:53,1,10,NYJ 20,3,7,Joe McKnight right end for 11 yards (tackle by Michael Griffin),0.280,1.000
2,8:37,1,10,NYJ 31,3,7,Tim Tebow right end for 12 yards (tackle by Michael Griffin),1.000,1.800
2,8:13,1,10,NYJ 43,3,7,Tim Tebow up the middle for 1 yard (tackle by Zach Brown),1.800,1.390
2,7:36,2,9,NYJ 44,3,7,Tim Tebow sacked by Zach Brown for -2 yards,1.390,0.430
2,6:54,3,11,NYJ 42,3,7,"Penalty on Tim Tebow: Delay of Game, 5 yards (no play)",0.430,-0.230
2,6:31,3,16,NYJ 37,3,7,Tim Tebow pass incomplete deep right intended for Jeremy Kerley,-0.230,-0.910
2,6:21,4,16,NYJ 37,3,7,Robert Malone punts 46 yards,-0.910,0.060
2,6:09,1,10,TEN 17,3,7,Jake Locker pass incomplete deep left intended for Kenny Britt,-0.060,-0.580
2,6:02,2,10,TEN 17,3,7,"Chris Johnson right tackle for 9 yards (tackle by LaRon Landry). Penalty on Deuce Lutui: Offensive Holding, 8 yards (no play)",-0.580,-1.360
2,5:38,2,18,TEN 9,3,7,Chris Johnson up the middle for -1 yards (tackle by Muhammad Wilkerson and Mike DeVito),-1.360,-2.470
2,4:52,3,19,TEN 8,3,7,Jake Locker up the middle for 7 yards (tackle by Quinton Coples and David Harris),-2.470,-2.440
2,4:11,4,12,TEN 15,3,7,"Brett Kern punts 45 yards, fair catch by Jeremy Kerley",-2.440,-1.600
2,4:03,1,10,NYJ 40,3,7,Mark Sanchez pass incomplete short right intended for Jeremy Kerley is intercepted by Jason McCourty at TEN-47 and returned for 1 yard,1.600,-2.130
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,3:56,1,10,TEN 48,3,7,Chris Johnson up the middle for 3 yards (tackle by Mike DeVito),2.130,1.990
2,3:20,2,7,NYJ 49,3,7,Jake Locker pass incomplete short middle intended for Craig Stevens,1.990,1.290
2,3:15,3,7,NYJ 49,3,7,Jake Locker sacked by Calvin Pace for -2 yards,1.290,-0.130
2,2:43,4,9,TEN 49,3,7,"Brett Kern punts 44 yards, fair catch by Jeremy Kerley",-0.130,0.380
2,2:34,1,10,NYJ 7,3,7,"Penalty on Konrad Reuland: False Start, 3 yards (no play)",-0.380,-0.490
2,2:34,1,13,NYJ 4,3,7,Shonn Greene up the middle for 3 yards (tackle by Jurrell Casey),-0.490,0.000
2,2:29,,,,3,7,Timeout #1 by Tennessee Titans,0.000,-0.780
2,2:29,2,10,NYJ 7,3,7,"Penalty on SenDerrick Marks: Encroachment, 5 yards (no play)",-0.780,-0.420
2,2:29,2,5,NYJ 12,3,7,Shonn Greene up the middle for 3 yards (tackle by Markelle Martin and Derrick Morgan),-0.420,-0.480
