Quarter,Time,Tm,Detail,NYJ,TEN
1.0,4:17,Jets,Nick Folk 22 yard field goal,3,0
2.0,8:53,Titans,Chris Johnson 94 yard rush (Rob Bironas kick),3,7
3.0,3:19,Jets,Jeff Cumberland 17 yard pass from Mark Sanchez (Nick Folk kick),10,7
,0:20,Titans,Jake Locker 13 yard rush (Rob Bironas kick),10,14
