Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA
1,6:09,3,10,ARI 18,7,0,Sam Bradford pass incomplete short middle intended for Zach Ertz (defended by D.J. Swearinger),3.050,2.250
1,6:04,4,10,ARI 18,7,3,Caleb Sturgis 36 yard field goal good,2.250,3.000
1,6:04,,,PHI 35,7,3,"Caleb Sturgis kicks off 68 yards, returned by Kerwynn Williams for 20 yards (tackle by Seyi Ajirotutu)",0.000,0.060
1,5:56,1,10,ARI 17,7,3,Carson Palmer pass complete short right to Larry Fitzgerald for 18 yards (tackle by Byron Maxwell),-0.060,1.270
1,5:17,1,10,ARI 35,7,3,David Johnson left end for -1 yards (tackle by Fletcher Cox),1.270,0.590
1,4:37,2,11,ARI 34,7,3,David Johnson right end for 9 yards (tackle by Kiko Alonso),0.590,1.090
1,3:55,3,2,ARI 43,7,3,Carson Palmer pass complete short left to David Johnson for 12 yards (tackle by Byron Maxwell),1.090,2.590
1,3:11,1,10,PHI 45,7,3,Carson Palmer pass complete short left to David Johnson for 8 yards (tackle by Eric Rowe and Mychal Kendricks),2.590,3.120
1,2:27,2,2,PHI 37,7,3,David Johnson middle for 1 yard (tackle by DeMeco Ryans),3.120,2.540
1,1:48,3,1,PHI 36,7,3,David Johnson middle for 3 yards (tackle by Mychal Kendricks),2.540,3.380
1,1:05,1,10,PHI 33,7,3,Carson Palmer pass complete short right to Kerwynn Williams for 12 yards (tackle by Byron Maxwell),3.380,4.170
1,0:42,1,10,PHI 21,7,3,Carson Palmer pass complete short left to Michael Floyd for 10 yards (tackle by Eric Rowe),4.170,4.840
1,0:09,1,10,PHI 11,7,3,Carson Palmer pass complete short right to Larry Fitzgerald for 5 yards (tackle by Ed Reynolds and Eric Rowe),4.840,5.080
Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,PHI 6,7,3,Carson Palmer pass incomplete short left intended for John Brown,5.080,4.210
2,14:56,3,5,PHI 6,7,3,Carson Palmer sacked by Fletcher Cox for -4 yards,4.210,2.760
2,14:12,4,9,PHI 10,10,3,Chandler Catanzaro 28 yard field goal good,2.760,3.000
2,14:12,,,ARI 35,10,3,"Chandler Catanzaro kicks off 66 yards, returned by Josh Huff for 26 yards (tackle by Jaron Brown)",0.000,-0.610
2,14:02,1,10,PHI 25,10,3,Ryan Mathews right end for 2 yards (tackle by Josh Mauro),0.610,0.330
2,13:31,2,8,PHI 27,10,3,Ryan Mathews right end for 2 yards (tackle by Kevin Minter),0.330,-0.100
2,12:55,3,6,PHI 29,10,3,Sam Bradford pass complete short middle to Jordan Matthews for 5 yards (tackle by D.J. Swearinger),-0.100,-1.110
2,12:24,4,1,PHI 34,10,3,"Donnie Jones punts 48 yards, fair catch by Patrick Peterson",-1.110,-0.040
2,12:17,1,10,ARI 18,10,3,Kerwynn Williams middle for 4 yards (tackle by Bennie Logan),0.040,0.140
2,11:39,2,6,ARI 22,10,3,"Carson Palmer left end for 8 yards (tackle by E.J. Biggers). Penalty on Mike Iupati: Offensive Holding, 10 yards (no play)",0.140,-1.220
2,11:17,2,16,ARI 12,10,3,Kerwynn Williams left tackle for 6 yards (tackle by Vinny Curry),-1.220,-1.170
2,10:36,3,10,ARI 18,10,3,Carson Palmer pass incomplete deep right intended for John Brown,-1.170,-2.240
2,10:30,4,10,ARI 18,10,3,Drew Butler punts 35 yards,-2.240,-2.060
2,10:21,1,10,PHI 47,10,3,Ryan Mathews right end for 20 yards (tackle by Jerraud Powers),2.060,3.380
2,9:40,1,10,ARI 33,10,3,Sam Bradford right end for 4 yards (tackle by Deone Bucannon),3.380,3.380
2,9:07,2,6,ARI 29,10,3,Sam Bradford pass complete short right to Jordan Matthews for 7 yards (tackle by Tyrann Mathieu),3.380,4.110
2,8:32,1,10,ARI 22,10,9,"Sam Bradford pass complete deep middle to Zach Ertz for 22 yards, touchdown",4.110,7.000
2,8:32,,,ARI 22,10,10,Caleb Sturgis kicks extra point good,0.000,0.000
2,8:32,,,PHI 35,10,10,"Caleb Sturgis kicks off 65 yards, touchback",0.000,-0.280
2,8:26,1,10,ARI 20,10,10,David Johnson middle for 4 yards (tackle by Bennie Logan),0.280,0.270
2,7:47,2,6,ARI 24,10,10,David Johnson left end for 3 yards (tackle by Malcolm Jenkins),0.270,-0.030
2,7:07,3,3,ARI 27,10,10,Carson Palmer pass complete short right to Larry Fitzgerald for 20 yards (tackle by Malcolm Jenkins),-0.030,2.060
2,6:42,1,10,ARI 47,10,10,Carson Palmer pass incomplete deep middle intended for JJ Nelson (defended by E.J. Biggers),2.060,1.520
2,6:34,2,10,ARI 47,10,10,Carson Palmer pass incomplete deep right intended for Michael Floyd (defended by Byron Maxwell),1.520,0.830
2,6:30,3,10,ARI 47,10,10,Carson Palmer pass incomplete deep right intended for John Brown,0.830,-0.260
2,6:20,4,10,ARI 47,10,10,"Drew Butler punts 38 yards, fair catch by Darren Sproles",-0.260,0.220
2,6:16,1,10,PHI 15,10,10,Sam Bradford pass incomplete short right intended for Zach Ertz,-0.220,-0.710
2,6:11,2,10,PHI 15,10,10,Sam Bradford pass complete short left to Jordan Matthews for 5 yards (tackle by Tyrann Mathieu),-0.710,-0.760
2,5:39,3,5,PHI 20,10,10,Sam Bradford pass incomplete deep right intended for Jordan Matthews,-0.760,-2.030
2,5:34,4,5,PHI 20,10,10,"Donnie Jones punts 53 yards, returned by Patrick Peterson for 6 yards. Patrick Peterson fumbles, recovered by Troy Niklas at ARI-33 (tackle by Brent Celek)",-2.030,-1.140
2,5:23,1,10,ARI 33,10,10,Carson Palmer pass complete short right to Michael Floyd for 15 yards (tackle by Byron Maxwell),1.140,2.130
2,4:52,1,10,ARI 48,10,10,David Johnson left tackle for 5 yards (tackle by Taylor Hart),2.130,2.260
2,4:12,2,5,PHI 47,16,10,"David Johnson right end for 47 yards, touchdown",2.260,7.000
2,4:12,,,PHI 47,17,10,Chandler Catanzaro kicks extra point good,0.000,0.000
2,4:12,,,ARI 35,17,10,"Chandler Catanzaro kicks off 60 yards, returned by Josh Huff for 39 yards (tackle by Troy Niklas)",0.000,-1.860
2,3:52,1,10,PHI 44,17,10,Sam Bradford pass incomplete short middle intended for Jordan Matthews,1.860,1.320
2,3:47,2,10,PHI 44,17,10,Sam Bradford pass complete short left to Josh Huff for 7 yards (tackle by Alex Okafor),1.320,1.550
2,3:24,3,3,ARI 49,17,10,Sam Bradford pass complete deep left to Brent Celek for 21 yards (tackle by Deone Bucannon),1.550,3.710
2,2:58,1,10,ARI 28,17,10,Darren Sproles middle for 3 yards (tackle by Markus Golden and Tyrann Mathieu),3.710,3.570
2,2:25,2,7,ARI 25,17,10,Sam Bradford pass complete short right to Zach Ertz for 6 yards (tackle by Deone Bucannon),3.570,3.720
2,2:07,3,1,ARI 19,17,10,Darren Sproles right end for 2 yards (tackle by Deone Bucannon),3.720,4.440
2,2:00,1,10,ARI 17,17,10,Sam Bradford pass complete short right to Darren Sproles for 5 yards (tackle by Alex Okafor),4.440,4.690
2,1:35,2,5,ARI 12,17,10,Darren Sproles left guard for 2 yards (tackle by Kevin Minter),4.690,4.340
2,1:09,3,3,ARI 10,17,10,Sam Bradford pass complete short left to Zach Ertz for 2 yards (tackle by Kevin Minter),4.340,4.340
2,0:50,3,3,ARI 10,17,10,Timeout #1 by Philadelphia Eagles,4.340,4.340
2,0:50,3,3,ARI 10,17,10,Timeout #1 by Arizona Cardinals,4.340,2.990
2,0:50,4,1,ARI 8,17,10,Ryan Mathews right tackle for no gain (tackle by Deone Bucannon),2.990,0.380
2,0:45,1,10,ARI 8,17,10,David Johnson left end for 11 yards (tackle by E.J. Biggers),-0.380,-0.380
2,0:38,1,10,ARI 8,17,10,Timeout #2 by Arizona Cardinals,-0.380,0.150
2,0:38,1,10,ARI 19,17,10,Carson Palmer pass incomplete deep left intended for John Brown,0.150,-0.390
2,0:32,2,10,ARI 19,17,10,David Johnson right end for 14 yards (tackle by Fletcher Cox),-0.390,-0.390
2,0:24,2,10,ARI 19,17,10,Timeout #3 by Arizona Cardinals,-0.390,1.140
2,0:24,1,10,ARI 33,17,10,Carson Palmer pass incomplete deep middle intended for John Brown (defended by Jaylen Watkins),1.140,0.590
2,0:17,2,10,ARI 33,17,10,Kerwynn Williams for 18 yards,0.590,2.320
2,0:10,1,10,PHI 49,17,10,Carson Palmer pass incomplete short left intended for Larry Fitzgerald,2.320,2.320
2,0:06,1,10,PHI 49,17,10,Timeout #2 by Philadelphia Eagles,2.320,1.780
2,0:06,2,10,PHI 49,17,10,Carson Palmer pass incomplete,1.780,1.090
Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ARI 35,17,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,PHI 20,17,10,Sam Bradford pass complete short left to Riley Cooper for 15 yards (tackle by Jerraud Powers),0.280,1.270
3,14:43,1,10,PHI 35,17,10,Ryan Mathews left end for 6 yards (tackle by Alex Okafor),1.270,1.530
3,14:16,2,4,PHI 41,17,10,Sam Bradford pass incomplete short right intended for Zach Ertz,1.530,0.830
3,14:12,3,4,PHI 41,17,10,Sam Bradford pass incomplete short right intended for Zach Ertz (defended by Calais Campbell),0.830,-0.650
3,14:08,4,4,PHI 41,17,10,"Donnie Jones punts 46 yards, fair catch by Patrick Peterson",-0.650,0.320
3,14:00,1,10,ARI 13,17,10,David Johnson left end for 6 yards (tackle by E.J. Biggers),-0.320,0.030
3,13:24,2,4,ARI 19,17,10,Carson Palmer pass complete deep left to John Brown for 19 yards (tackle by E.J. Biggers),0.030,1.470
3,12:45,1,10,ARI 38,17,10,Carson Palmer pass complete short left to Michael Floyd for 5 yards (tackle by E.J. Biggers),1.470,1.600
3,12:07,2,5,ARI 43,17,10,David Johnson right end for 19 yards (tackle by Walter Thurmond),1.600,3.050
3,11:24,1,10,PHI 38,17,10,David Johnson left end for 6 yards (tackle by Taylor Hart),3.050,3.320
3,10:43,2,4,PHI 32,17,10,Kerwynn Williams right tackle for 2 yards (tackle by Fletcher Cox),3.320,2.870
3,9:59,3,2,PHI 30,17,10,Carson Palmer pass complete deep right to Michael Floyd for 29 yards,2.870,6.970
,,,,,,,"PHI challenged the pass completion ruling, and the play was upheld.",,
3,9:53,1,1,PHI 1,23,10,"David Johnson left guard for 1 yard, touchdown",6.970,7.000
3,9:53,,,PHI 1,23,10,Chandler Catanzaro kicks extra point no good,0.000,-1.000
3,9:53,,,ARI 35,23,10,"Chandler Catanzaro kicks off 61 yards, returned by Josh Huff for 9 yards (tackle by Troy Niklas). Penalty on Chris Maragos: Illegal Block Above the Waist, 6 yards",0.000,0.380
3,9:42,1,10,PHI 7,23,10,Sam Bradford pass incomplete short left intended for Riley Cooper,-0.380,-0.780
3,9:39,2,10,PHI 7,23,10,Sam Bradford sacked by Ed Stinson for -5 yards,-0.780,-2.010
3,9:12,3,15,PHI 2,23,10,Sam Bradford pass complete deep left to Josh Huff for 22 yards,-2.010,0.540
3,8:55,1,10,PHI 24,23,10,Darren Sproles for 2 yards (tackle by Markus Golden),0.540,0.270
3,8:34,2,8,PHI 26,23,10,Darren Sproles left end for 3 yards (tackle by Red Bryant),0.270,-0.030
3,8:04,3,5,PHI 29,23,10,Sam Bradford pass complete short middle to Riley Cooper for 7 yards (tackle by Tony Jefferson),-0.030,1.330
3,7:35,1,10,PHI 36,23,10,DeMarco Murray left end for 1 yard (tackle by Josh Mauro),1.330,0.930
3,7:14,2,9,PHI 37,23,10,Sam Bradford pass complete short left to Zach Ertz for 12 yards (tackle by Deone Bucannon),0.930,2.190
3,6:43,1,10,PHI 49,23,10,DeMarco Murray middle for 2 yards (tackle by Markus Golden),2.190,1.920
3,6:08,2,8,ARI 49,23,10,Sam Bradford pass complete short middle to Jordan Matthews for 11 yards (tackle by Jerraud Powers),1.920,3.050
3,5:58,1,10,ARI 38,23,10,"Sam Bradford sacked by Markus Golden for -6 yards. Sam Bradford fumbles (forced by Markus Golden), recovered by Frostee Rucker at ARI-44 (tackle by Matt Tobin)",3.050,-1.860
3,5:49,1,10,ARI 44,23,10,David Johnson right end for 1 yard (tackle by DeMeco Ryans and Cedric Thornton),1.860,1.450
3,5:12,2,9,ARI 45,23,10,Carson Palmer pass incomplete short right intended for Michael Floyd (defended by Jaylen Watkins),1.450,0.760
3,5:05,3,9,ARI 45,23,10,Drew Stanton pass incomplete deep right intended for Michael Floyd,0.760,-0.390
3,5:00,4,9,ARI 45,23,10,"Drew Butler punts 45 yards, returned by Darren Sproles for 6 yards (tackle by Justin Bethel)",-0.390,0.140
3,4:50,1,10,PHI 16,23,10,Ryan Mathews middle for 4 yards (tackle by Deone Bucannon),-0.140,0.010
3,4:24,2,6,PHI 20,23,10,Ryan Mathews left end for 8 yards (tackle by D.J. Swearinger),0.010,0.810
3,4:01,1,10,PHI 28,23,10,Sam Bradford pass complete deep left to Zach Ertz for 16 yards (tackle by Tony Jefferson),0.810,1.860
3,3:31,1,10,PHI 44,23,10,"Ryan Mathews for no gain (tackle by Josh Mauro). Ryan Mathews fumbles (forced by Josh Mauro), recovered by D.J. Swearinger",1.860,-2.260
3,3:24,1,10,,23,10,Carson Palmer pass complete short right to David Johnson for 12 yards (tackle by Malcolm Jenkins and Mychal Kendricks),2.260,3.050
3,2:42,1,10,PHI 38,23,10,David Johnson right end for 3 yards (tackle by Bennie Logan),3.050,2.910
3,2:05,2,7,PHI 35,23,10,Carson Palmer pass complete short left to Darren Fells for 6 yards (tackle by Malcolm Jenkins),2.910,3.010
3,1:36,3,1,PHI 29,23,10,David Johnson middle for 1 yard (tackle by Mychal Kendricks),3.010,3.710
3,0:51,1,10,PHI 28,23,10,"Carson Palmer pass incomplete short right intended for Larry Fitzgerald. Penalty on Jaylen Watkins: Defensive Pass Interference, 12 yards (no play)",3.710,4.510
3,0:47,1,10,PHI 16,29,10,"Carson Palmer pass complete short left to John Brown for 16 yards, touchdown",4.510,7.000
3,0:47,,,PHI 16,30,10,Chandler Catanzaro kicks extra point good,0.000,0.000
3,0:47,,,ARI 35,30,10,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
3,0:40,1,10,PHI 20,30,10,Sam Bradford pass complete short right to Zach Ertz for 9 yards (tackle by Kevin Minter),0.280,0.950
3,0:17,2,1,PHI 29,30,10,Ryan Mathews middle for 10 yards (tackle by Tony Jefferson and Deone Bucannon),0.950,1.530
Quarter,Time,Down,ToGo,Location,ARI,PHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,PHI 39,36,10,"Sam Bradford pass incomplete short right intended for Ryan Mathews is intercepted by Deone Bucannon at PHI-39 and returned for 39 yards, touchdown",1.530,-7.000
4,14:50,,,PHI 39,37,10,Chandler Catanzaro kicks extra point good,0.000,0.000
4,14:50,,,ARI 35,37,10,"Chandler Catanzaro kicks off 59 yards, returned by Josh Huff for 21 yards (tackle by Justin Bethel)",0.000,-0.740
4,14:43,1,10,PHI 27,37,10,"Penalty on Jason Peters: False Start, 5 yards (no play)",0.740,0.410
4,14:43,1,15,PHI 22,37,16,"Sam Bradford pass complete deep right to Jordan Matthews for 78 yards, touchdown",0.410,7.000
4,14:43,,,ARI 22,37,17,Caleb Sturgis kicks extra point good,0.000,0.000
4,14:43,,,PHI 35,37,17,"Caleb Sturgis kicks off 61 yards, returned by Kerwynn Williams for 18 yards (tackle by Mychal Kendricks)",0.000,-0.410
4,14:27,1,10,ARI 22,37,17,David Johnson right tackle for 5 yards (tackle by Fletcher Cox and Malcolm Jenkins),0.410,0.540
4,13:44,2,5,ARI 27,37,17,David Johnson right end for 4 yards (tackle by Mychal Kendricks),0.540,0.370
4,13:14,3,1,ARI 31,37,17,David Johnson middle for 2 yards (tackle by Marcus Smith),0.370,1.140
4,12:29,1,10,ARI 33,37,17,David Johnson middle for 4 yards (tackle by Mychal Kendricks),1.140,1.130
4,11:46,2,6,ARI 37,37,17,Carson Palmer pass complete short left to John Brown for 3 yards (tackle by Malcolm Jenkins),1.130,0.830
4,11:00,3,3,ARI 40,37,17,Carson Palmer sacked by Connor Barwin and Marcus Smith for -7 yards,0.830,-1.180
4,10:22,4,10,ARI 33,37,17,"Drew Butler punts 38 yards, returned by Darren Sproles for 6 yards (tackle by Troy Niklas)",-1.180,-1.270
4,10:16,1,10,PHI 35,37,17,Sam Bradford pass complete short left to Josh Huff for 16 yards (tackle by D.J. Swearinger),1.270,2.320
4,9:55,1,10,ARI 49,37,17,Sam Bradford pass complete short right to Zach Ertz for 3 yards (tackle by Tyrann Mathieu),2.320,2.190
4,9:36,2,7,ARI 46,37,17,Sam Bradford pass complete short right to Brent Celek for 10 yards (tackle by Tony Jefferson),2.190,3.180
4,9:07,1,10,ARI 36,37,17,Sam Bradford pass incomplete deep middle intended for Nelson Agholor,3.180,2.640
4,9:01,2,10,ARI 36,37,17,Sam Bradford pass incomplete short left intended for Zach Ertz (defended by Tyrann Mathieu),2.640,1.950
4,8:58,3,10,ARI 36,37,17,Sam Bradford pass complete short left to Darren Sproles for 6 yards (tackle by Sean Weatherspoon),1.950,1.460
4,8:22,4,4,ARI 30,37,17,Sam Bradford pass incomplete short middle intended for Jordan Matthews,1.460,-1.000
4,8:17,1,10,ARI 31,37,17,David Johnson right end for -1 yards (tackle by Taylor Hart),1.000,0.320
4,7:34,2,11,ARI 30,37,17,Carson Palmer pass complete short right to Darren Fells for 12 yards (tackle by Mychal Kendricks),0.320,1.730
4,6:44,1,10,ARI 42,37,17,David Johnson left guard for 15 yards (tackle by Mychal Kendricks),1.730,2.720
4,5:59,1,10,PHI 43,37,17,David Johnson left tackle for 5 yards (tackle by Taylor Hart),2.720,2.850
4,5:18,2,5,PHI 38,37,17,David Johnson left end for 4 yards (tackle by Fletcher Cox),2.850,2.680
4,4:32,3,1,PHI 34,37,17,Carson Palmer pass complete short right to David Johnson for 10 yards (tackle by DeMeco Ryans and Cedric Thornton),2.680,3.970
4,3:49,1,10,PHI 24,37,17,Kerwynn Williams middle for 2 yards (tackle by E.J. Biggers),3.970,3.700
4,3:10,2,8,PHI 22,37,17,Carson Palmer pass incomplete short right intended for Larry Fitzgerald (defended by Jaylen Watkins),3.700,3.010
4,3:04,3,8,PHI 22,37,17,Kerwynn Williams left end for 2 yards (tackle by Mychal Kendricks),3.010,2.150
4,2:59,4,6,PHI 20,40,17,Chandler Catanzaro 38 yard field goal good,2.150,3.000
4,2:59,,,ARI 35,40,17,"Chandler Catanzaro kicks off 65 yards, touchback",0.000,-0.280
4,2:55,1,10,PHI 20,40,17,Sam Bradford pass complete short right to Zach Ertz for 8 yards (tackle by Patrick Peterson),0.280,0.810
4,2:37,2,2,PHI 28,40,17,Sam Bradford pass incomplete short left intended for Riley Cooper is intercepted by Tyrann Mathieu at PHI-40 and returned for 3 yards,0.810,-3.120
4,2:33,1,10,PHI 37,40,17,Stepfan Taylor right end for 1 yard (tackle by Jaylen Watkins),3.120,2.710
4,2:00,2,9,PHI 36,40,17,Stepfan Taylor right guard for 10 yards (tackle by Marcus Smith),2.710,3.840
4,1:13,1,10,PHI 26,40,17,Drew Stanton kneels for -1 yards,3.840,3.160
4,0:33,2,11,PHI 27,40,17,Drew Stanton kneels for -1 yards,3.160,2.350
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
