Unnamed: 0,ARI,PHI
First Downs,28,19
Rush-Yds-TDs,39-230-3,20-74-0
Cmp-Att-Yd-TD-INT,20-33-274-1-0,28-41-361-2-2
Sacked-Yards,2-11,2-11
Net Pass Yards,263,350
Total Yards,493,424
Fumbles-Lost,1-0,2-2
Turnovers,0,4
Penalties-Yards,1-10,5-38
Third Down Conv.,8-14,6-12
Fourth Down Conv.,0-0,0-2
Time of Possession,37:28,22:32
