Quarter,Time,Tm,Detail,ARI,PHI
1.0,10:44,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick),7,0
,6:00,Eagles,Caleb Sturgis 36 yard field goal,7,3
2.0,14:08,Cardinals,Chandler Catanzaro 28 yard field goal,10,3
,8:26,Eagles,Zach Ertz 22 yard pass from Sam Bradford (Caleb Sturgis kick),10,10
,4:00,Cardinals,David Johnson 47 yard rush (Chandler Catanzaro kick),17,10
3.0,9:48,Cardinals,David Johnson 1 yard rush (Chandler Catanzaro kick failed),23,10
,0:40,Cardinals,John Brown 16 yard pass from Carson Palmer (Chandler Catanzaro kick),30,10
4.0,14:50,Cardinals,Deone Bucannon 39 yard interception return (Chandler Catanzaro kick),37,10
,14:32,Eagles,Jordan Matthews 78 yard pass from Sam Bradford (Caleb Sturgis kick),37,17
,2:55,Cardinals,Chandler Catanzaro 38 yard field goal,40,17
