Quarter,Time,Tm,Detail,DET,MIA
1.0,3:07,Dolphins,Ricky Williams 1 yard rush (Olindo Mare kick),0,7
2.0,14:46,Dolphins,Trent Gamble fumble recovery in end zone (Olindo Mare kick),0,14
,10:11,Dolphins,Randy McMichael 16 yard pass from Jay Fiedler (Olindo Mare kick),0,21
,4:20,Lions,Mike McMahon 2 yard rush (Jason Hanson kick),7,21
,0:08,Dolphins,Chris Chambers 9 yard pass from Jay Fiedler (Olindo Mare kick),7,28
3.0,14:41,Dolphins,Ricky Williams 2 yard rush (Olindo Mare kick),7,35
,6:19,Lions,Lamont Warren 13 yard pass from Mike McMahon (Jason Hanson kick),14,35
,3:59,Dolphins,Robert Edwards 4 yard pass from Jay Fiedler (Olindo Mare kick),14,42
4.0,10:39,Dolphins,Robert Edwards 1 yard rush (Olindo Mare kick),14,49
,5:48,Lions,Cory Schlesinger 2 yard rush (Jason Hanson kick),21,49
